"time","WKM1_live","FloMGT1_flourWeight","SyrMGT1_syrup1Weight","SyrMGT1_syrup2Weight","SyrMGT1_syrup3Weight","MGT1_cycleEnd","FloMGT1_weighingRequest","SyrMGT1_weighingRequest","KNEAD1_kneadingRequest","generalFaultGenFLT1"
0.386,1,200,150,100,50,0,1,0,0,0
0.387,1,200,150,100,50,0,1,0,0,0
0.388,1,200,150,100,50,0,1,0,0,0
0.389,1,200,150,100,50,0,1,0,0,0
0.39,1,200,150,100,50,0,1,0,0,0
0.391,1,200,150,100,50,0,1,0,0,0
0.392,1,200,150,100,50,0,1,0,0,0
0.393,1,200,150,100,50,0,1,0,0,0
0.394,1,200,150,100,50,0,1,0,0,0
0.395,1,200,150,100,50,0,1,0,0,0
0.396,1,200,150,100,50,0,1,0,0,0
0.397,1,200,150,100,50,0,1,0,0,0
0.398,1,200,150,100,50,0,1,0,0,0
0.399,1,200,150,100,50,0,1,0,0,0
0.4,1,200,150,100,50,0,1,0,0,0
0.401,1,200,150,100,50,0,1,0,0,0
0.402,1,200,150,100,50,0,1,0,0,0
0.403,1,200,150,100,50,0,1,0,0,0
0.404,1,200,150,100,50,0,1,0,0,0
0.405,1,200,150,100,50,0,1,0,0,0
0.406,1,200,150,100,50,0,1,0,0,0
0.407,1,200,150,100,50,0,1,0,0,0
0.408,1,200,150,100,50,0,1,0,0,0
0.409,1,200,150,100,50,0,1,0,0,0
0.41,1,200,150,100,50,0,1,0,0,0
0.411,1,200,150,100,50,0,1,0,0,0
0.412,1,200,150,100,50,0,1,0,0,0
0.413,1,200,150,100,50,0,1,0,0,0
0.414,1,200,150,100,50,0,1,0,0,0
0.415,1,200,150,100,50,0,1,0,0,0
0.416,1,200,150,100,50,0,1,0,0,0
0.417,1,200,150,100,50,0,1,0,0,0
0.418,1,200,150,100,50,0,1,0,0,0
0.419,1,200,150,100,50,0,1,0,0,0
0.42,1,200,150,100,50,0,1,0,0,0
0.421,1,200,150,100,50,0,1,0,0,0
0.422,1,200,150,100,50,0,1,0,0,0
0.423,1,200,150,100,50,0,1,0,0,0
0.424,1,200,150,100,50,0,1,0,0,0
0.425,1,200,150,100,50,0,1,0,0,0
0.426,1,200,150,100,50,0,1,0,0,0
0.427,1,200,150,100,50,0,1,0,0,0
0.428,1,200,150,100,50,0,1,0,0,0
0.429,1,200,150,100,50,0,1,0,0,0
0.43,1,200,150,100,50,0,1,0,0,0
0.431,1,200,150,100,50,0,1,0,0,0
0.432,1,200,150,100,50,0,1,0,0,0
0.433,1,200,150,100,50,0,1,0,0,0
0.434,1,200,150,100,50,0,1,0,0,0
0.435,1,200,150,100,50,0,1,0,0,0
0.436,1,200,150,100,50,0,1,0,0,0
0.437,1,200,150,100,50,0,1,0,0,0
0.438,1,200,150,100,50,0,1,0,0,0
0.439,1,200,150,100,50,0,1,0,0,0
0.44,1,200,150,100,50,0,1,0,0,0
0.441,1,200,150,100,50,0,1,0,0,0
0.442,1,200,150,100,50,0,1,0,0,0
0.443,1,200,150,100,50,0,1,0,0,0
0.444,1,200,150,100,50,0,1,0,0,0
0.445,1,200,150,100,50,0,1,0,0,0
0.446,1,200,150,100,50,0,1,0,0,0
0.447,1,200,150,100,50,0,1,0,0,0
0.448,1,200,150,100,50,0,1,0,0,0
0.449,1,200,150,100,50,0,1,0,0,0
0.45,1,200,150,100,50,0,1,0,0,0
0.451,1,200,150,100,50,0,1,0,0,0
0.452,1,200,150,100,50,0,1,0,0,0
0.453,1,200,150,100,50,0,1,0,0,0
0.454,1,200,150,100,50,0,1,0,0,0
0.455,1,200,150,100,50,0,1,0,0,0
0.456,1,200,150,100,50,0,1,0,0,0
0.457,1,200,150,100,50,0,1,0,0,0
0.458,1,200,150,100,50,0,1,0,0,0
0.459,1,200,150,100,50,0,1,0,0,0
0.46,1,200,150,100,50,0,1,0,0,0
0.461,1,200,150,100,50,0,1,0,0,0
0.462,1,200,150,100,50,0,1,0,0,0
0.463,1,200,150,100,50,0,1,0,0,0
0.464,1,200,150,100,50,0,1,0,0,0
0.465,1,200,150,100,50,0,1,0,0,0
0.466,1,200,150,100,50,0,1,0,0,0
0.467,1,200,150,100,50,0,1,0,0,0
0.468,1,200,150,100,50,0,1,0,0,0
0.469,1,200,150,100,50,0,1,0,0,0
0.47,1,200,150,100,50,0,1,0,0,0
0.471,1,200,150,100,50,0,1,0,0,0
0.472,1,200,150,100,50,0,1,0,0,0
0.473,1,200,150,100,50,0,1,0,0,0
0.474,1,200,150,100,50,0,1,0,0,0
0.475,1,200,150,100,50,0,1,0,0,0
0.476,1,200,150,100,50,0,1,0,0,0
0.477,1,200,150,100,50,0,1,0,0,0
0.478,1,200,150,100,50,0,1,0,0,0
0.479,1,200,150,100,50,0,1,0,0,0
0.48,1,200,150,100,50,0,1,0,0,0
0.481,1,200,150,100,50,0,1,0,0,0
0.482,1,200,150,100,50,0,1,0,0,0
0.483,1,200,150,100,50,0,1,0,0,0
0.484,1,200,150,100,50,0,1,0,0,0
0.485,1,200,150,100,50,0,1,0,0,0
0.486,1,200,150,100,50,0,1,0,0,0
0.487,1,200,150,100,50,0,1,0,0,0
0.488,1,200,150,100,50,0,1,0,0,0
0.489,1,200,150,100,50,0,1,0,0,0
0.49,1,200,150,100,50,0,1,0,0,0
0.491,1,200,150,100,50,0,1,0,0,0
0.492,1,200,150,100,50,0,1,0,0,0
0.493,1,200,150,100,50,0,1,0,0,0
0.494,1,200,150,100,50,0,1,0,0,0
0.495,1,200,150,100,50,0,1,0,0,0
0.496,1,200,150,100,50,0,1,0,0,0
0.497,1,200,150,100,50,0,1,0,0,0
0.498,1,200,150,100,50,0,1,0,0,0
0.499,1,200,150,100,50,0,1,0,0,0
0.5,1,200,150,100,50,0,1,0,0,0
0.501,1,200,150,100,50,0,1,0,0,0
0.502,1,200,150,100,50,0,1,0,0,0
0.503,1,200,150,100,50,0,1,0,0,0
0.504,1,200,150,100,50,0,1,0,0,0
0.505,1,200,150,100,50,0,1,0,0,0
0.506,1,200,150,100,50,0,1,0,0,0
0.507,1,200,150,100,50,0,1,0,0,0
0.508,1,200,150,100,50,0,1,0,0,0
0.509,1,200,150,100,50,0,1,0,0,0
0.51,1,200,150,100,50,0,1,0,0,0
0.511,1,200,150,100,50,0,1,0,0,0
0.512,1,200,150,100,50,0,1,0,0,0
0.513,1,200,150,100,50,0,1,0,0,0
0.514,1,200,150,100,50,0,1,0,0,0
0.515,1,200,150,100,50,0,1,0,0,0
0.516,1,200,150,100,50,0,1,0,0,0
0.517,1,200,150,100,50,0,1,0,0,0
0.518,1,200,150,100,50,0,1,0,0,0
0.519,1,200,150,100,50,0,1,0,0,0
0.52,1,200,150,100,50,0,1,0,0,0
0.521,1,200,150,100,50,0,1,0,0,0
0.522,1,200,150,100,50,0,1,0,0,0
0.523,1,200,150,100,50,0,1,0,0,0
0.524,1,200,150,100,50,0,1,0,0,0
0.525,1,200,150,100,50,0,1,0,0,0
0.526,1,200,150,100,50,0,1,0,0,0
0.527,1,200,150,100,50,0,1,0,0,0
0.528,1,200,150,100,50,0,1,0,0,0
0.529,1,200,150,100,50,0,1,0,0,0
0.53,1,200,150,100,50,0,1,0,0,0
0.531,1,200,150,100,50,0,1,0,0,0
0.532,1,200,150,100,50,0,1,0,0,0
0.533,1,200,150,100,50,0,1,0,0,0
0.534,1,200,150,100,50,0,1,0,0,0
0.535,1,200,150,100,50,0,1,0,0,0
0.536,1,200,150,100,50,0,1,0,0,0
0.537,1,200,150,100,50,0,1,0,0,0
0.538,1,200,150,100,50,0,1,0,0,0
0.539,1,200,150,100,50,0,1,0,0,0
0.54,1,200,150,100,50,0,1,0,0,0
0.541,1,200,150,100,50,0,1,0,0,0
0.542,1,200,150,100,50,0,1,0,0,0
0.543,1,200,150,100,50,0,1,0,0,0
0.544,1,200,150,100,50,0,1,0,0,0
0.545,1,200,150,100,50,0,1,0,0,0
0.546,1,200,150,100,50,0,1,0,0,0
0.547,1,200,150,100,50,0,1,0,0,0
0.548,1,200,150,100,50,0,1,0,0,0
0.549,1,200,150,100,50,0,1,0,0,0
0.55,1,200,150,100,50,0,1,0,0,0
0.551,1,200,150,100,50,0,1,0,0,0
0.552,1,200,150,100,50,0,1,0,0,0
0.553,1,200,150,100,50,0,1,0,0,0
0.554,1,200,150,100,50,0,1,0,0,0
0.555,1,200,150,100,50,0,1,0,0,0
0.556,1,200,150,100,50,0,1,0,0,0
0.557,1,200,150,100,50,0,1,0,0,0
0.558,1,200,150,100,50,0,1,0,0,0
0.559,1,200,150,100,50,0,1,0,0,0
0.56,1,200,150,100,50,0,1,0,0,0
0.561,1,200,150,100,50,0,1,0,0,0
0.562,1,200,150,100,50,0,1,0,0,0
0.563,1,200,150,100,50,0,1,0,0,0
0.564,1,200,150,100,50,0,1,0,0,0
0.565,1,200,150,100,50,0,1,0,0,0
0.566,1,200,150,100,50,0,1,0,0,0
0.567,1,200,150,100,50,0,1,0,0,0
0.568,1,200,150,100,50,0,1,0,0,0
0.569,1,200,150,100,50,0,1,0,0,0
0.57,1,200,150,100,50,0,1,0,0,0
