"Time","SignalOutput1","SignalInput1"
0.0,0.0,0.0
0.001,0.0,0.0
0.002,0.0,0.0
0.003,0.0,0.0
0.004,0.0,0.0
0.005,0.0,0.0
0.006,0.0,0.0
0.007,0.0,0.0
0.008,0.0,0.0
0.009,0.0,0.0
0.01,0.0,0.0
0.011,0.0,0.0
0.012,0.0,0.0
0.013,2.09485346076e-06,0.0
0.014,1.27041016767e-05,0.0
0.015,3.99456555813e-05,0.0
0.016,9.09285631579e-05,0.0
0.017,0.000169971667075,0.0
0.018,0.000278718024889,0.0
0.019,0.000416724745064,0.0
0.02,0.00058159589131,0.0
0.021,0.000769085729987,0.0
0.022,0.000973381136382,0.0
0.023,0.00118754670916,0.0
0.024,0.0014040852199,0.0
0.025,0.0016155490106,0.0
0.026,0.00181513230466,0.0
0.027,0.00199718067578,0.0
0.028,0.00215756919819,0.0
0.029,0.00229392091582,0.0
0.03,0.00240565917039,0.0
0.031,0.00249390712471,0.0
0.032,0.00256122571409,0.0
0.033,0.00261113644247,0.0
0.034,0.00264765384291,0.0
0.035,0.00267514415623,0.0
0.036,0.00269849786279,0.0
0.037,0.00272333626562,0.0
0.038,0.00275583726091,0.0
0.039,0.00280194646116,0.0
0.04,0.00286637171683,0.0
0.041,0.00295208252051,0.0
0.042,0.00306041659151,0.0
0.043,0.00319128010216,0.0
0.044,0.00334320960639,0.0
0.045,0.00351344937412,0.0
0.046,0.00369811278858,0.0
0.047,0.0038924318467,0.0
0.048,0.00409108521928,0.0
0.049,0.00428858233007,0.0
0.05,0.00447967048536,0.0
0.051,0.00465972660918,0.0
0.052,0.00482509562917,0.0
0.053,0.004973343726,0.0
0.054,0.00510340488138,0.0
0.055,0.00521561136778,0.0
0.056,0.00531161098647,0.0
0.057,0.00539418123664,0.0
0.058,0.00546695147588,0.0
0.059,0.00553408838426,0.0
0.06,0.00559999997031,0.0
0.061,0.00566903334462,0.0
0.062,0.00574514161686,0.0
0.063,0.00583156812862,0.0
0.064,0.00593062566106,0.0
0.065,0.00604358874033,0.0
0.066,0.00617066378166,0.0
0.067,0.00631102894305,0.0
0.068,0.00646294708627,0.0
0.069,0.00662394149528,0.0
0.07,0.0067910183584,0.0
0.071,0.00696091683798,0.0
0.072,0.00713036594468,0.0
0.073,0.00729632762366,0.0
0.074,0.00745620758922,0.0
0.075,0.00760801913758,0.0
0.076,0.00775049009348,0.0
0.077,0.00788310862198,0.0
0.078,0.00800610914937,0.0
0.079,0.00812040449624,0.0
0.08,0.00822747407755,0.0
0.081,0.00832922041122,0.0
0.082,0.00842780714436,0.0
0.083,0.00852549147651,0.0
0.084,0.00862446266394,0.0
0.085,0.00872669647179,0.0
0.086,0.00883383334278,0.0
0.087,0.00894708599144,0.0
0.088,0.0090671801182,0.0
0.089,0.00919433003484,0.0
0.09,0.0093282491571,0.0
0.091,0.00946819348974,0.0
0.092,0.0096130343863,0.0
0.093,0.00976135507181,0.0
0.094,0.00991156381005,0.0
0.095,0.0100620153719,0.0
0.096,0.0102111318185,0.0
0.097,0.0103575136925,0.0
0.098,0.0105000335301,0.0
0.099,0.0106379051605,0.0
0.1,0.0107707243931,0.0
0.101,0.0108984791788,0.0
0.102,0.01102152989,0.0
0.103,0.0111405627502,0.0
0.104,0.0112565214328,0.0
0.105,0.011370523281,0.0
0.106,0.0114837673935,0.0
0.107,0.0115974419679,0.0
0.108,0.0117126378707,0.0
0.109,0.0118302744673,0.0
0.11,0.0119510424283,0.0
0.111,0.0120753666687,0.0
0.112,0.0122033908988,0.0
0.113,0.0123349836046,0.0
0.114,0.0124697637315,0.0
0.115,0.0126071430162,0.0
0.116,0.0127463808844,0.0
0.117,0.0128866471471,0.0
0.118,0.0130270874402,0.0
0.119,0.0131668864477,0.0
0.12,0.013305324418,0.0
