"time","world.frame_b.f[2]","world.frame_b.f[3]","world.frame_b.t[1]","world.frame_b.t[2]","world.frame_b.t[3]","world.g","world.mue","world.driveTrainMechanics3D","world.axisDiameter","world.gravityArrowTail[1]"
0,-112.722,-2.10484,-0.247509,0.315726,-15.4251,9.81,3.986E+14,1,0.0125,0
0.001,-112.722,-2.11885,-0.249156,0.317828,-15.4251,9.81,3.986E+14,1,0.0125,0
0.002,-112.721,-2.15003,-0.252822,0.322504,-15.425,9.81,3.986E+14,1,0.0125,0
0.003,-112.72,-2.20028,-0.258731,0.330042,-15.4248,9.81,3.986E+14,1,0.0125,0
0.004,-112.718,-2.27108,-0.267057,0.340663,-15.4246,9.81,3.986E+14,1,0.0125,0
0.005,-112.716,-2.3633,-0.277901,0.354495,-15.4242,9.81,3.986E+14,1,0.0125,0
0.006,-112.713,-2.47789,-0.291376,0.371684,-15.4238,9.81,3.986E+14,1,0.0125,0
0.007,-112.709,-2.61582,-0.307595,0.392374,-15.4232,9.81,3.986E+14,1,0.0125,0
0.008,-112.704,-2.77857,-0.326733,0.416785,-15.4225,9.81,3.986E+14,1,0.0125,0
0.009,-112.699,-2.96741,-0.348939,0.445111,-15.4216,9.81,3.986E+14,1,0.0125,0
0.01,-112.691,-3.1843,-0.374443,0.477645,-15.4205,9.81,3.986E+14,1,0.0125,0
0.011,-112.683,-3.43116,-0.403471,0.514674,-15.4192,9.81,3.986E+14,1,0.0125,0
0.012,-112.672,-3.71031,-0.436297,0.556547,-15.4176,9.81,3.986E+14,1,0.0125,0
0.013,-112.659,-4.02455,-0.473249,0.603682,-15.4156,9.81,3.986E+14,1,0.0125,0
0.014,-112.643,-4.3765,-0.514636,0.656475,-15.4132,9.81,3.986E+14,1,0.0125,0
0.015,-112.623,-4.76955,-0.560855,0.715432,-15.4103,9.81,3.986E+14,1,0.0125,0
0.016,-112.6,-5.20745,-0.612348,0.781117,-15.4068,9.81,3.986E+14,1,0.0125,0
0.017,-112.571,-5.69435,-0.669605,0.854152,-15.4025,9.81,3.986E+14,1,0.0125,0
0.018,-112.536,-6.23486,-0.733165,0.935229,-15.3973,9.81,3.986E+14,1,0.0125,0
