"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
4.1800199999860281E-002,5.3325580026742944E+002,5.2500556825680178E-001,-5.5718331085390616E+002,5.5665830528564936E+002,5.3168732976052377E+002,-5.3836856625920245E+002,6.6812364986786861E+000,3.6988521121931662E+003
4.2000199999859093E-002,5.3327737603856087E+002,1.6894277526908297E+001,-4.4768635137604582E+002,4.3079207384913752E+002,5.3774088164920613E+002,-5.3815477903163094E+002,4.1389738242480689E-001,3.0333848185270217E+003
4.2200199999857906E-002,5.3179559075977022E+002,8.7607757876702863E+001,-3.3220471700875390E+002,2.4459695913205104E+002,5.3621433122473366E+002,-5.3637132026899997E+002,1.5698904426631088E-001,2.3582883679958481E+003
4.2400199999856718E-002,5.2873519797203187E+002,2.1182737761078181E+002,-2.1211056360293315E+002,2.8318599215135326E-001,5.3315807001997757E+002,-4.0817217267851987E+002,-1.2498589734145770E+002,1.6788496303655600E+003
4.2600199999855530E-002,5.2502015668286629E+002,2.3690532513902451E+002,-2.3712905616737046E+002,2.2373102834595568E-001,5.2949313255088350E+002,-3.7661219231382188E+002,-1.5288094023706157E+002,1.7766638004464266E+003
4.2800199999854342E-002,5.2177232621566600E+002,2.8122625009433034E+002,-2.8138964319472450E+002,1.6339310039416496E-001,5.2633389000273883E+002,-3.4486357689492047E+002,-1.8147031310781841E+002,1.9795488071659872E+003
4.3000199999853154E-002,5.1921754619272383E+002,3.4011135379943124E+002,-3.4021376413395359E+002,1.0241033452233343E-001,5.2389682419628684E+002,-3.1315363056442618E+002,-2.1074319363186066E+002,2.2733558372899138E+003
4.3200199999851967E-002,5.1751682680264639E+002,4.0853600506323369E+002,-4.0857702846508067E+002,4.1023401846978322E-002,5.2233289598645183E+002,-2.8167816942839551E+002,-2.4065472655805638E+002,2.6405294727231417E+003
4.3400199999850779E-002,5.1676257853270943E+002,4.8125665273364615E+002,-4.8123612730219247E+002,-2.0525431453655242E-002,5.2172402882613790E+002,-2.5059928842353588E+002,-2.7112474040260201E+002,3.0580634881209526E+003
4.3600199999849591E-002,5.1697656754029936E+002,5.5294225879440978E+002,-5.5286026553415627E+002,-8.1993260253519523E-002,5.2208132700673343E+002,-2.2004399238001781E+002,-3.0203733462671562E+002,3.4965903722528569E+003
4.3800199999848403E-002,5.1810963707538110E+002,6.1830726886991249E+002,-6.1816413137079815E+002,-1.4313749911432791E-001,5.2334506302092177E+002,-1.9010371038461892E+002,-3.3324135263630279E+002,3.9207779216526114E+003
4.4000199999847216E-002,5.2004319535435366E+002,6.7224311276415847E+002,-6.7203939592449899E+002,-2.0371683965943868E-001,5.2538642843341859E+002,-1.6083469252867201E+002,-3.6455173590474652E+002,4.2910487047373335E+003
4.4200199999846028E-002,5.2259243039823014E+002,7.0994527032647534E+002,-7.0968177812356760E+002,-2.6349220290779424E-001,5.2801100284324707E+002,-1.3225926822175666E+002,-3.9575173462149036E+002,4.5664789343937928E+003
4.4400199999844840E-002,5.2551117347085051E+002,7.2703304633895220E+002,-7.2671081865614281E+002,-3.2222768280942221E-001,5.3096385686081521E+002,-1.0436792591201618E+002,-4.2659593094879904E+002,4.7085883343141968E+003
4.4600199999843652E-002,5.2849829574616899E+002,7.1965936963767081E+002,-7.1927967816041200E+002,-3.7969147725884161E-001,5.3393616835950297E+002,-7.7122155704781960E+001,-4.5681401265472107E+002,4.6856165290984536E+003
4.4800199999842465E-002,5.3120548851401543E+002,6.8460816230070623E+002,-6.8417250549779419E+002,-4.3565680291207409E-001,5.3657319740312801E+002,-5.0457979417343267E+001,-4.8611521798578468E+002,4.4768061327449896E+003
4.5000199999841277E-002,5.3324624635491284E+002,6.1937710915343291E+002,-6.1888720636323603E+002,-4.8990279019689381E-001,5.3848343494074811E+002,-2.4290077420777038E+001,-5.1419335751997119E+002,4.0761859709430119E+003
4.5200199999840089E-002,5.3420587640489202E+002,5.2233040195835724E+002,-5.2161535989370702E+002,-7.1504206465017672E-001,5.3924874471212297E+002,-5.2089979692925681E-001,-5.3872784491519371E+002,3.4935611559325862E+003
4.5400199999838901E-002,5.3373069480414892E+002,4.0866243261625357E+002,-3.7530483224750435E+002,-3.3357600368749210E+001,5.3851358582473199E+002,-3.4194688993193267E-001,-5.3817163893480006E+002,2.8014244695281423E+003
4.5600199999837714E-002,5.3170477821353654E+002,2.8957361138351007E+002,-1.6792771927715197E+002,-1.2164589210635812E+002,5.3616120767821121E+002,-4.6281780888989488E-002,-5.3611492589732234E+002,2.1364616081600198E+003
4.5800199999836526E-002,5.2816660230502180E+002,2.1452355819016645E+002,-2.6348034398876935E-001,-2.1426007784617769E+002,3.9803746432449230E+002,1.3455685685564242E+002,-5.3259432118013478E+002,1.6837161525642705E+003
4.6000199999835338E-002,5.2452393068566596E+002,2.4533110719792387E+002,-2.0370479623749552E-001,-2.4512740240168637E+002,3.6635916580004567E+002,1.6265416585795754E+002,-5.2901333165800315E+002,1.8118484805959479E+003
4.6200199999834150E-002,5.2141642348286530E+002,2.9397361124485025E+002,-1.4312531871935119E-001,-2.9383048592613090E+002,3.3456431900248168E+002,1.9143885715795489E+002,-5.2600317616043662E+002,2.0403777718355605E+003
4.6400199999832963E-002,5.1905040202122984E+002,3.5566558714631418E+002,-8.1980990955966643E-002,-3.5558360615535821E+002,3.0287083867020033E+002,2.2088976573332479E+002,-5.2376060440352512E+002,2.3544023991832005E+003
4.6600199999831775E-002,5.1756618890633217E+002,4.2531442412804512E+002,-2.0513121674832685E-002,-4.2529391100637031E+002,2.7146444772372917E+002,2.5095130553579531E+002,-5.2241575325952454E+002,2.7349471948765758E+003
4.6800199999830587E-002,5.1703486427931455E+002,4.9764871543942775E+002,4.1035703525994761E-002,-4.9768975114295375E+002,2.4049670756010784E+002,2.8153245212176512E+002,-5.2202915968187290E+002,3.1572439811913214E+003
4.7000199999829399E-002,5.1745676057038918E+002,5.6735019812281007E+002,1.0242257955243693E-001,-5.6745262070236254E+002,2.1008391868351021E+002,3.1250660065842419E+002,-5.2259051934193440E+002,3.5902074060387340E+003
4.7200199999828212E-002,5.1876172391994157E+002,6.2918630953537911E+002,1.6340524044981602E-001,-6.2934971477582894E+002,1.8030690465421134E+002,3.4371230850910433E+002,-5.2401921316331573E+002,3.9972321544556912E+003
4.7400199999827024E-002,5.2081113045115410E+002,6.7814036547297326E+002,2.2374301551590053E-001,-6.7836410848848914E+002,1.5121167234435444E+002,3.7495491160304675E+002,-5.2616658394740125E+002,4.3382785711963588E+003
4.7600199999825836E-002,5.2340160598880891E+002,7.0953642756318834E+002,2.8319777911821492E-001,-7.0981962534230661E+002,1.2281092175224586E+002,4.0600898406795670E+002,-5.2881990582020262E+002,4.5730579119345402E+003
4.7800199999824648E-002,5.2627035950373590E+002,7.1915605536472299E+002,3.4153489046712138E-001,-7.1949759025519006E+002,9.5086359584687386E+001,4.3662159158635774E+002,-5.3170795117104512E+002,4.6649915083616979E+003
