"time","iAC[2]","Losses","iAC[3]","uDC","uAC[3]","iAC[1]","uAC[1]","uAC[2]"
0.00000000000000E+00,0.00000000000000E+00,4.80000000000000E+02,0.00000000000000E+00,5.65685424949238E+02,0.00000000000000E+00,-0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.07283949579756E-12,-5.05736867046550E-06,4.79999999964785E+02,5.05736866849726E-06,5.65685424913416E+02,2.52868433329922E-03,1.96824283623829E-15,2.52868433619824E-03,-5.05736866949746E-03
1.09540545997365E-09,-5.11712651845620E-03,4.80026122902764E+02,5.11712448705794E-03,5.65685388373757E+02,2.55856122782984E+00,2.03139825880744E-09,2.55856427492722E+00,-5.11712550275706E+00
4.01283391620602E-09,-1.85282500189275E-02,4.80343068350095E+02,1.85282331097207E-02,5.65685290961107E+02,9.26410810025698E+00,1.69092067604792E-08,9.26413346406719E+00,-1.85282415643242E+01
6.93026237243839E-09,-3.16541812982921E-02,4.81001593094419E+02,3.16541370961815E-02,5.65685193548458E+02,1.58270464470355E+01,4.42021105898083E-08,1.58271127502013E+01,-3.16541591972368E+01
9.84769082867076E-09,-4.44772175887077E-02,4.81977661103348E+02,4.44771329080584E-02,5.65685096135808E+02,2.22385241137045E+01,8.46806493051688E-08,2.22386511346785E+01,-4.44771752483830E+01
1.52017850217607E-08,-6.72256350575361E-02,4.84518411624486E+02,6.72254419372528E-02,5.65684917363128E+02,3.36126244084847E+01,1.93120283376036E-07,3.36129140889098E+01,-6.72255384973945E+01
3.19502127753417E-08,-1.32390846771858E-01,4.97525420838089E+02,1.32390053446388E-01,5.65684358134770E+02,6.61946300604594E+01,7.93325469650163E-07,6.61958200486638E+01,-1.32390450109123E+02
4.02922503501484E-08,-1.61548936550032E-01,5.06095576104184E+02,1.61547700648508E-01,5.65684079594955E+02,8.07732323734917E+01,1.23590152428799E-06,8.07750862257782E+01,-1.61548318599270E+02
4.86342879249551E-08,-1.88738020443972E-01,5.15618951558375E+02,1.88736256251826E-01,5.65683801055140E+02,9.43672460298397E+01,1.76419214614754E-06,9.43698923180590E+01,-1.88737138347899E+02
5.69763254997619E-08,-2.14095620480043E-01,5.25833198302375E+02,2.14093248268944E-01,5.65683522515326E+02,1.07045438028923E+02,2.37221109855579E-06,1.07048996345571E+02,-2.14094434374494E+02
7.00588038524407E-08,-2.50435423875754E-01,5.42713061451952E+02,2.50431948927633E-01,5.65683085692660E+02,1.25214236989756E+02,3.47494812130700E-06,1.25219449411938E+02,-2.50433686401694E+02
8.31412822051195E-08,-2.82973391016384E-01,5.60067886698909E+02,2.82968647829202E-01,5.65682648869995E+02,1.41481952321010E+02,4.74318718141076E-06,1.41489067101782E+02,-2.82971019422793E+02
9.62237605577983E-08,-3.12146030004739E-01,5.77427769453361E+02,3.12139872077889E-01,5.65682212047330E+02,1.56066857075520E+02,6.15792684971472E-06,1.56076093965794E+02,-3.12142951041314E+02
1.18417500282631E-07,-3.54880552585142E-01,6.05930355217021E+02,3.54871700551793E-01,5.65681471000546E+02,1.77431424259222E+02,8.85203334854978E-06,1.77444702309245E+02,-3.54876126568467E+02
1.40611240007463E-07,-3.90397057986651E-01,6.32397265137897E+02,3.90385197628473E-01,5.65680729953764E+02,1.95186668635147E+02,1.18603581780730E-05,1.95204459172415E+02,-3.90391127807562E+02
1.62804979732295E-07,-4.19933790774294E-01,6.56328810460988E+02,4.19918661778211E-01,5.65679988906984E+02,2.09951766391064E+02,1.51289960834133E-05,2.09974459885189E+02,-4.19926226276252E+02
1.84998719457128E-07,-4.44499589156276E-01,6.77561128368028E+02,4.44480975127636E-01,5.65679247860205E+02,2.22231180549497E+02,1.86140286406178E-05,2.22259101592458E+02,-4.44490282141956E+02
2.07192459181960E-07,-4.64928626872271E-01,6.96136529976762E+02,4.64906347730185E-01,5.65678506813428E+02,2.32442034294049E+02,2.22791420863011E-05,2.32475453007179E+02,-4.64917487301228E+02
2.29386198906792E-07,-4.81915560281612E-01,7.12217034795296E+02,4.81889466184823E-01,5.65677765766653E+02,2.40931686044017E+02,2.60940967894974E-05,2.40970827189201E+02,-4.81902513233218E+02
2.51579938631624E-07,-4.96039588313297E-01,7.26026120626014E+02,4.96009554633959E-01,5.65677024719879E+02,2.47989760477310E+02,3.00336793379041E-05,2.48034810996317E+02,-4.96024571473628E+02
2.86076964765937E-07,-5.13403143917610E-01,7.43547913412352E+02,5.13366786893004E-01,5.65675872867592E+02,2.56665214934199E+02,3.63570246061373E-05,2.56719750471108E+02,-5.13384965405307E+02
3.20573990900249E-07,-5.26441348939271E-01,7.57099762867683E+02,5.26398480276492E-01,5.65674721015309E+02,2.63177805806856E+02,4.28686627794717E-05,2.63242108801025E+02,-5.26419914607882E+02
3.55071017034561E-07,-5.36251427465520E-01,7.67518920570622E+02,5.36201906637039E-01,5.65673569163031E+02,2.68076192904279E+02,4.95208284813087E-05,2.68150474147001E+02,-5.36226667051280E+02
3.89568043168873E-07,-5.43629431468980E-01,7.75480292637979E+02,5.43573152603015E-01,5.65672417310756E+02,2.71758436868525E+02,5.62788659651536E-05,2.71842855167472E+02,-5.43601292035997E+02
4.24065069303185E-07,-5.49166011461610E-01,7.81524621230735E+02,5.49102894398529E-01,5.65671265458485E+02,2.74519888667724E+02,6.31170630804867E-05,2.74614564262345E+02,-5.49134452930070E+02
4.58562095437497E-07,-5.53313915710861E-01,7.86091569694455E+02,5.53243899998553E-01,5.65670113606218E+02,2.76586942143122E+02,7.00157123080247E-05,2.76691965711584E+02,-5.53278907854707E+02
4.93059121571809E-07,-5.56421599423904E-01,7.89534241656789E+02,5.56344639778206E-01,5.65668961753955E+02,2.78133840066254E+02,7.69596456978716E-05,2.78249279534801E+02,-5.56383119601055E+02
5.49132388047418E-07,-5.59917089926347E-01,7.93426590813114E+02,5.59828775516232E-01,5.65667089473188E+02,2.79870230553059E+02,8.83144101145872E-05,2.80002702168231E+02,-5.59872932721289E+02
6.05205654523028E-07,-5.62126748000064E-01,7.95896139500858E+02,5.62027022851576E-01,5.65665217192430E+02,2.80963648851545E+02,9.97251484874395E-05,2.81113236574276E+02,-5.62076885425820E+02
6.61278920998637E-07,-5.63512766285548E-01,7.97446533096028E+02,5.63401594545212E-01,5.65663344911683E+02,2.81645211402438E+02,1.11171740336480E-04,2.81811969012942E+02,-5.63457180415380E+02
7.17352187474246E-07,-5.64369877664956E-01,7.98403511196981E+02,5.64247236307337E-01,5.65661472630947E+02,2.82062297474860E+02,1.22641357618414E-04,2.82246259511287E+02,-5.64308556986147E+02
7.73425453949855E-07,-5.64897381421556E-01,7.98989477683625E+02,5.64763256095509E-01,5.65659600350221E+02,2.82314565384732E+02,1.34125326046064E-04,2.82515753373801E+02,-5.64830318758532E+02
8.29498720425465E-07,-5.65225537919290E-01,7.99350620909988E+02,5.65079919944929E-01,5.65657728069505E+02,2.82467150985284E+02,1.45617974361412E-04,2.82685577946826E+02,-5.65152728932110E+02
9.25297923170354E-07,-5.65546423318053E-01,7.99696890080845E+02,5.65381160121590E-01,5.65654529343807E+02,2.82607948462564E+02,1.65263196462484E-04,2.82855843257258E+02,-5.65463791719821E+02
1.02109712591524E-06,-5.65712689792538E-01,7.99868414487514E+02,5.65527774648511E-01,5.65651330618138E+02,2.82671429752242E+02,1.84915144027298E-04,2.82948802468283E+02,-5.65620232220525E+02
1.11689632866013E-06,-5.65786492595694E-01,7.99935367148288E+02,5.65581921478284E-01,5.65648131892501E+02,2.82688675180437E+02,2.04571117409458E-04,2.82995531856552E+02,-5.65684207036989E+02
1.21269553140502E-06,-5.65807337646270E-01,7.99942408601435E+02,5.65583108249837E-01,5.65644933166894E+02,2.82679439426702E+02,2.24229396432962E-04,2.83015783521351E+02,-5.65695222948053E+02
1.39080508489064E-06,-5.65811636600291E-01,7.99916517945924E+02,5.65550857094752E-01,5.65638986107154E+02,2.82645038794607E+02,2.60779505538711E-04,2.83036208052915E+02,-5.65681246847522E+02
