Time,_dummy,_derdummy,sum_nu,sum_u_1_,sum_u_2_,sum_u_3_,sum_y,sum_k_1_,sum_k_2_,sum_k_3_,sine_amplitude,sine_freqHz,sine_phase,sine_offset,sine_startTime,sine_y,sine_pi,realToInteger_u,realToInteger_y,integerConstant_k,integerConstant_y,showValue_use_0numberPort,showValue_number,showValue_numberPort,showValue_showNumber,product_nu,product_u_1_,product_u_2_,product_y,showValue1_use_0numberPort,showValue1_number,showValue1_numberPort,showValue1_showNumber,triggeredAdd_u,triggeredAdd_y,triggeredAdd_use_0reset,triggeredAdd_use_0set,triggeredAdd_y_0start,triggeredAdd_trigger,triggeredAdd_local_0reset,triggeredAdd_local_0set,booleanPulse1_width,booleanPulse1_period,booleanPulse1_startTime,booleanPulse1_y,booleanPulse1_Twidth,booleanPulse1_pulsStart,showValue2_use_0numberPort,showValue2_number,showValue2_numberPort,showValue2_showNumber,multiSwitch1_expr_1_,multiSwitch1_expr_2_,multiSwitch1_y_0default,multiSwitch1_use_0pre_0as_0default,multiSwitch1_nu,multiSwitch1_u_1_,multiSwitch1_u_2_,multiSwitch1_y,multiSwitch1_firstActiveIndex,booleanPulse2_width,booleanPulse2_period,booleanPulse2_startTime,booleanPulse2_y,booleanPulse2_Twidth,booleanPulse2_pulsStart,showValue3_use_0numberPort,showValue3_number,showValue3_showNumber,DymolaConvertInputToReal0,DymolaConvertInputToREAL0,integerStep,y_0sum,y_0product,y_0triggeredAdd,y_0multiSwitch,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_NumberOfContinuousStates,fmi_NumberOfEventIndicators
0,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,0,3.14159,0,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
5.30517e-011,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,1e-010,3.14159,1e-010,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
5.30517e-011,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,1e-010,3.14159,1e-010,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
0.02,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,0.0376981,3.14159,0.0376981,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
0.04,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,0.0753903,3.14159,0.0753903,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
0.06,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,0.113071,3.14159,0.113071,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
0.08,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,0.150733,3.14159,0.150733,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
0.1,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,0.188372,3.14159,0.188372,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
0.12,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,0.22598,3.14159,0.22598,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
0.14,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,0.263554,3.14159,0.263554,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
0.16,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,0.301085,3.14159,0.301085,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
0.18,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,0.338569,3.14159,0.338569,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
0.2,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,0.376,3.14159,0.376,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
0.22,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,0.413371,3.14159,0.413371,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
0.24,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,0.450677,3.14159,0.450677,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
0.26,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,0.487911,3.14159,0.487911,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
0.266502,1,0,3,0,0,1,1,1,1,1,3,0.1,0,0,0,0.5,3.14159,0.5,0,1,1,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,1,0,0,4,0,1,0,8
0.266502,1,0,3,1,0,1,2,1,1,1,3,0.1,0,0,0,0.5,3.14159,0.5,1,1,1,1,0,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,2,0,0,4,0,1,0,8
0.28,1,0,3,1,0,1,2,1,1,1,3,0.1,0,0,0,0.525069,3.14159,0.525069,1,1,1,1,0,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,2,0,0,4,0,1,0,8
0.3,1,0,3,1,0,1,2,1,1,1,3,0.1,0,0,0,0.562144,3.14159,0.562144,1,1,1,1,0,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,2,0,0,4,0,1,0,8
0.32,1,0,3,1,0,1,2,1,1,1,3,0.1,0,0,0,0.59913,3.14159,0.59913,1,1,1,1,0,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,50,1,0,1,0.5,0,1,0,0,0,4,6,2,0,2,1,1,4,1,80,2,0,1,1.6,0,0,4,4,0,0,0,2,0,0,4,0,1,0,8
