    "time","outputs[1]","outputs[2]"
     0.227,        25, 22.234713
     0.228,        25, 22.244402
     0.229,        25, 22.254091
      0.23,        25, 22.263778
     0.231,        25, 22.273463
     0.232,        25, 22.283147
     0.233,        25,  22.29283
     0.234,        25, 22.302512
     0.235,        25, 22.312192
     0.236,        25, 22.321871
     0.237,        25, 22.331549
     0.238,        25, 22.341225
     0.239,        25,   22.3509
      0.24,        25, 22.360573
     0.241,        25, 22.370245
     0.242,        25, 22.379916
     0.243,        25, 22.389586
     0.244,        25, 22.399254
     0.245,        25, 22.408921
     0.246,        25, 22.418586
     0.247,        25, 22.428251
     0.248,        25, 22.437913
     0.249,        25, 22.447575
      0.25,        25, 22.457235
     0.251,        25, 22.466894
     0.252,        25, 22.476551
     0.253,        25, 22.486207
     0.254,        25, 22.495862
     0.255,        25, 22.505516
     0.256,        25, 22.515168
     0.257,        25, 22.524819
     0.258,        25, 22.534468
     0.259,        25, 22.544116
      0.26,        25, 22.553763
     0.261,        25, 22.563408
     0.262,        25, 22.573053
     0.263,        25, 22.582695
     0.264,        25, 22.592337
     0.265,        25, 22.601977
     0.266,        25, 22.611616
     0.267,        25, 22.621253
     0.268,        25, 22.630889
     0.269,        25, 22.640524
      0.27,        25, 22.650157
     0.271,        25,  22.65979
     0.272,        25,  22.66942
     0.273,        25,  22.67905
     0.274,        25, 22.688678
     0.275,        25, 22.698305
     0.276,        25,  22.70793
     0.277,        25, 22.717554
     0.278,        25, 22.727177
     0.279,        25, 22.736798
      0.28,        25, 22.746419
     0.281,        25, 22.756037
     0.282,        25, 22.765655
     0.283,        25, 22.775271
     0.284,        25, 22.784886
     0.285,        25, 22.794499
     0.286,        25, 22.804111
     0.287,        25, 22.813722
     0.288,        25, 22.823332
     0.289,        25,  22.83294
      0.29,        25, 22.842547
     0.291,        25, 22.852152
     0.292,        25, 22.861756
     0.293,        25, 22.871359
     0.294,        25,  22.88096
     0.295,        25, 22.890561
     0.296,        25, 22.900159
     0.297,        25, 22.909757
     0.298,        25, 22.919353
     0.299,        25, 22.928948
       0.3,        25, 22.938542
     0.301,        25, 22.948134
     0.302,        25, 22.957725
     0.303,        25, 22.967314
     0.304,        25, 22.976902
     0.305,        25, 22.986489
     0.306,        25, 22.996075
     0.307,        25, 23.005659
     0.308,        25, 23.015242
     0.309,        25, 23.024824
      0.31,        25, 23.034404
     0.311,        25, 23.043983
     0.312,        25,  23.05356
     0.313,        25, 23.063137
     0.314,        25, 23.072712
     0.315,        25, 23.082285
     0.316,        25, 23.091858
     0.317,        25, 23.101429
     0.318,        25, 23.110998
     0.319,        25, 23.120567
      0.32,        25, 23.130134
     0.321,        25, 23.139699
     0.322,        25, 23.149264
     0.323,        25, 23.158827
     0.324,        25, 23.168389
     0.325,        25, 23.177949
     0.326,        25, 23.187508
     0.327,        25, 23.197066
     0.328,        25, 23.206622
     0.329,        25, 23.216177
      0.33,        25, 23.225731
     0.331,        25, 23.235284
     0.332,        25, 23.244835
     0.333,        25, 23.254385
     0.334,        25, 23.263933
     0.335,        25, 23.273481
     0.336,        25, 23.283026
     0.337,        25, 23.292571
     0.338,        25, 23.302114
     0.339,        25, 23.311656
      0.34,        25, 23.321197
     0.341,        25, 23.330736
     0.342,        25, 23.340274
     0.343,        25, 23.349811
     0.344,        25, 23.359346
     0.345,        25,  23.36888
     0.346,        25, 23.378413
     0.347,        25, 23.387944
     0.348,        25, 23.397474
     0.349,        25, 23.407003
      0.35,        25,  23.41653
     0.351,        25, 23.426057
     0.352,        25, 23.435581
     0.353,        25, 23.445105
     0.354,        25, 23.454627
     0.355,        25, 23.464148
     0.356,        25, 23.473667
     0.357,        25, 23.483186
     0.358,        25, 23.492702
     0.359,        25, 23.502218
      0.36,        25, 23.511732
     0.361,        25, 23.521245
     0.362,        25, 23.530757
     0.363,        25, 23.540267
     0.364,        25, 23.549776
     0.365,        25, 23.559284
     0.366,        25,  23.56879
     0.367,        25, 23.578296
     0.368,        25, 23.587799
     0.369,        25, 23.597302
      0.37,        25, 23.606803
     0.371,        25, 23.616303
     0.372,        25, 23.625801
     0.373,        25, 23.635298
     0.374,        25, 23.644794
     0.375,        25, 23.654289
     0.376,        25, 23.663782
     0.377,        25, 23.673274
     0.378,        25, 23.682765
     0.379,        25, 23.692254
      0.38,        25, 23.701742
     0.381,        25, 23.711229
     0.382,        25, 23.720714
     0.383,        25, 23.730198
     0.384,        25, 23.739681
     0.385,        25, 23.749163
     0.386,        25, 23.758643
     0.387,        25, 23.768122
     0.388,        25, 23.777599
     0.389,        25, 23.787075
      0.39,        25,  23.79655
     0.391,        25, 23.806024
     0.392,        25, 23.815496
     0.393,        25, 23.824967
     0.394,        25, 23.834437
     0.395,        25, 23.843905
     0.396,        25, 23.853373
     0.397,        25, 23.862838
     0.398,        25, 23.872303
     0.399,        25, 23.881766
       0.4,        25, 23.891228
     0.401,        25, 23.900688
     0.402,        25, 23.910148
     0.403,        25, 23.919606
     0.404,        25, 23.929062
     0.405,        25, 23.938518
     0.406,        25, 23.947972
     0.407,        25, 23.957424
     0.408,        25, 23.966876
     0.409,        25, 23.976326
      0.41,        25, 23.985775
     0.411,        25, 23.995222
     0.412,        25, 24.004668
     0.413,        25, 24.014113
     0.414,        25, 24.023557
     0.415,        25, 24.032999
     0.416,        25,  24.04244
     0.417,        25,  24.05188
     0.418,        25, 24.061318
     0.419,        25, 24.070755
      0.42,        25, 24.080191
     0.421,        25, 24.089625
     0.422,        25, 24.099059
     0.423,        25, 24.108491
     0.424,        25, 24.117921
     0.425,        25,  24.12735
     0.426,        25, 24.136778
     0.427,        25, 24.146205
     0.428,        25,  24.15563
     0.429,        25, 24.165054
      0.43,        25, 24.174477
     0.431,        25, 24.183899
     0.432,        25, 24.193319
     0.433,        25, 24.202738
     0.434,        25, 24.212155
     0.435,        25, 24.221571
     0.436,        25, 24.230986
     0.437,        25,   24.2404
     0.438,        25, 24.249813
     0.439,        25, 24.259224
      0.44,        25, 24.268633
     0.441,        25, 24.278042
     0.442,        25, 24.287449
     0.443,        25, 24.296855
     0.444,        25, 24.306259
     0.445,        25, 24.315663
     0.446,        25, 24.325065
     0.447,        25, 24.334465
     0.448,        25, 24.343865
     0.449,        25, 24.353263
      0.45,        25,  24.36266
     0.451,        25, 24.372055
     0.452,        25, 24.381449
     0.453,        25, 24.390842
     0.454,        25, 24.400234
     0.455,        25, 24.409624
     0.456,        25, 24.419013
     0.457,        25, 24.428401
     0.458,        25, 24.437788
     0.459,        25, 24.447173
      0.46,        25, 24.456557
     0.461,        25, 24.465939
     0.462,        25,  24.47532
     0.463,        25,   24.4847
     0.464,        25, 24.494079
     0.465,        25, 24.503456
     0.466,        25, 24.512832
     0.467,        25, 24.522207
     0.468,        25, 24.531581
     0.469,        25, 24.540953
      0.47,        25, 24.550324
     0.471,        25, 24.559694
     0.472,        25, 24.569062
     0.473,        25, 24.578429
     0.474,        25, 24.587795
     0.475,        25, 24.597159
     0.476,        25, 24.606522
     0.477,        25, 24.615884
     0.478,        25, 24.625245
     0.479,        25, 24.634604
      0.48,        25, 24.643962
     0.481,        25, 24.653319
     0.482,        25, 24.662674
     0.483,        25, 24.672028
     0.484,        25, 24.681381
     0.485,        25, 24.690733
     0.486,        25, 24.700083
     0.487,        25, 24.709432
     0.488,        25,  24.71878
     0.489,        25, 24.728126
      0.49,        25, 24.737471
     0.491,        25, 24.746815
     0.492,        25, 24.756158
     0.493,        25, 24.765499
     0.494,        25, 24.774839
     0.495,        25, 24.784178
     0.496,        25, 24.793515
     0.497,        25, 24.802851
     0.498,        25, 24.812186
     0.499,        25,  24.82152
       0.5,        25, 24.830852
     0.501,        25, 24.840183
     0.502,        25, 24.849513
     0.503,        25, 24.858841
     0.504,        25, 24.868168
     0.505,        25, 24.877494
     0.506,        25, 24.886818
     0.507,        25, 24.896142
     0.508,        25, 24.905464
     0.509,        25, 24.914784
      0.51,        25, 24.924104
     0.511,        25, 24.933422
     0.512,        25, 24.942739
     0.513,        25, 24.952054
     0.514,        25, 24.961369
     0.515,        25, 24.970682
     0.516,        25, 24.979993
     0.517,        25, 24.989304
     0.518,        25, 24.998613
     0.519,        25, 25.007921
      0.52,        25, 25.017227
     0.521,        25, 25.026533
     0.522,        25, 25.035837
     0.523,        25, 25.045139
     0.524,        25, 25.054441
     0.525,        25, 25.063741
     0.526,        25,  25.07304
     0.527,        25, 25.082338
     0.528,        25, 25.091634
     0.529,        25, 25.100929
      0.53,        25, 25.110223
     0.531,        25, 25.119515
     0.532,        25, 25.128806
     0.533,        25, 25.138096
     0.534,        25, 25.147385
     0.535,        25, 25.156672
     0.536,        25, 25.165958
     0.537,        25, 25.175243
     0.538,        25, 25.184527
     0.539,        25, 25.193809
      0.54,        25,  25.20309
     0.541,        25,  25.21237
     0.542,        25, 25.221648
     0.543,        25, 25.230925
     0.544,        25, 25.240201
     0.545,        25, 25.249476
     0.546,        25, 25.258749
     0.547,        25, 25.268021
     0.548,        25, 25.277292
     0.549,        25, 25.286561
      0.55,        25,  25.29583
     0.551,        25, 25.305097
     0.552,        25, 25.314362
     0.553,        25, 25.323627
     0.554,        25,  25.33289
     0.555,        25, 25.342152
     0.556,        25, 25.351412
     0.557,        25, 25.360672
     0.558,        25,  25.36993
     0.559,        25, 25.379186
      0.56,        25, 25.388442
     0.561,        25, 25.397696
     0.562,        25, 25.406949
     0.563,        25, 25.416201
     0.564,        25, 25.425451
     0.565,        25,   25.4347
     0.566,        25, 25.443948
     0.567,        25, 25.453194
     0.568,        25,  25.46244
     0.569,        25, 25.471684
      0.57,        25, 25.480926
     0.571,        25, 25.490168
     0.572,        25, 25.499408
     0.573,        25, 25.508647
     0.574,        25, 25.517885
     0.575,        25, 25.527121
     0.576,        25, 25.536356
     0.577,        25,  25.54559
     0.578,        25, 25.554823
     0.579,        25, 25.564054
      0.58,        25, 25.573284
     0.581,        25, 25.582513
     0.582,        25,  25.59174
     0.583,        25, 25.600967
     0.584,        25, 25.610191
     0.585,        25, 25.619415
     0.586,        25, 25.628638
     0.587,        25, 25.637859
     0.588,        25, 25.647079
     0.589,        25, 25.656297
      0.59,        25, 25.665515
     0.591,        25, 25.674731
     0.592,        25, 25.683945
     0.593,        25, 25.693159
     0.594,        25, 25.702371
     0.595,        25, 25.711582
     0.596,        25, 25.720792
     0.597,        25, 25.730001
     0.598,        25, 25.739208
     0.599,        25, 25.748414
       0.6,        25, 25.757618
     0.601,        25, 25.766822
     0.602,        25, 25.776024
     0.603,        25, 25.785225
     0.604,        25, 25.794424
     0.605,        25, 25.803623
     0.606,        25,  25.81282
     0.607,        25, 25.822016
     0.608,        25,  25.83121
     0.609,        25, 25.840404
      0.61,        25, 25.849596
     0.611,        25, 25.858786
     0.612,        25, 25.867976
     0.613,        25, 25.877164
     0.614,        25, 25.886351
     0.615,        25, 25.895537
     0.616,        25, 25.904721
     0.617,        25, 25.913904
     0.618,        25, 25.923086
     0.619,        25, 25.932267
      0.62,        25, 25.941446
     0.621,        25, 25.950625
     0.622,        25, 25.959802
     0.623,        25, 25.968977
     0.624,        25, 25.978151
