"time","headlight","light_0intensity","light_0switch"
0,0,0,0
0.01,0,0,0.117647
0.01,0,0,0.117647
0.014,0,0,0.164706
0.02,0,0,0.235294
0.02,0,0,0.235294
0.028,0,0,0.329412
0.03,0,0,0.352941
0.03,0,0,0.352941
0.04,0,0,0.470588
0.04,0,0,0.470588
0.042,0,0,0.494118
0.05,0,0,0.588235
0.05,1,0,0.588235
0.056,1,0,0.658824
0.06,1,0,0.705882
0.06,1,0,0.705882
0.07,1,0,0.823529
0.07,1,0,0.823529
0.08,1,0,0.941176
0.08,1,0,0.941176
0.084,1,0,0.988235
0.09,1,0,1.05882
0.09,1,0,1.05882
0.098,1,0,1.15294
0.1,1,0,1.17647
0.1,1,0,1.17647
0.11,1,0,1.29412
0.11,1,0,1.29412
0.112,1,0,1.31765
0.12,1,0,1.41176
0.12,1,0,1.41176
0.126,1,0,1.48235
0.13,1,0,1.52941
0.13,1,0,1.52941
0.14,1,0,1.64706
0.14,1,0,1.64706
0.15,1,0,1.76471
0.15,1,0,1.76471
0.154,1,0,1.81176
0.16,1,0,1.88235
0.16,1,0,1.88235
0.168,1,0,1.97647
0.17,1,0,2
0.17,1,0,2
0.18,1,0.111111,2
0.18,1,0.111111,2
0.182,1,0.133333,2
0.19,1,0.222222,2
0.19,1,0.222222,2
0.196,1,0.288889,2
0.2,1,0.333333,2
0.2,1,0.333333,2
0.21,1,0.444444,2
0.21,1,0.444444,2
0.22,1,0.555556,2
0.22,1,0.555556,2
0.224,1,0.6,2
0.23,1,0.666667,2
0.23,1,0.666667,2
0.238,1,0.755556,2
0.24,1,0.777778,2
0.24,1,0.777778,2
0.25,1,0.888889,2
0.25,1,0.888889,2
0.252,1,0.911111,2
0.26,1,1,2
0.26,1,1,2
0.266,1,1.06667,2
0.27,1,1.11111,2
0.27,1,1.11111,2
0.28,1,1.22222,2
0.28,1,1.22222,2
0.29,1,1.33333,2
0.29,1,1.33333,2
0.294,1,1.37778,2
0.3,1,1.44444,2
0.3,1,1.44444,2
0.308,1,1.53333,2
0.31,1,1.55556,2
0.31,1,1.55556,2
0.32,1,1.66667,2
0.32,1,1.66667,2
0.322,1,1.68889,2
0.33,1,1.77778,2
0.33,1,1.77778,2
0.336,1,1.84444,2
0.34,1,1.88889,2
0.34,1,1.88889,2
0.35,1,2,2
0.35,1,2,2
0.36,1,11,2
0.36,1,11,2
0.364,1,15.8,2
0.37,1,23,2
0.37,1,23,2
0.378,1,37.4,2
0.38,1,41,2
0.38,1,41,2
0.39,1,59,2
0.39,1,59,2
0.392,1,61.6,2
0.4,1,72,2
0.4,1,72,2
0.406,1,78.6,2
0.41,1,83,2
0.41,1,83,2
0.42,1,95,2
0.42,1,95,2
0.43,1,100,2
0.43,1,100,2
0.434,1,99.9987,2
0.44,1,99.9969,2
0.44,1,99.9969,2
0.448,1,99.9943,2
0.45,1,99.9937,2
0.45,1,99.9937,2
0.46,1,99.9906,2
0.46,1,99.9906,2
0.462,1,99.9899,2
0.47,1,99.9874,2
0.47,1,99.9874,2
0.476,1,99.9855,2
0.48,1,99.9843,2
0.48,1,99.9843,2
0.49,1,99.9811,2
0.49,1,99.9811,2
0.5,1,99.978,2
0.5,1,99.978,2
0.504,1,99.9767,2
0.51,1,99.9748,2
0.51,1,99.9748,2
0.518,1,99.9723,2
0.52,1,99.9717,2
0.52,1,99.9717,2
0.53,1,99.9686,2
0.53,1,99.9686,2
0.532,1,99.9679,2
0.54,1,99.9654,2
0.54,1,99.9654,2
0.546,1,99.9635,2
0.55,1,99.9623,2
0.55,1,99.9623,2
0.56,1,99.9591,2
0.56,1,99.9591,2
0.57,1,99.956,2
0.57,1,99.956,2
0.574,1,99.9547,2
0.58,1,99.9528,2
0.58,1,99.9528,2
0.588,1,99.9503,2
0.59,1,99.9497,2
0.59,1,99.9497,2
0.6,1,99.9465,2
0.6,1,99.9465,2
0.602,1,99.9459,2
0.61,1,99.9434,2
0.61,1,99.9434,2
0.616,1,99.9415,2
0.62,1,99.9403,2
0.62,1,99.9403,2
0.63,1,99.9371,2
0.63,1,99.9371,2
0.64,1,99.934,2
0.64,1,99.934,2
0.644,1,99.9327,2
0.65,1,99.9308,2
0.65,1,99.9308,2
0.658,1,99.9283,2
0.66,1,99.9277,2
0.66,1,99.9277,2
0.67,1,99.9245,2
0.67,1,99.9245,2
0.672,1,99.9239,2
0.68,1,99.9214,2
0.68,1,99.9214,2
0.686,1,99.9195,2
0.69,1,99.9182,2
0.69,1,99.9182,2
0.7,1,99.9151,2
0.7,1,99.9151,2
0.71,1,99.9119,2
0.71,1,99.9119,2
0.714,1,99.9107,2
0.72,1,99.9088,2
0.72,1,99.9088,2
0.728,1,99.9063,2
0.73,1,99.9057,2
0.73,1,99.9057,2
0.74,1,99.9025,2
0.74,1,99.9025,2
0.742,1,99.9019,2
0.75,1,99.8994,2
0.75,1,99.8994,2
0.756,1,99.8975,2
0.76,1,99.8962,2
0.76,1,99.8962,2
0.77,1,99.8931,2
0.77,1,99.8931,2
0.78,1,99.8899,2
0.78,1,99.8899,2
0.784,1,99.8887,2
0.79,1,99.8868,2
0.79,1,99.8868,2
0.798,1,99.8843,2
0.8,1,99.8836,2
0.8,1,99.8836,2
0.81,1,99.8805,2
0.81,1,99.8805,2
0.812,1,99.8799,2
0.82,1,99.8774,2
0.82,1,99.8774,2
0.826,1,99.8755,2
0.83,1,99.8742,2
0.83,1,99.8742,2
0.84,1,99.8711,2
0.84,1,99.8711,2
0.85,1,99.8679,2
0.85,1,99.8679,2
0.854,1,99.8667,2
0.86,1,99.8648,2
0.86,1,99.8648,2
0.868,1,99.8623,2
0.87,1,99.8616,2
0.87,1,99.8616,2
0.88,1,99.8585,2
0.88,1,99.8585,2
0.882,1,99.8579,2
0.89,1,99.8553,2
0.89,1,99.8553,2
0.896,1,99.8535,2
0.9,1,99.8522,2
0.9,1,99.8522,2
0.91,1,99.8491,2
0.91,1,99.8491,2
0.92,1,99.8459,2
0.92,1,99.8459,2
0.924,1,99.8447,2
0.93,1,99.8428,2
0.93,1,99.8428,2
0.938,1,99.8402,2
0.94,1,99.8396,2
0.94,1,99.8396,2
0.95,1,99.8365,2
0.95,1,99.8365,2
0.952,1,99.8358,2
0.96,1,99.8333,2
0.96,1,99.8333,2
0.966,1,99.8314,2
0.97,1,99.8302,2
0.97,1,99.8302,2
0.98,1,99.827,2
0.98,1,99.827,2
0.99,1,99.8239,2
0.99,1,99.8239,2
0.994,1,99.8226,2
1,1,99.8208,2
1,1,99.8208,2
1.008,1,99.8182,2
1.01,1,99.8176,2
1.01,1,99.8176,2
1.02,1,99.8145,2
1.02,1,99.8145,2
1.022,1,99.8138,2
1.03,1,99.8113,2
1.03,1,99.8113,2
1.036,1,99.8094,2
1.04,1,99.8082,2
1.04,1,99.8082,2
1.05,1,99.805,2
1.05,1,99.805,2
1.06,1,99.8019,2
1.06,1,99.8019,2
1.064,1,99.8006,2
1.07,1,99.7987,2
1.07,1,99.7987,2
1.078,1,99.7962,2
1.08,1,99.7956,2
1.08,1,99.7956,2
1.09,1,99.7924,2
1.09,1,99.7924,2
1.092,1,99.7918,2
