"time","OAT","fanspeed","valveopen","room.Awall","room.LWT","room.RATinit","room.cAir","room.cWater","room.eps","room.hAir","room.mdotat","room.mdotwt","room.rohAir","room.vAir","wall.TisurfInit","wall.TosurfInit","wall.aWall","wall.cWall","wall.hi","wall.ho","wall.lWall","wall.lambda_Wall","wall.rhoWall","RAT","wall.RAT","room.energy","room.Tisurf","wall.Tosurf","room.der(RAT)","room.der(energy)","wall.der(Tisurf)","wall.der(Tosurf)","room.DT","room.EWT","room.Qin","room.Qout","room.SAT","room.fs","room.mdota","room.mdotw","room.vo","wall.C","wall.R"
0.005,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,16.00000001,0.0024288,15.99999555,9.999942219,1.325976692e-006,0.4857599999,-0.0008902639019,-0.01155608827,0.4846900944,28.38172686,0.4857599999,0.001069905479,25.6,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0055,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,16.00000001,0.00267168,15.9999951,9.999936441,1.325683995e-006,0.4857599999,-0.0008902645545,-0.01155608029,0.4845831036,28.38172686,0.4857599999,0.001176896265,25.6,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.006,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,16.00000001,0.00291456,15.99999466,9.999930663,1.325391298e-006,0.4857599998,-0.0008902652071,-0.01155607231,0.4844761127,28.38172686,0.4857599998,0.001283887093,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0065,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,16.00000001,0.003157439999,15.99999421,9.999924885,1.3250986e-006,0.4857599998,-0.0008902658597,-0.01155606432,0.4843691219,28.38172686,0.4857599998,0.001390877965,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.007,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,16.00000001,0.003400319999,15.99999377,9.999919107,1.324805903e-006,0.4857599998,-0.0008902665123,-0.01155605634,0.4842621309,28.38172686,0.4857599998,0.00149786888,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0075,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,16.00000001,0.003643199999,15.99999332,9.999913329,1.324513206e-006,0.4857599998,-0.0008902671649,-0.01155604836,0.48415514,28.38172686,0.4857599998,0.001604859838,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.008,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,16.00000001,0.003886079999,15.99999288,9.999907551,1.324220508e-006,0.4857599998,-0.0008902678175,-0.01155604037,0.4840481489,28.38172686,0.4857599998,0.00171185084,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0085,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,16.00000001,0.004128959999,15.99999243,9.999901773,1.323927811e-006,0.4857599998,-0.0008902684701,-0.01155603239,0.4839411579,28.38172686,0.4857599998,0.001818841884,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.009,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,16.00000001,0.004371839999,15.99999199,9.999895995,1.323635113e-006,0.4857599998,-0.0008902691227,-0.01155602441,0.4838341668,28.38172687,0.4857599998,0.001925832971,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0095,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,16.00000001,0.004614719999,15.99999154,9.999890217,1.323342415e-006,0.4857599997,-0.0008902697753,-0.01155601643,0.4837271756,28.38172687,0.4857599997,0.002032824103,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
