    "time", "Out1[1]", "Out1[2]",    "Out2",    "Out3",    "Out4",    "Out5", "Out6[1]", "Out6[2]", "Out6[3]", "Out6[4]", "Out6[5]", "Out6[6]",    "Out7", "Out8[1]", "Out8[2]",    "Out9",   "Out10",   "Out11"
         0,         0,         0,         0,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,         0,         6
      0.01,         0,0.0099998333,         0,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,         0,         6
      0.02,         0,0.019998667,         0,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,         0,         6
      0.03,         0, 0.0299955,         0,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,         0,         6
      0.04,         0,0.039989334,         0,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,         0,         6
      0.05,         0,0.049979169,         0,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,         0,         6
      0.06,         0,0.059964006,         0,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,         0,         6
      0.07,         0,0.069942847,         0,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,         0,         6
      0.08,         0,0.079914694,         0,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,         0,         6
      0.09,         0,0.089878549,         1,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,         0,         6
       0.1,         0,0.099833417,         1,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,         0,         6
      0.11,         0, 0.1097783,         1,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,0.019966683,         6
      0.12,         0,0.11971221,         1,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,0.019966683,         6
      0.13,         0,0.12963414,         1,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,0.019966683,         6
      0.14,         0,0.13954311,         1,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,0.019966683,         6
      0.15,         0,0.14943813,         1,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,0.019966683,         6
      0.16,         0,0.15931821,         1,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,0.019966683,         6
      0.17,         0,0.16918235,         2,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,0.019966683,         6
      0.18,         0,0.17902957,         2,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,0.019966683,         6
      0.19,         0,0.18885889,         2,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,0.019966683,         6
       0.2,         0,0.19866933,         2,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,0.019966683,         6
      0.21,         0, 0.2084599,         2,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,0.039733866,         6
      0.22,         0,0.21822962,         2,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,         0,0.039733866,         6
      0.23,         0,0.22797752,         2,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,0.21822962,0.039733866,         6
      0.24,         0,0.23770263,         2,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,0.21822962,0.039733866,         6
      0.25,         0,0.24740396,         2,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,0.21822962,0.039733866,         6
      0.26,         0,0.25708055,         3,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,0.21822962,0.039733866,         6
      0.27,         0,0.26673144,         3,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,0.21822962,0.039733866,         6
      0.28,         0,0.27635565,         3,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,0.21822962,0.039733866,         6
      0.29,         0,0.28595223,         3,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,0.21822962,0.039733866,         6
       0.3,         0,0.29552021,         3,         0,        12,        12,         1,         0,         0,         0,         1,         0,         0,         0,         0,0.21822962,0.039733866,         6
      0.31,         0,0.30505864,         3,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.21822962,0.059104041,         6
      0.32,         0,0.31456656,         3,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.21822962,0.059104041,         6
      0.33,         0,0.32404303,         3,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.21822962,0.059104041,         6
      0.34,         0,0.33348709,         4,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.21822962,0.059104041,         6
      0.35,         0,0.34289781,         4,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.21822962,0.059104041,         6
      0.36,         0,0.35227423,         4,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.21822962,0.059104041,         6
      0.37,         0,0.36161543,         4,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.21822962,0.059104041,         6
      0.38,         0,0.37092047,         4,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.21822962,0.059104041,         6
      0.39,         0,0.38018842,         4,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.21822962,0.059104041,         6
       0.4,         0,0.38941834,         4,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.21822962,0.059104041,         6
      0.41,         0,0.39860933,         4,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.21822962,0.077883668,         6
      0.42,         0,0.40776045,         4,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.21822962,0.077883668,         6
      0.43,         0, 0.4168708,         5,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.21822962,0.077883668,         6
      0.44,         0,0.42593947,         5,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.21822962,0.077883668,         6
      0.45,         0,0.43496553,         5,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.42593947,0.077883668,         6
      0.46,         0,0.44394811,         5,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.42593947,0.077883668,         6
      0.47,         0,0.45288629,         5,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.42593947,0.077883668,         6
      0.48,         0,0.46177918,         5,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.42593947,0.077883668,         6
      0.49,         0,0.47062589,         5,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.42593947,0.077883668,         6
       0.5,         0,0.47942554,         5,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.42593947,0.077883668,         6
      0.51,         0,0.48817725,         5,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.42593947,0.095885108,         6
      0.52,         0,0.49688014,         5,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.42593947,0.095885108,         6
      0.53,         0,0.50553334,         6,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.42593947,0.095885108,         6
      0.54,         0,0.51413599,         6,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.42593947,0.095885108,         6
      0.55,         0,0.52268723,         6,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.42593947,0.095885108,         6
      0.56,         0, 0.5311862,         6,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.42593947,0.095885108,         6
      0.57,         0,0.53963205,         6,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.42593947,0.095885108,         6
      0.58,         0,0.54802394,         6,         0,        12,        12,         1,         0,         0,         0,         1,         0,0.29552021,         0,         0,0.42593947,0.095885108,         6
