"time","outputs_1_","outputs_2_"
0,25,20
0.1,25,20.9931
0.2,25,21.9725
0.3,25,22.9386
0.4,25,23.8914
0.411485,25,24
0.411485,25,24
0.5,25,24.831
0.6,25,25.7577
0.626366,25,26
0.626366,25,26
0.626366,25,26
0.626366,25,26
0.7,25,25.956
0.8,25,25.8967
0.9,25,25.838
1,25,25.7799
1.1,25,25.7224
1.2,25,25.6655
1.3,25,25.6091
1.4,25,25.5532
1.5,25,25.4979
1.6,25,25.4431
1.7,25,25.3889
1.8,25,25.3353
1.9,25,25.2821
2,25,25.2295
2,25,25.2295
2,25,25.2295
2.1,25.4167,25.1775
2.2,25.8333,25.1259
2.26255,26.094,25.094
2.26255,26.094,25.094
2.26255,26.094,25.094
2.26255,26.094,25.094
2.3,26.25,25.4411
2.4,26.6667,26.3595
2.5,27.0833,27.2655
2.6,27.5,28.1591
2.67308,27.8045,28.8045
2.67308,27.8045,28.8045
2.67308,27.8045,28.8045
2.67308,27.8045,28.8045
2.7,27.9167,28.7808
2.8,28.3333,28.6935
2.9,28.75,28.607
3,29.1667,28.5213
3.07071,29.4613,28.4613
3.07071,29.4613,28.4613
3.07071,29.4613,28.4613
3.07071,29.4613,28.4613
3.1,29.5833,28.7195
3.2,30,29.5933
3.3,30.4167,30.4553
3.4,30.8333,31.3057
3.5,31.25,32.1448
3.52535,31.3556,32.3556
3.52535,31.3556,32.3556
3.52535,31.3556,32.3556
3.52535,31.3556,32.3556
3.6,31.6667,32.2637
3.7,32.0833,32.1417
3.8,32.5,32.0209
3.89712,32.9047,31.9047
3.89712,32.9047,31.9047
3.89712,32.9047,31.9047
3.89712,32.9047,31.9047
3.9,32.9167,31.9287
4,33.3333,32.7591
4.1,33.75,33.5784
4.2,34.1667,34.3867
4.3,34.5833,35.1842
4.4,35,35.971
4.40795,35.0331,36.0331
4.40795,35.0331,36.0331
4.40795,35.0331,36.0331
4.40795,35.0331,36.0331
4.5,35.4167,35.8862
4.6,35.8333,35.7282
4.7,36.25,35.5717
4.75624,36.4843,35.4843
4.75624,36.4843,35.4843
4.75624,36.4843,35.4843
4.75624,36.4843,35.4843
4.8,36.6667,35.8281
4.9,37.0833,36.6062
5,37.5,37.3739
5.1,37.9167,38.1314
5.2,38.3333,38.8788
5.3,38.75,39.6162
5.34262,38.9276,39.9276
5.34262,38.9276,39.9276
5.34262,38.9276,39.9276
5.34262,38.9276,39.9276
5.4,39.1667,39.8135
5.5,39.5833,39.6164
5.6,40,39.4212
5.66902,40.2876,39.2876
5.66902,40.2876,39.2876
5.66902,40.2876,39.2876
5.66902,40.2876,39.2876
5.7,40.4167,39.5154
5.8,40.8333,40.2442
5.9,41.25,40.9635
6,41.6667,41.6733
6.1,42.0833,42.3738
6.2,42.5,43.065
6.3,42.9167,43.7472
6.3657,43.1904,44.1904
6.3657,43.1904,44.1904
6.3657,43.1904,44.1904
6.3657,43.1904,44.1904
6.4,43.3333,44.1076
6.5,43.75,43.8677
6.6,44.1667,43.6302
6.67108,44.4628,43.4628
6.67108,44.4628,43.4628
6.67108,44.4628,43.4628
6.67108,44.4628,43.4628
6.7,44.5833,43.6594
6.8,45,44.3335
6.9,45.4167,44.9986
7,45.8333,45.6552
7.1,46.25,46.3031
7.2,46.6667,46.9425
7.3,47.0833,47.5736
7.4,47.5,48.1963
7.5,47.9167,48.811
7.55513,48.1464,49.1464
7.55513,48.1464,49.1464
7.55513,48.1464,49.1464
7.55513,48.1464,49.1464
7.6,48.3333,49.0159
7.7,48.75,48.7272
7.8,49.1667,48.4413
7.83921,49.33,48.33
7.83921,49.33,48.33
7.83921,49.33,48.33
7.83921,49.33,48.33
7.9,49.5833,48.7034
8,50,49.3113
8,50,49.3113
8,50,49.3113
8.1,50,49.9111
8.2,50,50.5031
8.28494,50,51
8.28494,50,51
8.28494,50,51
8.28494,50,51
8.3,50,50.9534
8.4,50,50.6454
8.5,50,50.3404
8.6,50,50.0385
8.7,50,49.7396
8.8,50,49.4436
8.9,50,49.1505
8.95171,50,49
8.95171,50,49
8.95171,50,49
8.95171,50,49
9,50,49.2926
9.1,50,49.8927
9.2,50,50.485
9.28802,50,51
9.28802,50,51
9.28802,50,51
9.28802,50,51
9.3,50,50.9629
9.4,50,50.6548
9.5,50,50.3498
9.6,50,50.0478
9.7,50,49.7487
9.8,50,49.4527
9.9,50,49.1595
9.95485,50,49
9.95485,50,49
9.95485,50,49
9.95485,50,49
10,50,49.2737
10,50,49.2737
