"t","Capacitor1.v","IdealDiode3.off"
0.001,282.82602,1
0.001,282.79263,1
0.001,282.75925,1
0.001,282.72586,1
0.001,282.69244,1
0.001,282.65906,1
0.001,282.62567,1
0.001,282.5923,1
0.001068,265.4823,0
0.001201,263.38495,0
0.001335,261.247,0
0.001468,259.0761,0
0.001602,256.84164,1
0.001735,254.6225,1
0.001868,252.4034,1
0.002002,250.17561,1
0.002135,248.02586,1
0.002269,245.98868,1
0.002402,244.15468,1
0.002536,242.5505,1
0.002669,241.24654,1
0.002802,240.26833,1
0.002936,239.64316,1
0.003069,239.40259,1
0.003203,239.5568,1
0.003336,240.10829,1
0.003469,241.05276,1
0.003603,242.38892,1
0.003736,244.07542,1
0.00387,246.1076,1
0.004003,248.41736,1
0.004137,250.99352,1
0.00427,253.7451,1
0.004403,256.63177,1
0.004537,259.6113,1
0.00467,262.56912,1
0.004804,265.47446,1
0.004937,268.20587,1
0.005071,270.72287,1
0.005204,272.9053,1
0.005337,274.6939,1
0.005471,276.0486,1
0.005604,276.91537,1
0.005738,277.27396,1
0.005871,277.0873,1
0.006005,276.3717,1
0.006138,275.54874,1
0.006271,274.73605,1
0.006405,273.9527,1
0.006538,273.22998,1
0.006672,272.57132,1
0.006805,271.99515,1
0.006938,271.49908,1
0.007072,271.0775,1
0.007205,270.72833,1
0.007339,270.4322,1
0.007472,270.17422,1
0.007606,269.92596,1
0.007739,269.662,1
0.007872,269.34702,1
0.008006,268.94022,1
0.008139,268.40646,1
0.008273,267.693,1
0.008406,266.76358,1
0.00854,265.5551,1
0.008673,264.05402,1
0.008806,262.25702,1
0.00894,260.31613,1
0.009073,258.43768,1
0.009207,256.64825,1
0.00934,255.02295,1
0.009473,253.58981,1
0.009607,252.3758,1
0.00974,251.42722,1
0.009874,250.75073,1
0.010007,250.3695,1
0.010141,250.28317,1
0.010274,250.49048,1
0.010407,250.97942,1
0.010541,251.73882,1
0.010674,252.732,1
0.010808,253.9411,1
0.010941,255.30888,1
0.011075,256.80994,1
0.011208,258.37054,1
0.011341,259.9454,1
0.011475,261.48502,1
0.011608,262.9015,1
0.011742,264.14743,1
0.011875,265.13412,1
0.012009,265.82315,1
0.012142,266.18143,1
0.012275,266.19415,1
0.012409,265.83514,1
0.012542,265.09796,1
0.012676,264.28256,1
0.012809,263.57355,1
0.012942,262.99265,1
0.013076,262.55923,1
0.013209,262.29556,1
0.013343,262.20697,1
0.013476,262.29736,1
0.01361,262.56393,1
0.013743,262.9921,1
0.013876,263.5661,1
0.01401,264.2684,1
0.014143,265.0591,1
0.014277,265.9148,1
