"time","Output1","Output2","Output3","Output4","Output5","Output6"
0.0000000000000000E+00,6.4279779779852575E+01,3.0000000000009959E+02,0.0000000000000000E+00,4.3012500000014285E+01,7.2522522522546602E+00,3.0000000000000004E-01
1.0000000000000000E-02,1.3247227996493530E+02,2.5456831318322384E+02,1.2295054316460592E+02,4.0748688334958452E+01,2.3234441503203183E+01,1.8570171372760353E+01
2.0000000000000000E-02,2.0682047555672119E+02,1.7641549827029365E+02,1.4368673121642018E+02,3.7850605362195942E+01,3.7368237042338286E+01,2.2441540823741647E+01
2.9999999999999999E-02,2.0226411215165928E+02,1.1273467839802571E+02,9.1282439065048152E+01,3.4992601430330510E+01,3.0611646892259287E+01,2.2038452053012762E+01
4.0000000000000001E-02,1.4072484059171543E+02,7.9198823975883144E+01,3.5306460775300252E+01,3.2087999343221362E+01,2.0704997931653121E+01,2.6639469902944651E+01
5.0000000000000003E-02,9.6090005902834847E+01,6.5964460601946115E+01,5.6580603024669243E+00,2.8963333673954654E+01,2.4262044005303427E+01,3.1242758811496358E+01
6.0000000000000005E-02,1.0454217678043470E+02,6.0614424596719317E+01,0.0000000000000000E+00,2.5857309707128987E+01,3.1689589534419593E+01,2.9017448146478685E+01
7.0000000000000007E-02,1.4383615081189751E+02,5.5631239692296958E+01,0.0000000000000000E+00,2.3075042074899407E+01,2.9410317660823900E+01,2.3041834541469314E+01
8.0000000000000002E-02,1.6701183598736915E+02,5.0678335670587039E+01,0.0000000000000000E+00,2.0606440671123799E+01,2.1889591008538769E+01,1.9514614705141007E+01
8.9999999999999997E-02,1.5393639714962637E+02,4.5771551802198964E+01,0.0000000000000000E+00,1.8300978174821420E+01,1.9857278891524146E+01,1.8045212337139137E+01
1.0999999999999999E-01,9.1646984863096634E+01,3.6196093965166625E+01,0.0000000000000000E+00,1.4244976699721494E+01,2.1527710384361253E+01,9.2552715892485935E+00
1.1999999999999998E-01,8.6782833218384283E+01,3.1591919927276582E+01,0.0000000000000000E+00,1.2561473600479351E+01,1.6841627707568058E+01,4.9764725373355594E+00
1.2999999999999998E-01,9.9112028991411236E+01,2.7159989018043543E+01,0.0000000000000000E+00,1.1012898788662348E+01,1.3730075356889609E+01,2.6612608557076309E+00
1.3999999999999999E-01,1.1159336355356361E+02,2.2940430821328590E+01,0.0000000000000000E+00,9.5537025829171593E+00,1.3763056718597989E+01,3.6542081642039315E-01
1.4999999999999999E-01,1.1213937209486870E+02,1.8973479242942201E+01,0.0000000000000000E+00,8.1646808419515313E+00,1.5389684954425794E+01,0.0000000000000000E+00
1.6000000000000000E-01,1.0163479358811236E+02,1.5297709382928423E+01,0.0000000000000000E+00,6.8169211007093331E+00,1.7133783637739445E+01,0.0000000000000000E+00
1.7000000000000001E-01,8.9638799162985052E+01,1.1948311018727249E+01,0.0000000000000000E+00,5.5332814890871891E+00,1.6776573452172997E+01,0.0000000000000000E+00
1.8000000000000002E-01,8.4495612156734325E+01,8.9554543318836934E+00,0.0000000000000000E+00,4.3366253433334210E+00,1.4910363827135972E+01,0.0000000000000000E+00
1.9000000000000003E-01,8.7107831636305093E+01,6.3428003174832241E+00,0.0000000000000000E+00,3.2395572358830744E+00,1.3448101138263894E+01,0.0000000000000000E+00
2.0000000000000004E-01,9.2233824303840137E+01,4.1311372659885519E+00,0.0000000000000000E+00,2.2470063390391588E+00,1.3388010451138275E+01,0.0000000000000000E+00
2.1000000000000005E-01,9.4236148763999211E+01,2.3506969183912010E+00,0.0000000000000000E+00,1.3599103085528446E+00,1.4129506971285924E+01,0.0000000000000000E+00
2.2000000000000006E-01,9.1571481954214590E+01,9.5836526949374168E-01,0.0000000000000000E+00,5.7918488203550722E-01,1.4510483431982420E+01,0.0000000000000000E+00
2.3000000000000007E-01,8.6857577263470688E+01,-1.4755409887792645E-01,0.0000000000000000E+00,-9.0326047454901581E-02,1.4067139742626988E+01,0.0000000000000000E+00
2.4000000000000007E-01,8.3674202703298249E+01,-1.0640122897162074E+00,0.0000000000000000E+00,-6.3618637597740435E-01,1.3259604800325596E+01,0.0000000000000000E+00
2.5000000000000006E-01,8.3490245273094374E+01,-1.8332708658350778E+00,0.0000000000000000E+00,-1.0352369258496499E+00,1.2759793013206625E+01,0.0000000000000000E+00
2.6000000000000006E-01,8.5082799507182784E+01,-2.4053797296993755E+00,0.0000000000000000E+00,-1.2512578673760739E+00,1.2753740306680239E+01,0.0000000000000000E+00
2.7000000000000007E-01,8.6220005575083718E+01,-2.6109873423670895E+00,0.0000000000000000E+00,-1.2337329555682741E+00,1.2911618148898606E+01,0.0000000000000000E+00
2.8000000000000008E-01,8.5673356688135144E+01,-2.1469911113037154E+00,0.0000000000000000E+00,-9.1809954573661023E-01,1.2853267936993921E+01,0.0000000000000000E+00
2.9000000000000009E-01,8.3896907479981067E+01,-5.8605406150711936E-01,0.0000000000000000E+00,-2.2794913180220824E-01,1.2521551330138832E+01,0.0000000000000000E+00
3.0000000000000010E-01,8.2207195251447956E+01,2.5690134040590369E+00,0.0000000000000000E+00,9.2030585412784072E-01,1.2139042235815497E+01,0.0000000000000000E+00
3.1000000000000011E-01,8.1514523920105603E+01,7.7583895038690915E+00,0.0000000000000000E+00,2.6098091713767948E+00,1.1913809525188650E+01,0.0000000000000000E+00
3.2000000000000012E-01,8.1719401914147227E+01,1.5143457417948566E+01,0.0000000000000000E+00,4.9123494049716845E+00,1.1846942194125480E+01,0.0000000000000000E+00
3.3000000000000013E-01,8.2063605507698966E+01,2.4296279933867055E+01,0.0000000000000000E+00,7.8741691303833559E+00,1.1792795197436066E+01,0.0000000000000000E+00
3.4000000000000014E-01,8.1900349649139443E+01,3.3892583112129429E+01,0.0000000000000000E+00,1.1499064707798757E+01,1.1639391730939970E+01,0.0000000000000000E+00
3.5000000000000014E-01,8.1167129002793388E+01,4.3641953303023683E+01,0.0000000000000000E+00,1.5721814415655389E+01,1.2127119975883842E+01,1.2105132746152631E+00
3.6000000000000015E-01,8.0273070128621242E+01,5.3970107941948463E+01,0.0000000000000000E+00,2.0354217974490350E+01,1.5114076676090647E+01,4.1415145523199808E+00
3.7000000000000016E-01,7.9648909490005892E+01,6.4707398213255971E+01,0.0000000000000000E+00,2.5100177367420837E+01,1.9273991575415028E+01,7.5296800893568934E+00
3.8000000000000017E-01,7.9403421698859475E+01,7.5679014600980523E+01,0.0000000000000000E+00,2.9580021704829193E+01,2.2515805940752610E+01,1.1308883928267917E+01
3.9000000000000018E-01,7.9829102217299905E+01,8.6583196859268867E+01,1.5389530975528871E+00,3.3767520846389331E+01,2.5112000329045703E+01,1.5888817388588855E+01
4.0000000000000019E-01,8.3703139705526382E+01,9.5622789978428486E+01,7.9467634564565390E+00,3.7620896391339620E+01,2.8480545288652575E+01,2.0979466298365537E+01
4.1000000000000020E-01,9.0623712953962396E+01,1.0054348964804129E+02,1.4977149818208668E+01,4.0968451887787133E+01,3.2539425599234228E+01,2.5695767874867268E+01
4.2000000000000021E-01,9.6623879216534050E+01,1.0076111361796589E+02,1.8872899128123318E+01,4.3684911196944064E+01,3.6015557291638807E+01,2.9648341088478027E+01
4.3000000000000022E-01,9.8750778357299524E+01,9.7402447599299862E+01,1.8759118293515126E+01,4.5673596477514039E+01,3.8494594022867645E+01,3.3025184948100282E+01
4.4000000000000022E-01,9.7494027378644418E+01,9.2350518105918070E+01,1.5641375268647430E+01,4.6856988126304969E+01,4.0604169361711620E+01,3.5816361904308607E+01
4.5000000000000023E-01,9.5188464785934755E+01,8.7517932239662059E+01,1.0648519446422421E+01,4.7206971936453641E+01,4.2588482094776751E+01,3.7623736084745104E+01
4.6000000000000024E-01,9.3274760896538581E+01,8.4621231200989399E+01,4.7088919103622846E+00,4.6766732341632725E+01,4.3920330018928411E+01,3.8197796818579555E+01
4.7000000000000025E-01,9.1818439786317740E+01,8.4707099063486908E+01,0.0000000000000000E+00,4.5629411280513338E+01,4.4260192308801656E+01,3.7684901917237923E+01
4.8000000000000026E-01,9.2461527859280622E+01,8.5401997829391533E+01,0.0000000000000000E+00,4.3909808726533271E+01,4.3914865153243326E+01,3.6290353620307869E+01
4.9000000000000027E-01,9.2879494092886333E+01,8.5289883836800186E+01,0.0000000000000000E+00,4.1744182844937356E+01,4.3230066400335268E+01,3.4035606579571947E+01
5.0000000000000022E-01,9.1179631205209063E+01,8.3651741902230413E+01,0.0000000000000000E+00,3.8952019876295893E+01,4.2136248361331219E+01,3.0922062895355051E+01
5.1000000000000023E-01,8.7872229857781349E+01,7.9147237397724410E+01,0.0000000000000000E+00,3.5167287211012187E+01,4.0105537887991957E+01,2.6677570451210659E+01
5.2000000000000024E-01,8.4775394208339378E+01,7.4642732893218351E+01,0.0000000000000000E+00,3.1889701365575220E+01,3.7194651285874734E+01,2.2002808035848904E+01
5.3000000000000025E-01,8.3204247554106630E+01,7.0138228388712292E+01,0.0000000000000000E+00,2.9128665561388061E+01,3.4566297256218377E+01,1.7452556658952229E+01
5.4000000000000026E-01,8.3054140115831146E+01,6.5633723884206276E+01,0.0000000000000000E+00,2.6871071110556052E+01,3.2599618599141735E+01,1.2969227833737405E+01
5.5000000000000027E-01,8.3248428336862062E+01,6.1129219379700224E+01,0.0000000000000000E+00,2.5109192052149996E+01,3.0675943505781845E+01,8.6277909847510070E+00
5.6000000000000028E-01,8.2826972883562448E+01,5.6624714875194222E+01,0.0000000000000000E+00,2.3805406927302450E+01,2.8530479264013657E+01,4.8404881974262342E+00
5.7000000000000028E-01,8.1649039002202585E+01,5.2120210370688213E+01,0.0000000000000000E+00,2.2879904721154844E+01,2.6640058791473137E+01,1.8617486545811812E+00
5.8000000000000029E-01,8.0266365208313474E+01,4.7615705866182090E+01,0.0000000000000000E+00,2.2241765542313317E+01,2.5455570554230327E+01,0.0000000000000000E+00
5.9000000000000030E-01,7.9292119028102675E+01,4.3111201361676144E+01,0.0000000000000000E+00,2.1683206983753102E+01,2.6355169698060475E+01,0.0000000000000000E+00
6.0000000000000031E-01,7.8896288654461955E+01,3.8606696857170114E+01,0.0000000000000000E+00,2.1124648425192870E+01,2.7462406984043895E+01,0.0000000000000000E+00
6.1000000000000032E-01,7.8786845300845442E+01,3.4102192352664105E+01,0.0000000000000000E+00,2.0566089866632669E+01,2.6984444176761034E+01,0.0000000000000000E+00
6.2000000000000033E-01,7.8558263521915364E+01,2.9597687848158071E+01,0.0000000000000000E+00,2.0007531308072448E+01,2.5291150207403174E+01,0.0000000000000000E+00
