"time","spring_length_out"
0,400
0.01,400
0.01,400.4897875
0.02,400.4897875
0.02,401.9561009
0.03,401.9561009
0.03,404.3924264
0.04,404.3924264
0.04,407.7896806
0.05,407.7896806
0.05,412.136242
0.06,412.136242
0.06,417.417989
0.07,417.417989
0.07,423.6183441
0.08,423.6183441
0.08,430.7183244
0.09,430.7183244
0.09,438.6965989
0.1,438.6965989
0.1,447.5295514
0.11,447.5295514
0.11,457.1913501
0.12,457.1913501
0.12,467.6540216
0.13,467.6540216
0.13,478.887532
0.14,478.887532
0.14,490.859872
0.15,490.859872
0.15,503.5371476
0.16,503.5371476
0.16,516.8836753
0.17,516.8836753
0.17,530.8620827
0.18,530.8620827
0.18,545.4334118
0.19,545.4334118
0.19,560.5572276
0.2,560.5572276
0.2,576.1917299
0.21,576.1917299
0.21,592.2938683
0.22,592.2938683
0.22,608.8194601
0.23,608.8194601
0.23,625.7233114
0.24,625.7233114
0.24,642.9593403
0.25,642.9593403
0.25,660.4807019
0.26,660.4807019
0.26,678.2399157
0.27,678.2399157
0.27,696.1889933
0.28,696.1889933
0.28,714.2795683
0.29,714.2795683
0.29,732.4630917
0.3,732.4630917
0.3,750.690602
0.31,750.690602
0.31,768.9130557
0.32,768.9130557
0.32,787.0818787
0.33,787.0818787
0.33,805.1487705
0.34,805.1487705
0.34,823.0660591
0.35,823.0660591
0.35,840.7871939
0.36,840.7871939
0.36,858.2648714
0.37,858.2648714
0.37,875.4531376
0.38,875.4531376
0.38,892.3069329
0.39,892.3069329
0.39,908.7822098
0.4,908.7822098
0.4,924.8360473
0.41,924.8360473
0.41,940.4267629
0.42,940.4267629
0.42,955.5140201
0.43,955.5140201
0.43,970.0589323
0.44,970.0589323
0.44,984.0241626
0.45,984.0241626
0.45,997.3740198
0.46,997.3740198
0.46,1010.074549
0.47,1010.074549
0.47,1022.093615
0.48,1022.093615
0.48,1033.400989
0.49,1033.400989
0.49,1043.968418
0.5,1043.968418
0.5,1053.769699
0.51,1053.769699
0.51,1062.780739
0.52,1062.780739
0.52,1070.979619
0.53,1070.979619
0.53,1078.346643
0.54,1078.346643
0.54,1084.864386
0.55,1084.864386
0.55,1090.517735
0.56,1090.517735
0.56,1095.293919
0.57,1095.293919
0.57,1099.182544
0.58,1099.182544
0.58,1102.175607
0.59,1102.175607
0.59,1104.267516
0.6,1104.267516
0.6,1105.455097
0.61,1105.455097
0.61,1105.737595
0.62,1105.737595
0.62,1105.11667
0.63,1105.11667
0.63,1103.596388
0.64,1103.596388
0.64,1101.183201
0.65,1101.183201
0.65,1097.885925
0.66,1097.885925
0.66,1093.71571
0.67,1093.71571
0.67,1088.686004
0.68,1088.686004
0.68,1082.81251
0.69,1082.81251
0.69,1076.11314
0.7,1076.11314
0.7,1068.607961
0.71,1068.607961
0.71,1060.319132
0.72,1060.319132
0.72,1051.270847
0.73,1051.270847
0.73,1041.489257
0.74,1041.489257
0.74,1031.002401
0.75,1031.002401
0.75,1019.840121
0.76,1019.840121
0.76,1008.033982
0.77,1008.033982
0.77,995.6171832
0.78,995.6171832
0.78,982.6244606
0.79,982.6244606
0.79,969.0919949
0.8,969.0919949
0.8,955.057309
0.81,955.057309
0.81,940.5591652
0.82,940.5591652
0.82,925.6374578
0.83,925.6374578
0.83,910.3331045
0.84,910.3331045
0.84,894.6879339
0.85,894.6879339
0.85,878.7445718
0.86,878.7445718
0.86,862.5463257
0.87,862.5463257
0.87,846.137067
0.88,846.137067
0.88,829.5611128
0.89,829.5611128
0.89,812.8630254
0.9,812.8630254
0.9,796.0877031
0.91,796.0877031
0.91,779.2805635
0.92,779.2805635
0.92,762.4865063
0.93,762.4865063
0.93,745.7502756
0.94,745.7502756
0.94,729.1163404
0.95,729.1163404
0.95,712.6287776
0.96,712.6287776
0.96,696.3307244
0.97,696.3307244
0.97,680.264533
0.98,680.264533
0.98,664.4730204
0.99,664.4730204
0.99,648.9975612
1,648.9975612
1,633.8785768
1.01,633.8785768
1.01,619.1554305
1.02,619.1554305
1.02,604.8663249
1.03,604.8663249
1.03,591.0482035
1.04,591.0482035
1.04,577.7366554
1.05,577.7366554
