"time","Ball1_0pos","Ball2_0pos","Ball1_0vel","Ball2_0vel"
1.56,21.4632,21.4632,-0.3036,-0.3036
1.58,21.4552,21.4552,-0.4998,-0.4998
1.6,21.4432,21.4432,-0.696,-0.696
1.62,21.4273,21.4273,-0.8922,-0.8922
1.64,21.4075,21.4075,-1.0884,-1.0884
1.66,21.3838,21.3838,-1.2846,-1.2846
1.68,21.3561,21.3561,-1.4808,-1.4808
1.7,21.3246,21.3246,-1.677,-1.677
1.72,21.289,21.289,-1.8732,-1.8732
1.74,21.2496,21.2496,-2.0694,-2.0694
1.76,21.2063,21.2063,-2.2656,-2.2656
1.78,21.159,21.159,-2.4618,-2.4618
1.8,21.1078,21.1078,-2.658,-2.658
1.82,21.0527,21.0527,-2.8542,-2.8542
1.84,20.9936,20.9936,-3.0504,-3.0504
1.86,20.9307,20.9307,-3.2466,-3.2466
1.88,20.8638,20.8638,-3.4428,-3.4428
1.9,20.7929,20.7929,-3.639,-3.639
1.92,20.7182,20.7182,-3.8352,-3.8352
1.94,20.6395,20.6395,-4.0314,-4.0314
1.96,20.557,20.557,-4.2276,-4.2276
1.98,20.4704,20.4704,-4.4238,-4.4238
2,20.38,20.38,-4.62,-4.62
2.02,20.2856,20.2856,-4.8162,-4.8162
2.04,20.1874,20.1874,-5.0124,-5.0124
2.06,20.0851,20.0851,-5.2086,-5.2086
2.08,19.979,19.979,-5.4048,-5.4048
2.1,19.8689,19.8689,-5.601,-5.601
2.12,19.755,19.755,-5.7972,-5.7972
2.14,19.6371,19.6371,-5.9934,-5.9934
2.16,19.5152,19.5152,-6.1896,-6.1896
2.18,19.3895,19.3895,-6.3858,-6.3858
2.2,19.2598,19.2598,-6.582,-6.582
2.22,19.1262,19.1262,-6.7782,-6.7782
2.24,18.9887,18.9887,-6.9744,-6.9744
2.26,18.8472,18.8472,-7.1706,-7.1706
2.28,18.7018,18.7018,-7.3668,-7.3668
2.3,18.5525,18.5525,-7.563,-7.563
2.32,18.3993,18.3993,-7.7592,-7.7592
2.34,18.2422,18.2422,-7.9554,-7.9554
2.36,18.0811,18.0811,-8.1516,-8.1516
2.38,17.9161,17.9161,-8.3478,-8.3478
2.4,17.7472,17.7472,-8.544,-8.544
2.42,17.5744,17.5744,-8.7402,-8.7402
2.44,17.3976,17.3976,-8.9364,-8.9364
2.46,17.2169,17.2169,-9.1326,-9.1326
2.48,17.0323,17.0323,-9.3288,-9.3288
2.5,16.8438,16.8438,-9.525,-9.525
2.52,16.6513,16.6513,-9.7212,-9.7212
2.54,16.4549,16.4549,-9.9174,-9.9174
2.56,16.2546,16.2546,-10.1136,-10.1136
2.58,16.0504,16.0504,-10.3098,-10.3098
2.6,15.8422,15.8422,-10.506,-10.506
2.62,15.6301,15.6301,-10.7022,-10.7022
2.64,15.4141,15.4141,-10.8984,-10.8984
2.66,15.1942,15.1942,-11.0946,-11.0946
2.68,14.9703,14.9703,-11.2908,-11.2908
2.7,14.7425,14.7425,-11.487,-11.487
2.72,14.5108,14.5108,-11.6832,-11.6832
2.74,14.2752,14.2752,-11.8794,-11.8794
2.76,14.0357,14.0357,-12.0756,-12.0756
2.78,13.7922,13.7922,-12.2718,-12.2718
2.8,13.5448,13.5448,-12.468,-12.468
2.82,13.2935,13.2935,-12.6642,-12.6642
2.84,13.0382,13.0382,-12.8604,-12.8604
2.86,12.7791,12.7791,-13.0566,-13.0566
2.88,12.516,12.516,-13.2528,-13.2528
2.9,12.249,12.249,-13.449,-13.449
2.92,11.978,11.978,-13.6452,-13.6452
2.94,11.7031,11.7031,-13.8414,-13.8414
2.96,11.4244,11.4244,-14.0376,-14.0376
2.98,11.1416,11.1416,-14.2338,-14.2338
3,10.855,10.855,-14.43,-14.43
3.02,10.5644,10.5644,-14.6262,-14.6262
3.04,10.27,10.27,-14.8224,-14.8224
3.06,9.97154,9.97154,-15.0186,-15.0186
3.08,9.66921,9.66921,-15.2148,-15.2148
3.1,9.36295,9.36295,-15.411,-15.411
3.12,9.05277,9.05277,-15.6072,-15.6072
3.14,8.73866,8.73866,-15.8034,-15.8034
3.16,8.42063,8.42063,-15.9996,-15.9996
3.18,8.09868,8.09868,-16.1958,-16.1958
3.2,7.7728,7.7728,-16.392,-16.392
3.22,7.443,7.443,-16.5882,-16.5882
3.24,7.10927,7.10927,-16.7844,-16.7844
3.26,6.77162,6.77162,-16.9806,-16.9806
3.28,6.43005,6.43005,-17.1768,-17.1768
3.3,6.08455,6.08455,-17.373,-17.373
3.32,5.73513,5.73513,-17.5692,-17.5692
3.34,5.38178,5.38178,-17.7654,-17.7654
3.36,5.02451,5.02451,-17.9616,-17.9616
3.38,4.66332,4.66332,-18.1578,-18.1578
3.4,4.2982,4.2982,-18.354,-18.354
3.42,3.92916,3.92916,-18.5502,-18.5502
3.44,3.55619,3.55619,-18.7464,-18.7464
3.46,3.1793,3.1793,-18.9426,-18.9426
3.48,2.79849,2.79849,-19.1388,-19.1388
3.5,2.41375,2.41375,-19.335,-19.335
3.52,2.02509,2.02509,-19.5312,-19.5312
3.54,1.6325,1.6325,-19.7274,-19.7274
3.56,1.23599,1.23599,-19.9236,-19.9236
3.58,0.835558,0.835558,-20.1198,-20.1198
3.6,0.4312,0.4312,-20.316,-20.316
3.62,0.022918,0.022918,-20.5122,-20.5122
3.62112,-2.14317e-012,-2.14317e-012,-20.5232,-20.5232
3.62112,0,0,16.4185,15.3924
3.64,0.308282,0.288905,16.2333,15.2071
3.66,0.630986,0.591086,16.0371,15.0109
3.68,0.949766,0.889342,15.8409,14.8147
3.7,1.26462,1.18367,15.6447,14.6185
3.72,1.57555,1.47408,15.4485,14.4223
3.74,1.88256,1.76057,15.2523,14.2261
3.76,2.18564,2.04313,15.0561,14.0299
3.78,2.4848,2.32176,14.8599,13.8337
3.8,2.78004,2.59648,14.6637,13.6375
3.82,3.07135,2.86727,14.4675,13.4413
3.84,3.35874,3.13413,14.2713,13.2451
3.86,3.6422,3.39707,14.0751,13.0489
3.88,3.92174,3.65609,13.8789,12.8527
3.9,4.19736,3.91118,13.6827,12.6565
3.92,4.46905,4.16235,13.4865,12.4603
3.94,4.73682,4.40959,13.2903,12.2641
3.96,5.00066,4.65291,13.0941,12.0679
3.98,5.26058,4.89231,12.8979,11.8717
4,5.51658,5.12778,12.7017,11.6755
4.02,5.76865,5.35933,12.5055,11.4793
4.04,6.0168,5.58696,12.3093,11.2831
4.06,6.26102,5.81066,12.1131,11.0869
4.08,6.50132,6.03043,11.9169,10.8907
4.1,6.73769,6.24629,11.7207,10.6945
4.12,6.97015,6.45821,11.5245,10.4983
4.14,7.19867,6.66622,11.3283,10.3021
4.16,7.42328,6.8703,11.1321,10.1059
4.18,7.64396,7.07046,10.9359,9.90973
4.2,7.86071,7.26669,10.7397,9.71353
4.22,8.07354,7.459,10.5435,9.51733
4.24,8.28245,7.64738,10.3473,9.32113
4.26,8.48744,7.83184,10.1511,9.12493
4.28,8.6885,8.01238,9.95488,8.92873
4.3,8.88563,8.18899,9.75868,8.73253
4.32,9.07884,8.36168,9.56248,8.53633
4.34,9.26813,8.53044,9.36628,8.34013
4.36,9.4535,8.69528,9.17008,8.14393
4.38,9.63493,8.8562,8.97388,7.94773
4.4,9.81245,9.01319,8.77768,7.75153
4.42,9.98604,9.16626,8.58148,7.55533
4.44,10.1557,9.31541,8.38528,7.35913
4.46,10.3215,9.46063,8.18908,7.16293
4.48,10.4833,9.60192,7.99288,6.96673
4.5,10.6412,9.7393,7.79668,6.77053
4.52,10.7951,9.87274,7.60048,6.57433
4.54,10.9452,10.0023,7.40428,6.37813
4.56,11.0913,10.1279,7.20808,6.18193
4.58,11.2335,10.2495,7.01188,5.98573
4.6,11.3718,10.3673,6.81568,5.78953
4.62,11.5061,10.4811,6.61948,5.59333
4.64,11.6366,10.591,6.42328,5.39713
4.66,11.7631,10.697,6.22708,5.20093
4.68,11.8856,10.7991,6.03088,5.00473
4.7,12.0043,10.8972,5.83468,4.80853
4.72,12.119,10.9914,5.63848,4.61233
4.74,12.2298,11.0817,5.44228,4.41613
4.76,12.3367,11.1681,5.24608,4.21993
4.78,12.4397,11.2505,5.04988,4.02373
4.8,12.5387,11.329,4.85368,3.82753
4.82,12.6338,11.4036,4.65748,3.63133
4.84,12.725,11.4743,4.46128,3.43513
4.86,12.8123,11.541,4.26508,3.23893
4.88,12.8956,11.6038,4.06888,3.04273
4.9,12.975,11.6627,3.87268,2.84653
4.92,13.0505,11.7177,3.67648,2.65033
4.94,13.1221,11.7687,3.48028,2.45413
4.96,13.1897,11.8158,3.28408,2.25793
4.98,13.2535,11.859,3.08788,2.06173
5,13.3133,11.8983,2.89168,1.86553
5.02,13.3691,11.9337,2.69548,1.66933
5.04,13.4211,11.9651,2.49928,1.47313
5.06,13.4691,11.9926,2.30308,1.27693
5.08,13.5132,12.0162,2.10688,1.08073
5.1,13.5534,12.0358,1.91068,0.884526
5.12,13.5896,12.0515,1.71448,0.688326
5.14,13.622,12.0633,1.51828,0.492126
5.16,13.6504,12.0712,1.32208,0.295926
5.18,13.6748,12.0752,1.12588,0.0997259
5.2,13.6954,12.0752,0.929684,-0.0964741
5.22,13.712,12.0713,0.733484,-0.292674
5.24,13.7247,12.0635,0.537284,-0.488874
5.26,13.7335,12.0518,0.341084,-0.685074
5.28,13.7384,12.0361,0.144884,-0.881274
5.3,13.7393,12.0165,-0.0513162,-1.07747
5.32,13.7363,11.993,-0.247516,-1.27367
5.34,13.7294,11.9656,-0.443716,-1.46987
5.36,13.7186,11.9342,-0.639916,-1.66607
5.38,13.7038,11.8989,-0.836116,-1.86227
5.4,13.6851,11.8597,-1.03232,-2.05847
5.42,13.6625,11.8166,-1.22852,-2.25467
5.44,13.636,11.7695,-1.42472,-2.45087
5.46,13.6055,11.7186,-1.62092,-2.64707
5.48,13.5712,11.6636,-1.81712,-2.84327
5.5,13.5329,11.6048,-2.01332,-3.03947
5.52,13.4906,11.5421,-2.20952,-3.23567
5.54,13.4445,11.4754,-2.40572,-3.43187
5.56,13.3944,11.4048,-2.60192,-3.62807
5.58,13.3404,11.3303,-2.79812,-3.82427
5.6,13.2825,11.2518,-2.99432,-4.02047
5.62,13.2206,11.1695,-3.19052,-4.21667
5.64,13.1549,11.0832,-3.38672,-4.41287
5.66,13.0852,10.9929,-3.58292,-4.60907
5.68,13.0115,10.8988,-3.77912,-4.80527
5.7,12.934,10.8007,-3.97532,-5.00147
5.72,12.8525,10.6987,-4.17152,-5.19767
5.74,12.7671,10.5928,-4.36772,-5.39387
5.76,12.6778,10.483,-4.56392,-5.59007
5.78,12.5846,10.3692,-4.76012,-5.78627
5.8,12.4874,10.2515,-4.95632,-5.98247
5.82,12.3863,10.1299,-5.15252,-6.17867
5.84,12.2813,10.0044,-5.34872,-6.37487
5.86,12.1724,9.87492,-5.54492,-6.57107
5.88,12.0595,9.74154,-5.74112,-6.76727
5.9,11.9427,9.60423,-5.93732,-6.96347
5.92,11.822,9.463,-6.13352,-7.15967
5.94,11.6974,9.31784,-6.32972,-7.35587
5.96,11.5688,9.16877,-6.52592,-7.55207
5.98,11.4363,9.01576,-6.72212,-7.74827
6,11.2999,8.85883,-6.91832,-7.94447
6.02,11.1596,8.69798,-7.11452,-8.14067
6.04,11.0154,8.53321,-7.31072,-8.33687
6.06,10.8672,8.36451,-7.50692,-8.53307
6.08,10.7151,8.19188,-7.70312,-8.72927
6.1,10.5591,8.01534,-7.89932,-8.92547
6.12,10.3991,7.83487,-8.09552,-9.12167
6.14,10.2352,7.65047,-8.29172,-9.31787
6.16,10.0674,7.46215,-8.48792,-9.51407
6.18,9.89573,7.26991,-8.68412,-9.71027
6.2,9.72008,7.07374,-8.88032,-9.90647
6.22,9.54051,6.87365,-9.07652,-10.1027
6.24,9.35702,6.66963,-9.27272,-10.2989
6.26,9.1696,6.46169,-9.46892,-10.4951
6.28,8.97826,6.24983,-9.66512,-10.6913
6.3,8.783,6.03404,-9.86132,-10.8875
6.32,8.58381,5.81433,-10.0575,-11.0837
6.34,8.3807,5.5907,-10.2537,-11.2799
6.36,8.17366,5.36314,-10.4499,-11.4761
6.38,7.9627,5.13165,-10.6461,-11.6723
6.4,7.74782,4.89625,-10.8423,-11.8685
6.42,7.52901,4.65691,-11.0385,-12.0647
6.44,7.30628,4.41366,-11.2347,-12.2609
6.46,7.07962,4.16648,-11.4309,-12.4571
6.48,6.84904,3.91537,-11.6271,-12.6533
6.5,6.61454,3.66035,-11.8233,-12.8495
6.52,6.37611,3.4014,-12.0195,-13.0457
6.54,6.13376,3.13852,-12.2157,-13.2419
6.56,5.88748,2.87172,-12.4119,-13.4381
6.58,5.63728,2.601,-12.6081,-13.6343
6.6,5.38315,2.32635,-12.8043,-13.8305
6.62,5.12511,2.04778,-13.0005,-14.0267
6.64,4.86313,1.76528,-13.1967,-14.2229
6.66,4.59724,1.47886,-13.3929,-14.4191
6.68,4.32742,1.18852,-13.5891,-14.6153
6.7,4.05367,0.894253,-13.7853,-14.8115
6.72,3.776,0.596061,-13.9815,-15.0077
6.74,3.49441,0.293946,-14.1777,-15.2039
6.75921,3.22018,-2.26605e-011,-14.3662,-15.3924
6.75921,3.22018,0,-14.3662,11.5443
6.76,3.2089,0.00906514,-14.3739,11.5366
6.78,2.91946,0.237835,-14.5701,11.3404
6.8,2.62609,0.46268,-14.7663,11.1442
6.82,2.3288,0.683601,-14.9625,10.948
6.84,2.02759,0.900599,-15.1587,10.7518
6.86,1.72245,1.11367,-15.3549,10.5556
6.88,1.41339,1.32282,-15.5511,10.3594
6.9,1.10041,1.52805,-15.7473,10.1632
6.92,0.783501,1.72935,-15.9435,9.96697
6.94,0.462669,1.92673,-16.1397,9.77077
6.96,0.137912,2.12018,-16.3359,9.57457
6.96842,-2.33616e-011,2.20046,-16.4185,9.49196
6.96842,0,2.20046,13.1348,9.49196
6.98,0.151431,2.30971,13.0212,9.37837
7,0.409893,2.49531,12.825,9.18217
7.02,0.664432,2.677,12.6288,8.98597
7.04,0.915046,2.85475,12.4326,8.78977
7.06,1.16174,3.02859,12.2364,8.59357
7.08,1.4045,3.1985,12.0402,8.39737
7.1,1.64335,3.36448,11.844,8.20117
7.12,1.87826,3.52654,11.6478,8.00497
7.14,2.10926,3.68468,11.4516,7.80877
7.16,2.33633,3.83889,11.2554,7.61257
7.18,2.55948,3.98918,11.0592,7.41637
7.2,2.7787,4.13555,10.863,7.22017
7.22,2.994,4.27799,10.6668,7.02397
7.24,3.20537,4.41651,10.4706,6.82777
7.26,3.41282,4.5511,10.2744,6.63157
7.28,3.61635,4.68177,10.0782,6.43537
7.3,3.81595,4.80852,9.88203,6.23917
7.32,4.01163,4.93134,9.68583,6.04297
7.34,4.20339,5.05023,9.48963,5.84677
7.36,4.39122,5.16521,9.29343,5.65057
7.38,4.57512,5.27626,9.09723,5.45437
7.4,4.75511,5.38338,8.90103,5.25817
7.42,4.93116,5.48658,8.70483,5.06197
7.44,5.1033,5.58586,8.50863,4.86577
7.46,5.27151,5.68121,8.31243,4.66957
7.48,5.4358,5.77264,8.11623,4.47337
7.5,5.59616,5.86015,7.92003,4.27717
7.52,5.7526,5.94373,7.72383,4.08097
7.54,5.90511,6.02339,7.52763,3.88477
7.56,6.0537,6.09912,7.33143,3.68857
7.58,6.19837,6.17093,7.13523,3.49237
7.6,6.33911,6.23882,6.93903,3.29617
7.62,6.47593,6.30278,6.74283,3.09997
7.64,6.60882,6.36281,6.54663,2.90377
7.66,6.7378,6.41893,6.35043,2.70757
7.68,6.86284,6.47112,6.15423,2.51137
7.7,6.98396,6.51938,5.95803,2.31517
7.72,7.10116,6.56372,5.76183,2.11897
7.74,7.21444,6.60414,5.56563,1.92277
7.76,7.32379,6.64064,5.36943,1.72657
7.78,7.42922,6.6732,5.17323,1.53037
7.8,7.53072,6.70185,4.97703,1.33417
7.82,7.6283,6.72657,4.78083,1.13797
7.84,7.72195,6.74737,4.58463,0.94177
7.86,7.81168,6.76424,4.38843,0.74557
7.88,7.89749,6.77719,4.19223,0.54937
7.9,7.97937,6.78622,3.99603,0.35317
7.92,8.05733,6.79132,3.79983,0.15697
7.94,8.13136,6.7925,3.60363,-0.0392297
7.96,8.20148,6.78975,3.40743,-0.23543
7.98,8.26766,6.78308,3.21123,-0.43163
8,8.32992,6.77248,3.01503,-0.62783
8.02,8.38826,6.75797,2.81883,-0.82403
8.04,8.44268,6.73952,2.62263,-1.02023
8.06,8.49317,6.71716,2.42643,-1.21643
8.08,8.53973,6.69087,2.23023,-1.41263
8.1,8.58238,6.66065,2.03403,-1.60883
8.12,8.6211,6.62651,1.83783,-1.80503
8.14,8.65589,6.58845,1.64163,-2.00123
8.16,8.68676,6.54646,1.44543,-2.19743
8.18,8.71371,6.50055,1.24923,-2.39363
8.2,8.73673,6.45072,1.05303,-2.58983
8.22,8.75583,6.39696,0.856831,-2.78603
8.24,8.771,6.33928,0.660631,-2.98223
8.26,8.78225,6.27767,0.464431,-3.17843
8.28,8.78958,6.21214,0.268231,-3.37463
8.3,8.79298,6.14269,0.0720308,-3.57083
8.32,8.79246,6.06931,-0.124169,-3.76703
8.34,8.78802,5.992,-0.320369,-3.96323
8.36,8.77965,5.91078,-0.516569,-4.15943
8.38,8.76735,5.82563,-0.712769,-4.35563
8.4,8.75114,5.73655,-0.908969,-4.55183
8.42,8.731,5.64355,-1.10517,-4.74803
8.44,8.70693,5.54663,-1.30137,-4.94423
8.46,8.67894,5.44578,-1.49757,-5.14043
8.48,8.64703,5.34101,-1.69377,-5.33663
8.5,8.61119,5.23232,-1.88997,-5.53283
8.52,8.57143,5.1197,-2.08617,-5.72903
8.54,8.52774,5.00316,-2.28237,-5.92523
8.56,8.48013,4.88269,-2.47857,-6.12143
8.58,8.4286,4.7583,-2.67477,-6.31763
8.6,8.37314,4.62999,-2.87097,-6.51383
8.62,8.31376,4.49775,-3.06717,-6.71003
8.64,8.25046,4.36159,-3.26337,-6.90623
8.66,8.18323,4.2215,-3.45957,-7.10243
8.68,8.11207,4.07749,-3.65577,-7.29863
8.7,8.037,3.92955,-3.85197,-7.49483
8.72,7.95799,3.77769,-4.04817,-7.69103
8.74,7.87507,3.62191,-4.24437,-7.88723
8.76,7.78822,3.46221,-4.44057,-8.08343
8.78,7.69745,3.29858,-4.63677,-8.27963
8.8,7.60275,3.13102,-4.83297,-8.47583
8.82,7.50413,2.95954,-5.02917,-8.67203
8.84,7.40158,2.78414,-5.22537,-8.86823
8.86,7.29511,2.60481,-5.42157,-9.06443
8.88,7.18472,2.42156,-5.61777,-9.26063
8.9,7.0704,2.23439,-5.81397,-9.45683
8.92,6.95216,2.04329,-6.01017,-9.65303
8.94,6.83,1.84827,-6.20637,-9.84923
8.96,6.70391,1.64932,-6.40257,-10.0454
8.98,6.57389,1.44645,-6.59877,-10.2416
9,6.43995,1.23965,-6.79497,-10.4378
9.02,6.30209,1.02894,-6.99117,-10.634
9.04,6.16031,0.814293,-7.18737,-10.8302
9.06,6.0146,0.595727,-7.38357,-11.0264
9.08,5.86497,0.373236,-7.57977,-11.2226
9.1,5.71141,0.146822,-7.77597,-11.4188
9.11279,5.61117,-1.26039e-011,-7.90142,-11.5443
9.11279,5.61117,0,-7.90142,8.65821
9.12,5.55393,0.0621912,-7.97217,8.58745
9.14,5.39252,0.231978,-8.16837,8.39125
9.16,5.22719,0.397841,-8.36457,8.19505
9.18,5.05794,0.55978,-8.56077,7.99885
9.2,4.88476,0.717795,-8.75697,7.80265
9.22,4.70766,0.871887,-8.95317,7.60645
9.24,4.52663,1.02205,-9.14937,7.41025
9.26,4.34168,1.1683,-9.34557,7.21405
9.28,4.15281,1.31062,-9.54177,7.01785
9.3,3.96001,1.44901,-9.73797,6.82165
9.32,3.76329,1.58348,-9.93417,6.62545
9.34,3.56265,1.71403,-10.1304,6.42925
9.36,3.35808,1.84065,-10.3266,6.23305
9.38,3.14958,1.96335,-10.5228,6.03685
9.4,2.93717,2.08213,-10.719,5.84065
9.42,2.72083,2.19698,-10.9152,5.64445
9.44,2.50056,2.3079,-11.1114,5.44825
9.46,2.27637,2.41491,-11.3076,5.25205
9.48,2.04826,2.51799,-11.5038,5.05585
9.5,1.81622,2.61714,-11.7,4.85965
9.52,1.58026,2.71237,-11.8962,4.66345
9.54,1.34037,2.80368,-12.0924,4.46725
9.56,1.09656,2.89106,-12.2886,4.27105
9.58,0.848831,2.97452,-12.4848,4.07485
9.6,0.597173,3.05406,-12.681,3.87865
9.62,0.341592,3.12967,-12.8772,3.68245
9.64,0.0820865,3.20135,-13.0734,3.48625
9.64626,-1.00085e-010,3.223,-13.1348,3.4248
9.64626,0,3.223,10.5079,3.4248
9.66,0.143409,3.26912,10.3731,3.29005
9.68,0.348909,3.33296,10.1769,3.09385
9.7,0.550485,3.39287,9.98071,2.89765
9.72,0.748137,3.44886,9.78451,2.70145
9.74,0.941865,3.50093,9.58831,2.50525
9.76,1.13167,3.54907,9.39211,2.30905
9.78,1.31755,3.59329,9.19591,2.11285
9.8,1.49951,3.63359,8.99971,1.91665
9.82,1.67754,3.66996,8.80351,1.72045
9.84,1.85165,3.70241,8.60731,1.52425
9.86,2.02183,3.73093,8.41111,1.32805
9.88,2.18809,3.75553,8.21491,1.13185
9.9,2.35043,3.7762,8.01871,0.935654
9.92,2.50884,3.79295,7.82251,0.739454
9.94,2.66333,3.80578,7.62631,0.543254
9.96,2.81389,3.81468,7.43011,0.347054
9.98,2.96053,3.81966,7.23391,0.150854
10,3.10325,3.82072,7.03771,-0.0453464
10,3.10325,3.82072,7.03771,-0.0453464
