"time","dataOut1","dataOut2"
0.01,1,1
0.06,1,1
0.12,1,1
0.17,1,1
0.22,1,1
0.27,1,1
0.32,1,1
0.37,1,1
0.42,1,1
0.47,1,1
0.53,1,1
0.58,1,1
0.63,1,1
0.68,1,1
0.73,1,1
0.78,1,1
0.83,1,1
0.88,1,1
0.93,1,1
0.98,1,1
1.04,1,1
1.09,1,1
1.14,1,1
1.19,1,1
1.24,1,1
1.29,1,1
1.34,1,1
1.39,1,1
1.44,1,1
1.49,1,1
1.54,1,1
1.59,1,1
1.64,1,1
1.69,1,1
1.74,1,1
1.79,1,1
1.84,1,1
1.89,1,1
1.94,1,1
1.99,1,1
2.05,1,1
2.11,1,1
2.17,1,1
2.23,1,1
2.29,1,1
2.35,1,1
2.41,1,1
2.47,1,1
2.53,1,1
2.59,1,1
2.65,1,1
2.71,1,1
2.77,1,1
2.83,1,1
2.89,1,1
2.95,1,1
3.01,1,1
3.07,1,1
3.13,1,1
3.19,1,1
3.25,1,1
3.31,1,1
3.37,1,1
3.43,1,1
3.49,1,1
3.55,1,1
3.61,1,1
3.67,1,1
3.73,1,1
3.79,1,1
3.85,1,1
3.91,1,1
3.97,1,1
4.03,1,1
4.09,1,1
4.15,1,1
4.21,1,1
4.27,1,1
4.33,1,1
4.39,1,1
4.45,1,1
4.51,1,1
4.57,1,1
4.63,1,1
4.69,1,1
4.75,1,1
4.81,1,1
4.87,1,1
4.93,1,1
4.99,1,1
5.05,1,1
5.11,1,1
5.17,1,1
5.23,1,1
5.29,1,1
5.35,1,1
5.41,1,1
5.47,1,1
5.53,1,1
5.59,1,1
5.65,1,1
5.71,1,1
5.77,1,1
5.83,1,1
5.89,1,1
5.95,1,1
6.01,3,3
6.07,3,3
6.13,3,3
6.19,3,3
6.25,3,3
6.31,3,3
6.37,3,3
6.43,3,3
6.49,3,3
6.55,3,3
6.61,3,3
6.67,3,3
6.73,3,3
6.79,3,3
6.85,3,3
6.91,3,3
6.97,3,3
7.03,3,3
7.09,3,3
7.15,3,3
7.21,3,3
7.27,3,3
7.33,3,3
7.39,3,3
7.45,3,3
7.51,3,3
7.57,3,3
7.63,3,3
7.69,3,3
7.75,3,3
7.81,3,3
7.87,3,3
7.93,3,3
7.99,3,3
8.05,3,3
8.11,3,3
8.17,3,3
8.23,3,3
8.29,3,3
8.35,3,3
8.41,3,3
8.47,3,3
8.53,3,3
8.59,3,3
8.65,3,3
8.71,3,3
8.77,3,3
8.83,3,3
8.89,3,3
8.95,3,3
9.01,3,3
9.07,3,3
9.13,3,3
9.19,3,3
9.25,3,3
9.31,3,3
