"Time","temperatureSensor.port.T"
0,293.15
0,293.15
0.02,293.15
0.04,293.15
0.06,293.15
0.08,293.15
0.1,293.15
0.12,293.15
0.14,293.15
0.16,293.15
0.18,293.15
0.2,293.15
0.22,293.15
0.24,293.15
0.26,293.15
0.28,293.15
0.3,293.15
0.32,293.15
0.34,293.15
0.36,293.15
0.38,293.15
0.4,293.15
0.42,293.15
0.44,293.15
0.46,293.15
0.48,293.15
0.5,293.15
0.52,293.15
0.54,293.15
0.56,293.15
0.58,293.15
0.6,293.15
0.62,293.15
0.64,293.15
0.66,293.15
0.68,293.15
0.7,293.15
0.72,293.15
0.74,293.15
0.76,293.15
0.78,293.15
0.8,293.15
0.82,293.15
0.84,293.15
0.86,293.15
0.88,293.15
0.9,293.15
0.92,293.15
0.94,293.15
0.96,293.15
0.98,293.15
1,293.15
1.02,293.15
1.04,293.15
1.06,293.15
1.08,293.15
1.1,293.15
1.12,293.15
1.14,293.15
1.16,293.15
1.18,293.15
1.2,293.15
1.22,293.15
1.24,293.15
1.26,293.15
1.28,293.15
1.3,293.15
1.32,293.15
1.34,293.15
1.36,293.15
1.38,293.15
1.4,293.15
1.42,293.15
1.44,293.15
1.46,293.15
1.48,293.15
1.5,293.15
1.52,293.15
1.54,293.15
1.56,293.15
1.58,293.15
1.6,293.15
1.62,293.15
1.64,293.15
1.66,293.15
1.68,293.15
1.7,293.15
1.72,293.15
1.74,293.15
1.76,293.15
1.78,293.15
1.8,293.15
1.82,293.15
1.84,293.15
1.86,293.15
1.88,293.15
1.9,293.15
1.92,293.15
1.94,293.15
1.96,293.15
1.98,293.15
2,293.15
2.02,293.15
2.04,293.15
2.06,293.15
2.08,293.15
2.1,293.15
2.12,293.15
2.14,293.15
2.16,293.15
2.18,293.15
2.2,293.15
2.22,293.15
2.24,293.15
2.26,293.15
2.28,293.15
2.3,293.15
2.32,293.15
2.34,293.15
2.36,293.15
2.38,293.15
2.4,293.15
2.42,293.15
2.44,293.15
2.46,293.15
2.48,293.15
2.5,293.15
2.52,293.15
2.54,293.15
2.56,293.15
2.58,293.15
2.6,293.15
2.62,293.15
2.64,293.15
2.66,293.15
2.68,293.15
2.7,293.15
2.72,293.15
2.74,293.15
2.76,293.15
2.78,293.15
2.8,293.15
2.82,293.15
2.84,293.15
2.86,293.15
2.88,293.15
2.9,293.15
2.92,293.15
2.94,293.15
2.96,293.15
2.98,293.15
3,293.15
3.02,293.15
3.04,293.15
3.06,293.15
3.08,293.15
3.1,293.15
3.12,293.15
3.14,293.15
3.16,293.15
3.18,293.15
3.2,293.15
3.22,293.15
3.24,293.15
3.26,293.15
3.28,293.15
3.3,293.15
3.32,293.15
3.34,293.15
3.36,293.15
3.38,293.15
3.4,293.15
3.42,293.15
3.44,293.15
3.46,293.15
3.48,293.15
3.5,293.15
3.52,293.15
3.54,293.15
3.56,293.15
3.58,293.15
3.6,293.15
3.62,293.15
3.64,293.15
3.66,293.15
3.68,293.15
3.7,293.15
3.72,293.15
3.74,293.15
3.76,293.15
3.78,293.15
3.8,293.15
3.82,293.15
3.84,293.15
3.86,293.15
3.88,293.15
3.9,293.15
3.92,293.15
3.94,293.15
3.96,293.15
3.98,293.15
4,293.15
4.02,293.15
4.04,293.15
4.06,293.15
4.08,293.15
4.1,293.15
4.12,293.15
4.14,293.15
4.16,293.15
4.18,293.15
4.2,293.15
4.22,293.15
4.24,293.15
4.26,293.15
4.28,293.15
4.3,293.15
4.32,293.15
4.34,293.15
4.36,293.15
4.38,293.15
4.4,293.15
4.42,293.15
4.44,293.15
4.46,293.15
4.48,293.15
4.5,293.15
4.52,293.15
4.54,293.15
4.56,293.15
4.58,293.15
4.6,293.15
4.62,293.15
4.64,293.15
4.66,293.15
4.68,293.15
4.7,293.15
4.72,293.15
4.74,293.15
4.76,293.15
4.78,293.15
4.8,293.15
4.82,293.15
4.84,293.15
4.86,293.15
4.88,293.15
4.9,293.15
4.92,293.15
4.94,293.15
4.96,293.15
4.98,293.15
5,293.15
5.02,293.15
5.04,293.15
5.06,293.15
5.08,293.15
5.1,293.15
5.12,293.15
5.14,293.15
5.16,293.15
5.18,293.15
5.2,293.15
5.22,293.15
5.24,293.15
5.26,293.15
5.28,293.15
5.3,293.15
5.32,293.15
5.34,293.15
5.36,293.15
5.38,293.15
5.4,293.15
5.42,293.15
5.44,293.15
5.46,293.15
5.48,293.15
5.5,293.15
5.52,293.15
5.54,293.15
5.56,293.15
5.58,293.15
5.6,293.15
5.62,293.15
5.64,293.15
5.66,293.15
5.68,293.15
5.7,293.15
5.72,293.15
5.74,293.15
5.76,293.15
5.78,293.15
5.8,293.15
5.82,293.15
5.84,293.15
5.86,293.15
5.88,293.15
5.9,293.15
5.92,293.15
5.94,293.15
5.96,293.15
5.98,293.15
6,293.15
6.02,293.15
6.04,293.15
6.06,293.15
6.08,293.15
6.1,293.15
6.12,293.15
6.14,293.15
6.16,293.15
6.18,293.15
6.2,293.15
6.22,293.15
6.24,293.15
6.26,293.15
6.28,293.15
6.3,293.15
6.32,293.15
6.34,293.15
6.36,293.15
6.38,293.15
6.4,293.15
6.42,293.15
6.44,293.15
6.46,293.15
6.48,293.15
6.5,293.15
6.52,293.15
6.54,293.15
6.56,293.15
6.58,293.15
6.6,293.15
6.62,293.15
6.64,293.15
6.66,293.15
6.68,293.15
6.7,293.15
6.72,293.15
6.74,293.15
6.76,293.15
6.78,293.15
6.8,293.15
6.82,293.15
6.84,293.15
6.86,293.15
6.88,293.15
6.9,293.15
6.92,293.15
6.94,293.15
6.96,293.15
6.98,293.15
7,293.15
7.02,293.15
7.04,293.15
7.06,293.15
7.08,293.15
7.1,293.15
7.12,293.15
7.14,293.15
7.16,293.15
7.18,293.15
7.2,293.15
7.22,293.15
7.24,293.15
7.26,293.15
7.28,293.15
7.3,293.15
7.32,293.15
7.34,293.15
7.36,293.15
