"time","angle"
0.0000000000000000E+00,-0.0000000000000000E+00
5.0000000000000037E-02,-2.3786459696913172E-02
1.0000000000000007E-01,-9.5457499503911830E-02
1.5000000000000011E-01,-2.1382897223584535E-01
2.0000000000000015E-01,-3.7705452946072465E-01
2.5000000000000017E-01,-5.8191403628963845E-01
3.0000000000000021E-01,-8.2301134287709099E-01
3.5000000000000026E-01,-1.0921565516272174E+00
4.0000000000000030E-01,-1.3782889796215305E+00
4.5000000000000034E-01,-1.6682037646967414E+00
5.0000000000000033E-01,-1.9480172938663292E+00
5.5000000000000038E-01,-2.2049049125647042E+00
6.0000000000000042E-01,-2.4284804141631815E+00
6.5000000000000047E-01,-2.6114069775265101E+00
7.0000000000000051E-01,-2.7492419827458239E+00
7.5000000000000056E-01,-2.8398158271764600E+00
8.0000000000000060E-01,-2.8825022395416799E+00
8.5000000000000064E-01,-2.8776365937410571E+00
9.0000000000000069E-01,-2.8262080610029350E+00
9.5000000000000073E-01,-2.7298566264371309E+00
1.0000000000000007E+00,-2.5911460952849876E+00
1.0509999999999950E+00,-2.4101331932536909E+00
1.1009999999999895E+00,-2.1998905931465824E+00
1.1509999999999840E+00,-1.9653647870392381E+00
1.2009999999999785E+00,-1.7168127647778764E+00
1.2509999999999730E+00,-1.4659518060993246E+00
1.3009999999999675E+00,-1.2248213453075352E+00
1.3509999999999620E+00,-1.0045094053861405E+00
1.4009999999999565E+00,-8.1415178071651839E-01
1.4509999999999510E+00,-6.6045984000246682E-01
1.5009999999999455E+00,-5.4777423419784133E-01
1.5509999999999400E+00,-4.7845021684681449E-01
1.6009999999999345E+00,-4.5333113810920733E-01
1.6509999999999290E+00,-4.7212183211645276E-01
1.7009999999999235E+00,-5.3356168894441647E-01
1.7509999999999180E+00,-6.3537611612516376E-01
1.8009999999999124E+00,-7.7404942903897478E-01
1.8509999999999069E+00,-9.4452093065964760E-01
1.9009999999999014E+00,-1.1399578107655925E+00
1.9509999999998959E+00,-1.3517788040197396E+00
2.0009999999998906E+00,-1.5700529983609579E+00
2.0509999999998851E+00,-1.7842652925016851E+00
2.1009999999998796E+00,-1.9842748616144514E+00
2.1509999999998741E+00,-2.1611964264413084E+00
2.2009999999998686E+00,-2.3079750163224322E+00
2.2509999999998631E+00,-2.4195731317173621E+00
2.3009999999998576E+00,-2.4928449814873983E+00
2.3509999999998521E+00,-2.5262556911035348E+00
2.4009999999998466E+00,-2.5196021783609974E+00
2.4509999999998411E+00,-2.4738410272048723E+00
2.5009999999998356E+00,-2.3910637209037007E+00
2.5509999999998301E+00,-2.2745988411042717E+00
2.6009999999998246E+00,-2.1291684352286571E+00
2.6509999999998191E+00,-1.9609868420266927E+00
2.7009999999998136E+00,-1.7776802555048310E+00
2.7509999999998080E+00,-1.5879440732509860E+00
2.8009999999998025E+00,-1.4009454330569864E+00
2.8509999999997970E+00,-1.2255862796691890E+00
2.9009999999997915E+00,-1.0698074772290527E+00
2.9509999999997860E+00,-9.4009482723501125E-01
3.0009999999997805E+00,-8.4125698283359418E-01
3.0509999999997750E+00,-7.7644037736068439E-01
3.1009999999997695E+00,-7.4728051527877914E-01
3.1509999999997640E+00,-7.5407869844568731E-01
3.2009999999997585E+00,-7.9592344276148808E-01
3.2509999999997530E+00,-8.7072330484924287E-01
3.3009999999997475E+00,-9.7516648904365710E-01
3.3509999999997420E+00,-1.1046637327122262E+00
3.4009999999997365E+00,-1.2533564570122655E+00
3.4509999999997309E+00,-1.4142708157679753E+00
3.5009999999997254E+00,-1.5796612858657750E+00
3.5509999999997199E+00,-1.7415208342438508E+00
3.6009999999997144E+00,-1.8921660702535157E+00
3.6509999999997089E+00,-2.0247722108208741E+00
3.7009999999997034E+00,-2.1337541085859915E+00
3.7509999999996979E+00,-2.2149523697276439E+00
3.8009999999996924E+00,-2.2656516495239831E+00
3.8509999999996869E+00,-2.2845001031916063E+00
3.9009999999996814E+00,-2.2714047548573117E+00
3.9509999999996759E+00,-2.2274557353977027E+00
4.0009999999996708E+00,-2.1548974546946598E+00
4.0509999999996875E+00,-2.0571289192172619E+00
4.1009999999997042E+00,-1.9386874289271503E+00
4.1509999999997209E+00,-1.8051577821670763E+00
4.2009999999997376E+00,-1.6629598985195029E+00
4.2509999999997543E+00,-1.5190025613511919E+00
4.3009999999997710E+00,-1.3802390709505792E+00
4.3509999999997877E+00,-1.2532003390067605E+00
4.4009999999998044E+00,-1.1435913751023081E+00
4.4509999999998211E+00,-1.0560126700289656E+00
4.5009999999998378E+00,-9.9382282423397839E-01
4.5509999999998545E+00,-9.5911618537450993E-01
4.6009999999998712E+00,-9.5276644490158735E-01
4.6509999999998879E+00,-9.7448798818765348E-01
4.7009999999999046E+00,-1.0228849581051298E+00
4.7509999999999213E+00,-1.0954837128484123E+00
4.8009999999999380E+00,-1.1887687012930070E+00
4.8509999999999547E+00,-1.2982573843463512E+00
4.9009999999999714E+00,-1.4186508459956131E+00
4.9509999999999881E+00,-1.5440805323083227E+00
5.0000000000000000E+00,-1.6660043440879828E+00
