"time","y","z"
0.0000000000000000E+000,1.0000000000000000E+001,0.0000000000000000E+000
2.0000000000000000E-002,9.9990199999999998E+000,-1.9600000000000001E-001
4.0000000000000001E-002,9.9941199999999988E+000,-3.9200000000000002E-001
6.0000000000000005E-002,9.9852999999999987E+000,-5.8800000000000008E-001
8.0000000000000002E-002,9.9725599999999996E+000,-7.8400000000000014E-001
1.0999999999999999E-001,9.9460999999999995E+000,-1.0780000000000001E+000
1.2999999999999998E-001,9.9235599999999984E+000,-1.2739999999999998E+000
1.4999999999999999E-001,9.8970999999999982E+000,-1.4700000000000000E+000
1.6000000000000000E-001,9.8823999999999987E+000,-1.5680000000000001E+000
1.8000000000000002E-001,9.8500599999999991E+000,-1.7640000000000002E+000
2.0000000000000004E-001,9.8137999999999987E+000,-1.9600000000000004E+000
2.2000000000000006E-001,9.7736199999999975E+000,-2.1560000000000010E+000
2.4000000000000007E-001,9.7295199999999973E+000,-2.3520000000000016E+000
2.6000000000000006E-001,9.6814999999999980E+000,-2.5480000000000018E+000
2.8000000000000008E-001,9.6295599999999979E+000,-2.7440000000000024E+000
3.0000000000000010E-001,9.5736999999999970E+000,-2.9400000000000031E+000
3.2000000000000012E-001,9.5139199999999970E+000,-3.1360000000000037E+000
3.4000000000000014E-001,9.4502199999999981E+000,-3.3320000000000043E+000
3.6000000000000015E-001,9.3825999999999983E+000,-3.5280000000000049E+000
3.8000000000000017E-001,9.3110599999999977E+000,-3.7240000000000055E+000
4.0000000000000019E-001,9.2355999999999963E+000,-3.9200000000000061E+000
4.2000000000000021E-001,9.1562199999999976E+000,-4.1160000000000059E+000
4.4000000000000022E-001,9.0729199999999981E+000,-4.3120000000000056E+000
4.6000000000000024E-001,8.9856999999999978E+000,-4.5080000000000053E+000
4.8000000000000026E-001,8.8945599999999967E+000,-4.7040000000000051E+000
5.0000000000000022E-001,8.7994999999999965E+000,-4.9000000000000048E+000
5.2000000000000024E-001,8.7005199999999974E+000,-5.0960000000000045E+000
5.4000000000000026E-001,8.5976199999999974E+000,-5.2920000000000043E+000
5.6000000000000028E-001,8.4907999999999966E+000,-5.4880000000000040E+000
5.8000000000000029E-001,8.3800599999999950E+000,-5.6840000000000037E+000
6.0000000000000031E-001,8.2653999999999961E+000,-5.8800000000000034E+000
6.2000000000000033E-001,8.1468199999999964E+000,-6.0760000000000032E+000
6.4000000000000035E-001,8.0243199999999959E+000,-6.2720000000000029E+000
6.6000000000000036E-001,7.8978999999999964E+000,-6.4680000000000026E+000
6.8000000000000038E-001,7.7675599999999960E+000,-6.6640000000000024E+000
7.0000000000000040E-001,7.6332999999999958E+000,-6.8600000000000021E+000
7.2000000000000042E-001,7.4951199999999956E+000,-7.0560000000000018E+000
7.4000000000000044E-001,7.3530199999999954E+000,-7.2520000000000016E+000
7.6000000000000045E-001,7.2069999999999954E+000,-7.4480000000000013E+000
