"time","Out1","Out2_1_","Out2_2_","Out3","Out4","Out5"
0,0,0,0,0,0,0
0.1,0.00499522,0.000178771,0.00499522,0.105013,0.00482159,0.00464795
0.2,0.0199308,0.0013554,0.0199308,0.22003,0.018644,0.0173571
0.3,0.0446589,0.00450403,0.0446589,0.345052,0.0404802,0.0363014
0.4,0.0789328,0.0106046,0.0789328,0.480125,0.0693202,0.0597076
0.5,0.122411,0.0205972,0.122411,0.625321,0.104169,0.0859272
0.6,0.174658,0.0353792,0.174658,0.780758,0.144043,0.113427
0.7,0.235153,0.0558022,0.235153,0.946615,0.187966,0.140779
0.8,0.303289,0.082662,0.303289,1.12315,0.234977,0.166665
0.9,0.378387,0.11669,0.378387,1.31072,0.284133,0.189879
1,0.459695,0.158545,0.459695,1.5098,0.334515,0.209335
1.1,0.546403,0.208809,0.546403,1.72097,0.385233,0.224063
1.2,0.637643,0.267979,0.637643,1.945,0.43543,0.233217
1.3,0.732503,0.336462,0.732503,2.18279,0.484288,0.236074
1.4,0.830036,0.414573,0.830036,2.43547,0.531033,0.232031
1.5,0.929267,0.50253,0.929267,2.70437,0.574938,0.220609
1.6,1.0292,0.600454,1.0292,2.99107,0.615329,0.201455
1.7,1.12885,0.708365,1.12885,3.29742,0.651591,0.174333
1.8,1.22721,0.826184,1.22721,3.62556,0.683169,0.139131
1.9,1.32329,0.953734,1.32329,3.97799,0.709574,0.0958521
2,1.41615,1.09074,1.41615,4.35753,0.730384,0.0446156
2.1,1.50485,1.23683,1.50485,4.76742,0.74525,-0.014352
2.2,1.58851,1.39155,1.58851,5.21136,0.753893,-0.0807187
2.3,1.66628,1.55434,1.66628,5.69348,0.756113,-0.154054
2.4,1.7374,1.72458,1.7374,6.21846,0.75178,-0.233837
2.5,1.80115,1.90158,1.80115,6.79156,0.740842,-0.319461
2.6,1.85689,2.08455,1.85689,7.41863,0.723323,-0.410243
2.7,1.90407,2.27267,1.90407,8.10623,0.69932,-0.505432
2.8,1.94222,2.46506,1.94222,8.86164,0.669001,-0.604219
2.9,1.97095,2.6608,1.97095,9.69298,0.632605,-0.705744
3,1.98999,2.85893,1.98999,10.6092,0.59044,-0.809108
3.1,1.99913,3.05847,1.99913,11.6203,0.542872,-0.913384
3.2,1.99829,3.25843,1.99829,12.7374,0.490331,-1.01762
3.3,1.98747,3.4578,1.98747,13.9725,0.433298,-1.12087
3.4,1.96679,3.65559,1.96679,15.3391,0.372304,-1.22218
3.5,1.93644,3.85084,1.93644,16.8522,0.307925,-1.32059
3.6,1.89674,4.04257,1.89674,18.528,0.24077,-1.4152
3.7,1.84808,4.22988,1.84808,20.3848,0.171483,-1.50511
3.8,1.79095,4.4119,1.79095,22.4424,0.10073,-1.58949
3.9,1.72591,4.58781,1.72591,24.7228,0.0291945,-1.66752
4,1.65362,4.75684,1.65362,27.2503,-0.0424306,-1.73848
4.1,1.5748,4.91831,1.5748,30.0516,-0.113449,-1.8017
4.2,1.49023,5.07161,1.49023,33.156,-0.183167,-1.85657
4.3,1.40077,5.21619,1.40077,36.5962,-0.250906,-1.90258
4.4,1.3073,5.35163,1.3073,40.4077,-0.316002,-1.93931
4.5,1.21076,5.47755,1.21076,44.6301,-0.377818,-1.9664
4.6,1.11212,5.5937,1.11212,49.3069,-0.435748,-1.98362
4.7,1.01236,5.69993,1.01236,54.486,-0.489223,-1.9908
4.8,0.912467,5.79617,0.912467,60.2203,-0.537719,-1.98791
4.9,0.813453,5.88245,0.813453,66.5682,-0.580761,-1.97497
5,0.716303,5.95892,0.716303,73.594,-0.617925,-1.95215
5.1,0.621988,6.0258,0.621988,81.3687,-0.648847,-1.91968
5.2,0.531449,6.08344,0.531449,89.971,-0.673226,-1.8779
5.3,0.445592,6.13224,0.445592,99.4872,-0.690823,-1.82724
5.4,0.365274,6.17274,0.365274,110.013,-0.701467,-1.76821
5.5,0.291298,6.20551,0.291298,121.654,-0.705057,-1.70141
5.6,0.224402,6.23123,0.224402,134.527,-0.701562,-1.62753
5.7,0.165257,6.25064,0.165257,148.76,-0.69102,-1.5473
5.8,0.114451,6.26455,0.114451,164.496,-0.67354,-1.46153
5.9,0.072494,6.27382,0.072494,181.892,-0.6493,-1.37109
6,0.0398036,6.27936,0.0398036,201.121,-0.618545,-1.27689
6.1,0.0167069,6.2821,0.0167069,222.376,-0.581585,-1.17988
6.2,0.00343543,6.28303,0.00343543,245.868,-0.538791,-1.08102
6.3,0.000120465,6.28312,0.000120465,271.831,-0.490595,-0.98131
6.4,0.00679635,6.28338,0.00679635,300.525,-0.437477,-0.88175
6.5,0.0233956,6.28481,0.0233956,332.236,-0.379972,-0.783339
6.6,0.0497522,6.28839,0.0497522,367.279,-0.318655,-0.687063
6.7,0.0856042,6.29508,0.0856042,406.005,-0.254141,-0.593886
6.8,0.130591,6.30581,0.130591,448.8,-0.187075,-0.504742
6.9,0.184266,6.32148,0.184266,496.09,-0.118129,-0.420524
7,0.246091,6.34294,0.246091,548.348,-0.0479923,-0.342075
7.1,0.315448,6.37095,0.315448,606.094,0.0226328,-0.270182
7.2,0.391645,6.40626,0.391645,669.907,0.0930402,-0.205565
7.3,0.47392,6.44949,0.47392,740.423,0.162525,-0.14887
7.4,0.561452,6.50122,0.561452,818.346,0.230393,-0.100666
7.5,0.653366,6.56193,0.653366,904.455,0.295965,-0.0614349
7.6,0.748742,6.63201,0.748742,999.609,0.358586,-0.0315703
7.7,0.846629,6.71176,0.846629,1104.76,0.417628,-0.0113726
7.8,0.946049,6.80139,0.946049,1220.96,0.472503,-0.00104303
7.9,1.04601,6.90099,1.04601,1349.38,0.52266,-0.000686764
8,1.14551,7.01058,1.14551,1491.28,0.567599,-0.0103076
8.1,1.24355,7.13005,1.24355,1648.11,0.60687,-0.02981
8.2,1.33916,7.25921,1.33916,1821.41,0.64008,-0.0590007
8.3,1.43138,7.39777,1.43138,2012.93,0.666898,-0.0975872
8.4,1.51929,7.54535,1.51929,2224.59,0.687054,-0.145186
8.5,1.60202,7.70146,1.60202,2458.49,0.700348,-0.20132
8.6,1.67872,7.86556,1.67872,2716.99,0.706647,-0.265431
8.7,1.74865,8.03699,1.74865,3002.67,0.705886,-0.336877
8.8,1.81109,8.21504,1.81109,3318.39,0.698075,-0.414946
8.9,1.86544,8.39894,1.86544,3667.3,0.68329,-0.498857
9,1.91113,8.58784,1.91113,4052.91,0.661679,-0.587772
9.1,1.94772,8.78086,1.94772,4479.06,0.633458,-0.680804
9.2,1.97484,8.97707,1.97484,4950.04,0.598908,-0.777023
9.3,1.99222,9.17551,1.99222,5470.54,0.558376,-0.875467
9.4,1.99969,9.37519,1.99969,6045.78,0.512266,-0.975154
9.5,1.99716,9.57511,1.99716,6681.53,0.461038,-1.07509
9.6,1.98468,9.77429,1.98468,7384.14,0.405204,-1.17427
9.7,1.96235,9.97172,1.96235,8160.65,0.345322,-1.27171
9.8,1.93041,10.1664,1.93041,9018.82,0.281991,-1.36643
9.9,1.88917,10.3575,1.88917,9967.25,0.215843,-1.45749
10,1.83905,10.544,1.83905,11015.4,0.147539,-1.54398
10,1.83905,10.544,1.83905,11015.4,0.147539,-1.54398
