Time,_dummy,_derdummy,powerUpPB,startCyclePB,emergencyStop,batchCycle,pieceCycle,autoSwitch,manualSwitch,F3SpinM1_0acknowledgePB,liveWKM1,autoModeWKM1,manualModeWKM1,RUN1_0emptyProd,RUN1_0unitProd,RUN1_0batchProd,RUN1_0rotation,RUN1_0faultyState,RUN1_0cycleEnd,RUN1_0movementFault,RUN1_0slowAscent,RUN1_0fastAscent,RUN1_0slowDescent,RUN1_0fastDescent,RUN1_0releasing,RUN1_0clamping,F1TurM1_0autoFwdCmd,F1TurM1_0autoBwdCmd,F1TurM1_0autoHSCmd,F1TurM1_0autoLSCmd,speedVal,speedPercent,F1TurM1_0generalFault,F1TurM1_0forwardFB,F1TurM1_0backwardFB,F1TurM1_0highSpeedFB,F1TurM1_0lowSpeedFB,F1TurM1_0thermalFB,F1TurM1_0forwardCmd,F1TurM1_0backwardCmd,F1TurM1_0highSpeedCmd,F1TurM1_0lowSpeedCmd,axlePosition,F3SpinM1_0forwardFB,F3SpinM1_0thermalFB,speedVal2,speedPercent2,F3SpinM1_0forwardCmd,F3SpinM1_0autoCmd,piece,RUN1_0loadingRequest,RUN1_0unloadingRequest,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_NumberOfContinuousStates,fmi_NumberOfEventIndicators
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0.002,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0.004,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0.006,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0.008,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0.01,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0.012,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0.014,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0.016,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0.018,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0.02,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0.022,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
