Time,_dummy,_derdummy,_qtronic_silver_real_0time_start,qtronic_silver_real_0time,y_00,y_01,y_02,counter,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_StartTime,fmi_StopTime,fmi_NumberOfSteps,fmi_CommunicationStepSize,fmi_forceShutDownAtStopTime
0,1,0,0,0,0,0,0,0,0,1,0,1,500,0.002,0
0.002,1,0,0,0,0,0,0,0,0,1,0,1,500,0.002,0
0.002,1,0,0,0,0,1,2,1,0,1,0,1,500,0.002,0
0.004,1,0,0,0,0,1,2,1,0,1,0,1,500,0.002,0
0.006,1,0,0,0,0,1,2,1,0,1,0,1,500,0.002,0
0.008,1,0,0,0,0,1,2,1,0,1,0,1,500,0.002,0
0.01,1,0,0,0,0,1,2,1,0,1,0,1,500,0.002,0
0.012,1,0,0,0,0,1,2,1,0,1,0,1,500,0.002,0
0.012,1,0,0,0,0.00999933,1,2,2,0,1,0,1,500,0.002,0
0.014,1,0,0,0,0.00999933,1,2,2,0,1,0,1,500,0.002,0
0.016,1,0,0,0,0.00999933,1,2,2,0,1,0,1,500,0.002,0
0.018,1,0,0,0,0.00999933,1,2,2,0,1,0,1,500,0.002,0
0.02,1,0,0,0,0.00999933,1,2,2,0,1,0,1,500,0.002,0
0.022,1,0,0,0,0.00999933,1,2,2,0,1,0,1,500,0.002,0
0.022,1,0,0,0,0.0199947,1.0198,2,3,0,1,0,1,500,0.002,0
0.024,1,0,0,0,0.0199947,1.0198,2,3,0,1,0,1,500,0.002,0
0.026,1,0,0,0,0.0199947,1.0198,2,3,0,1,0,1,500,0.002,0
0.028,1,0,0,0,0.0199947,1.0198,2,3,0,1,0,1,500,0.002,0
0.03,1,0,0,0,0.0199947,1.0198,2,3,0,1,0,1,500,0.002,0
0.032,1,0,0,0,0.0199947,1.0198,2,3,0,1,0,1,500,0.002,0
0.032,1,0,0,0,0.029982,1.0198,2,4,0,1,0,1,500,0.002,0
0.034,1,0,0,0,0.029982,1.0198,2,4,0,1,0,1,500,0.002,0
0.036,1,0,0,0,0.029982,1.0198,2,4,0,1,0,1,500,0.002,0
0.038,1,0,0,0,0.029982,1.0198,2,4,0,1,0,1,500,0.002,0
0.04,1,0,0,0,0.029982,1.0198,2,4,0,1,0,1,500,0.002,0
0.042,1,0,0,0,0.029982,1.0198,2,4,0,1,0,1,500,0.002,0
0.042,1,0,0,0,0.0399573,1.03919,2.03419,5,0,1,0,1,500,0.002,0
0.044,1,0,0,0,0.0399573,1.03919,2.03419,5,0,1,0,1,500,0.002,0
0.046,1,0,0,0,0.0399573,1.03919,2.03419,5,0,1,0,1,500,0.002,0
0.048,1,0,0,0,0.0399573,1.03919,2.03419,5,0,1,0,1,500,0.002,0
0.05,1,0,0,0,0.0399573,1.03919,2.03419,5,0,1,0,1,500,0.002,0
0.052,1,0,0,0,0.0399573,1.03919,2.03419,5,0,1,0,1,500,0.002,0
0.052,1,0,0,0,0.0499167,1.03919,2.03419,6,0,1,0,1,500,0.002,0
0.054,1,0,0,0,0.0499167,1.03919,2.03419,6,0,1,0,1,500,0.002,0
0.056,1,0,0,0,0.0499167,1.03919,2.03419,6,0,1,0,1,500,0.002,0
0.058,1,0,0,0,0.0499167,1.03919,2.03419,6,0,1,0,1,500,0.002,0
0.06,1,0,0,0,0.0499167,1.03919,2.03419,6,0,1,0,1,500,0.002,0
0.062,1,0,0,0,0.0499167,1.03919,2.03419,6,0,1,0,1,500,0.002,0
0.062,1,0,0,0,0.0598561,1.05816,2.03419,7,0,1,0,1,500,0.002,0
0.064,1,0,0,0,0.0598561,1.05816,2.03419,7,0,1,0,1,500,0.002,0
0.066,1,0,0,0,0.0598561,1.05816,2.03419,7,0,1,0,1,500,0.002,0
0.068,1,0,0,0,0.0598561,1.05816,2.03419,7,0,1,0,1,500,0.002,0
0.07,1,0,0,0,0.0598561,1.05816,2.03419,7,0,1,0,1,500,0.002,0
0.072,1,0,0,0,0.0598561,1.05816,2.03419,7,0,1,0,1,500,0.002,0
0.072,1,0,0,0,0.0697716,1.05816,2.03419,8,0,1,0,1,500,0.002,0
0.074,1,0,0,0,0.0697716,1.05816,2.03419,8,0,1,0,1,500,0.002,0
