"time","Out1","Out2","Out3[1]","Out3[2]","Out4","Out5","Out6"
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.00E-01,4.99E-03,9.99E-03,1.92E-04,4.99E-03,1.05E-01,4.81E-03,4.62E-03
2.00E-01,1.99E-02,3.98E-02,1.44E-03,1.99E-02,2.20E-01,1.86E-02,1.72E-02
3.00E-01,4.46E-02,8.93E-02,4.67E-03,4.46E-02,3.45E-01,4.03E-02,3.60E-02
4.00E-01,7.89E-02,1.58E-01,1.08E-02,7.89E-02,4.80E-01,6.91E-02,5.93E-02
5.00E-01,1.22E-01,2.45E-01,2.09E-02,1.22E-01,6.26E-01,1.04E-01,8.55E-02
6.00E-01,1.75E-01,3.49E-01,3.57E-02,1.75E-01,7.81E-01,1.44E-01,1.13E-01
7.00E-01,2.35E-01,4.70E-01,5.62E-02,2.35E-01,9.47E-01,1.88E-01,1.40E-01
8.00E-01,3.03E-01,6.06E-01,8.31E-02,3.03E-01,1.12E+00,2.35E-01,1.66E-01
9.00E-01,3.78E-01,7.56E-01,1.17E-01,3.78E-01,1.31E+00,2.84E-01,1.89E-01
1.00E+00,4.59E-01,9.19E-01,1.59E-01,4.59E-01,1.51E+00,3.34E-01,2.09E-01
1.10E+00,5.47E-01,1.00E+00,2.10E-01,5.47E-01,1.73E+00,3.85E-01,2.23E-01
1.20E+00,6.38E-01,1.00E+00,2.70E-01,6.38E-01,1.95E+00,4.35E-01,2.32E-01
1.30E+00,7.33E-01,1.00E+00,3.38E-01,7.33E-01,2.19E+00,4.84E-01,2.35E-01
1.40E+00,8.30E-01,1.00E+00,4.16E-01,8.30E-01,2.44E+00,5.31E-01,2.31E-01
1.50E+00,9.29E-01,1.00E+00,5.04E-01,9.29E-01,2.71E+00,5.74E-01,2.20E-01
1.60E+00,1.03E+00,1.00E+00,6.02E-01,1.03E+00,3.00E+00,6.15E-01,2.01E-01
1.70E+00,1.13E+00,1.00E+00,7.10E-01,1.13E+00,3.31E+00,6.51E-01,1.74E-01
1.80E+00,1.23E+00,1.00E+00,8.28E-01,1.23E+00,3.64E+00,6.83E-01,1.38E-01
1.90E+00,1.32E+00,1.00E+00,9.55E-01,1.32E+00,3.99E+00,7.09E-01,9.53E-02
2.00E+00,1.42E+00,1.00E+00,1.09E+00,1.42E+00,4.37E+00,7.30E-01,4.42E-02
2.10E+00,1.50E+00,1.00E+00,1.24E+00,1.50E+00,4.78E+00,7.45E-01,-1.46E-02
2.20E+00,1.59E+00,1.00E+00,1.39E+00,1.59E+00,5.23E+00,7.53E-01,-8.09E-02
2.30E+00,1.67E+00,1.00E+00,1.56E+00,1.67E+00,5.71E+00,7.56E-01,-1.54E-01
2.40E+00,1.74E+00,1.00E+00,1.73E+00,1.74E+00,6.24E+00,7.51E-01,-2.34E-01
2.50E+00,1.80E+00,1.00E+00,1.90E+00,1.80E+00,6.81E+00,7.41E-01,-3.19E-01
2.60E+00,1.86E+00,1.00E+00,2.09E+00,1.86E+00,7.44E+00,7.23E-01,-4.10E-01
2.70E+00,1.90E+00,1.00E+00,2.27E+00,1.90E+00,8.14E+00,6.99E-01,-5.05E-01
2.80E+00,1.94E+00,1.00E+00,2.47E+00,1.94E+00,8.89E+00,6.69E-01,-6.04E-01
2.90E+00,1.97E+00,1.00E+00,2.66E+00,1.97E+00,9.73E+00,6.32E-01,-7.05E-01
3.00E+00,1.99E+00,1.00E+00,2.86E+00,1.99E+00,1.07E+01,5.90E-01,-8.08E-01
3.10E+00,2.00E+00,1.00E+00,3.06E+00,2.00E+00,1.17E+01,5.43E-01,-9.12E-01
3.20E+00,2.00E+00,9.97E-01,3.26E+00,2.00E+00,1.28E+01,4.90E-01,-1.02E+00
3.30E+00,1.99E+00,9.75E-01,3.46E+00,1.99E+00,1.40E+01,4.33E-01,-1.12E+00
3.40E+00,1.96E+00,9.34E-01,3.65E+00,1.96E+00,1.54E+01,3.72E-01,-1.22E+00
3.50E+00,1.93E+00,8.73E-01,3.85E+00,1.93E+00,1.69E+01,3.08E-01,-1.32E+00
3.60E+00,1.89E+00,7.94E-01,4.04E+00,1.89E+00,1.86E+01,2.41E-01,-1.41E+00
3.70E+00,1.85E+00,6.96E-01,4.23E+00,1.85E+00,2.05E+01,1.71E-01,-1.50E+00
3.80E+00,1.79E+00,5.82E-01,4.41E+00,1.79E+00,2.26E+01,1.01E-01,-1.59E+00
3.90E+00,1.72E+00,4.52E-01,4.59E+00,1.72E+00,2.49E+01,2.92E-02,-1.67E+00
4.00E+00,1.65E+00,3.08E-01,4.75E+00,1.65E+00,2.74E+01,-4.24E-02,-1.74E+00
4.10E+00,1.57E+00,1.50E-01,4.92E+00,1.57E+00,3.02E+01,-1.13E-01,-1.80E+00
4.20E+00,1.49E+00,0.00E+00,5.07E+00,1.49E+00,3.34E+01,-1.83E-01,-1.85E+00
4.30E+00,1.40E+00,0.00E+00,5.21E+00,1.40E+00,3.68E+01,-2.51E-01,-1.90E+00
4.40E+00,1.31E+00,0.00E+00,5.35E+00,1.31E+00,4.07E+01,-3.16E-01,-1.94E+00
4.50E+00,1.21E+00,0.00E+00,5.47E+00,1.21E+00,4.49E+01,-3.78E-01,-1.96E+00
4.60E+00,1.11E+00,0.00E+00,5.59E+00,1.11E+00,4.97E+01,-4.35E-01,-1.98E+00
4.70E+00,1.01E+00,0.00E+00,5.70E+00,1.01E+00,5.49E+01,-4.89E-01,-1.99E+00
4.80E+00,9.11E-01,0.00E+00,5.79E+00,9.11E-01,6.07E+01,-5.37E-01,-1.99E+00
4.90E+00,8.12E-01,0.00E+00,5.88E+00,8.12E-01,6.71E+01,-5.80E-01,-1.97E+00
5.00E+00,7.15E-01,0.00E+00,5.95E+00,7.15E-01,7.41E+01,-6.18E-01,-1.95E+00
5.10E+00,6.21E-01,0.00E+00,6.02E+00,6.21E-01,8.20E+01,-6.49E-01,-1.92E+00
5.20E+00,5.30E-01,0.00E+00,6.08E+00,5.30E-01,9.07E+01,-6.73E-01,-1.88E+00
5.30E+00,4.44E-01,0.00E+00,6.13E+00,4.44E-01,1.00E+02,-6.91E-01,-1.83E+00
5.40E+00,3.64E-01,0.00E+00,6.17E+00,3.64E-01,1.11E+02,-7.01E-01,-1.77E+00
5.50E+00,2.90E-01,0.00E+00,6.20E+00,2.90E-01,1.23E+02,-7.05E-01,-1.70E+00
5.60E+00,2.23E-01,0.00E+00,6.23E+00,2.23E-01,1.36E+02,-7.01E-01,-1.63E+00
5.70E+00,1.64E-01,0.00E+00,6.25E+00,1.64E-01,1.50E+02,-6.91E-01,-1.55E+00
5.80E+00,1.14E-01,0.00E+00,6.26E+00,1.14E-01,1.66E+02,-6.73E-01,-1.46E+00
5.90E+00,7.16E-02,0.00E+00,6.27E+00,7.16E-02,1.83E+02,-6.49E-01,-1.37E+00
6.00E+00,3.90E-02,0.00E+00,6.27E+00,3.90E-02,2.03E+02,-6.18E-01,-1.28E+00
6.10E+00,1.59E-02,0.00E+00,6.28E+00,1.59E-02,2.24E+02,-5.82E-01,-1.18E+00
6.20E+00,2.63E-03,0.00E+00,6.28E+00,2.63E-03,2.48E+02,-5.39E-01,-1.08E+00
6.30E+00,1.32E-05,0.00E+00,6.28E+00,1.32E-05,2.74E+02,-4.90E-01,-9.81E-01
6.40E+00,6.68E-03,1.17E-02,6.28E+00,6.68E-03,3.03E+02,-4.37E-01,-8.81E-01
6.50E+00,2.33E-02,4.48E-02,6.28E+00,2.33E-02,3.35E+02,-3.80E-01,-7.83E-01
6.60E+00,4.96E-02,9.75E-02,6.28E+00,4.96E-02,3.71E+02,-3.19E-01,-6.87E-01
6.70E+00,8.54E-02,1.69E-01,6.29E+00,8.54E-02,4.10E+02,-2.54E-01,-5.94E-01
6.80E+00,1.30E-01,2.59E-01,6.30E+00,1.30E-01,4.53E+02,-1.87E-01,-5.05E-01
6.90E+00,1.84E-01,3.66E-01,6.32E+00,1.84E-01,5.01E+02,-1.18E-01,-4.20E-01
