time,fdrag,fk1,fk2,x,y1,y2,y3
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,31592.1553172662,33255.2471959333,40791.3980062949,30.0387862257375,10.4174059273119,2.51378828003088,1.32488131394826
1,72995.8935202751,42107.9570933039,76622.8353397736,55.5187910625856,29.234583692565,11.2049776571979,8.97172684577926
1.5,48073.2843814797,15985.2856939782,36466.2262878689,73.4166091564913,44.6140163457017,21.0116041457862,19.9487587278943
2,17780.394752076,7214.8077462167,13040.07890205,87.5669827774639,57.3965259721455,28.1135946111768,27.7335281902485
2.5,25629.2198044281,11076.2806577815,24861.7523591251,100.035492237546,68.9453628477577,33.5750897984508,32.8504686279721
3,21012.3044857319,8880.02194601919,20191.8209551198,110.032291739065,78.3418963489972,38.4513353749833,37.862824125927
3.5,14684.24511201,5792.70617757509,13789.1256252217,117.990352536666,85.8892466777934,42.4751982029506,42.0733000500733
4,9529.75689486258,3767.23767801561,8884.59995898722,124.566154498714,92.1625688622698,45.7759977473411,45.5170470053129
4.5,7345.48072880344,2991.10432906727,6909.94773388184,130.236968845133,97.5955343921384,48.5553762455775,48.3539787598917
5,6117.07830841706,2524.5388621171,5793.89326615826,135.199584533355,102.365432252892,50.9781343710068,50.8092654329084
5.5,5033.00110140942,2047.23629730879,4738.75486146167,139.56756384321,106.574513571425,53.1213543305013,52.9832384791034
6,4175.40756026546,1711.99042113551,3941.72919271614,143.448947663259,110.322405942285,55.0224679289111,54.9075822048447
6.5,3523.43952728314,1438.57353500763,3321.34004011818,146.924335027547,113.683959044713,56.7254014401028,56.6285975916587
7,2996.29932203473,1227.06955012287,2828.05782356067,150.057572866895,116.718878612085,58.2600009308299,58.1775742965087
7.5,2565.23382123917,1047.97998203786,2419.49348561697,152.899127712083,119.474595843099,59.6523724773001,59.5818538679845
8,2209.63224216217,903.62310049981,2084.91948489751,155.49104284738,121.990831735505,60.9221887121206,60.8614216038461
8.5,1917.52795570812,783.768071127031,1809.18246079244,157.867656369595,124.30014448155,62.0865578103758,62.033827339353
9,1674.08727137537,684.242445901539,1579.54223116129,160.057361506101,126.429538297215,63.1593200038831,63.113282631946
9.5,1472.21956154765,601.337228006287,1388.1893245493,162.083798869919,128.401555116174,64.152046826482,64.1115866304881
10,1309.06209627413,535.218754759372,1234.73198903372,163.966606743692,130.234958125283,65.0741063920773,65.0381188668942
10.5,1171.78994580124,479.744480472369,1106.13329844934,165.721618191982,131.944890355956,65.9335679915541,65.9013286065803
11,1050.72827448238,429.040841892836,991.060583004605,167.362118739645,133.544075892596,66.7372696446858,66.7083841715583
11.5,945.93936945595,387.154346296886,893.016519247445,168.900026475881,135.043954395044,67.4906032634625,67.4645753847318
12,854.586649564335,349.084162030526,806.314126559579,170.345419113134,136.454208808694,68.1988155743608,68.1753147254375
12.5,774.268595461557,316.596287819124,730.806452591424,171.707330095752,137.783533079738,68.8661104387493,68.84481033812
13,704.093309387192,287.769654420728,664.506971543176,172.993480528119,139.039364075952,69.4963619687361,69.4769942342113
13.5,641.974835267758,262.340092523914,605.863069078826,174.210800770986,140.228385584764,70.0929334655972,70.0752749675185
14,587.213993583672,240.051374982468,554.27265509861,175.365314667893,141.356411388864,70.6587525846279,70.6425977418679
14.5,538.579702159898,220.054411812448,508.286639545369,176.462361084735,142.428598508933,71.196466644109,71.18165211075
15,495.291294288918,202.440747127322,467.492111253394,177.506697802139,143.449546307943,71.7083679070405,71.6947423718831
15.5,456.689945265698,186.613932189188,431.028662859395,178.502520564249,144.423313162429,72.1965338962721,72.183971125568
16,422.078029976263,172.475880060538,398.367785664762,179.453658018718,145.35360551458,72.6628257815961,72.6512149455231
16.5,391.028936644151,159.794802101876,369.074016630766,180.363441502322,146.243649281882,73.1088753052766,73.0981182660276
17,366.431631887826,149.273243185051,345.602504308804,181.234915969873,147.096395123142,73.5361008643924,73.5260279263478
17.5,344.787885009217,141.433418468727,325.85170403023,182.070557701041,147.914241340732,73.9456592912354,73.9361620104418
18,324.266121985379,132.093830213375,305.710305992652,182.87235909787,148.699115956207,74.3388534537749,74.3299432146028
18.5,305.023994205627,124.95783712822,288.062839538053,183.642444603781,149.453079047114,74.7164132806778,74.7080173949437
19,287.347023799619,117.277832608572,271.057906459351,184.382604665284,150.177866206186,75.0794292268687,75.0715289672808
