"time","world.frame_b.f[2]","world.frame_b.f[3]","world.frame_b.t[1]","world.frame_b.t[2]","world.frame_b.t[3]","world.g","world.mue","world.driveTrainMechanics3D","world.axisDiameter","world.gravityArrowTail[1]"
0,-112.722,-2.10484,-0.247509,0.315726,-15.4251,9.81,3.986E+14,1,0.0125,0
0.001,-112.722,-2.11885,-0.249156,0.317828,-15.4251,9.81,3.986E+14,1,0.0125,0
0.002,-112.721,-2.15003,-0.252823,0.322505,-15.425,9.81,3.986E+14,1,0.0125,0
0.003,-112.72,-2.20028,-0.258732,0.330042,-15.4248,9.81,3.986E+14,1,0.0125,0
0.004,-112.718,-2.27109,-0.267058,0.340664,-15.4246,9.81,3.986E+14,1,0.0125,0
0.005,-112.716,-2.36331,-0.277903,0.354497,-15.4242,9.81,3.986E+14,1,0.0125,0
0.006,-112.713,-2.47788,-0.291375,0.371682,-15.4238,9.81,3.986E+14,1,0.0125,0
0.007,-112.709,-2.61585,-0.307599,0.392378,-15.4232,9.81,3.986E+14,1,0.0125,0
0.008,-112.704,-2.77858,-0.326735,0.416788,-15.4225,9.81,3.986E+14,1,0.0125,0
0.009,-112.699,-2.96745,-0.348943,0.445117,-15.4216,9.81,3.986E+14,1,0.0125,0
0.01,-112.691,-3.18443,-0.374459,0.477665,-15.4205,9.81,3.986E+14,1,0.0125,0
0.011,-112.683,-3.43124,-0.403481,0.514686,-15.4192,9.81,3.986E+14,1,0.0125,0
0.012,-112.672,-3.71066,-0.436338,0.556598,-15.4176,9.81,3.986E+14,1,0.0125,0
0.013,-112.659,-4.02473,-0.473271,0.60371,-15.4156,9.81,3.986E+14,1,0.0125,0
0.014,-112.643,-4.37659,-0.514646,0.656488,-15.4132,9.81,3.986E+14,1,0.0125,0
0.015,-112.623,-4.76961,-0.560862,0.715442,-15.4103,9.81,3.986E+14,1,0.0125,0
0.016,-112.6,-5.20752,-0.612357,0.781128,-15.4068,9.81,3.986E+14,1,0.0125,0
0.017,-112.571,-5.69451,-0.669623,0.854176,-15.4025,9.81,3.986E+14,1,0.0125,0
0.018,-112.536,-6.23511,-0.733195,0.935267,-15.3973,9.81,3.986E+14,1,0.0125,0
