Time,step2,J1_w,J2_w,J3_w,J4_w,
0,0,2.66193e-310,3.7236e-317,2.77058e-310,9.89472e-315,
0.001,0,9.99016,0.01,-3.46598e-015,-3.4668e-015,
0.002,0,9.98064,0.02,-1.47798e-015,-1.47956e-015,
0.003,0,9.97142,0.0299999,-2.31759e-015,-2.31984e-015,
0.004,0,9.96252,0.0399998,-1.94289e-015,-1.94546e-015,
0.005,0,9.95393,0.0499997,-2.40086e-015,-2.40356e-015,
0.006,0,9.94565,0.0599994,-1.86656e-015,-1.86918e-015,
0.007,0,9.93767,0.0699991,-1.9984e-015,-2.00129e-015,
0.008,0,9.93,0.0799987,-2.47025e-015,-2.47365e-015,
0.009,0,9.92263,0.0899982,-2.2482e-015,-2.25227e-015,
0.01,0,9.91557,0.0999975,-1.98452e-015,-1.98925e-015,
0.011,0,9.90879,0.109997,-1.27676e-015,-1.28206e-015,
0.012,0,9.90232,0.119996,-3.8719e-015,-3.87778e-015,
0.013,0,9.89614,0.129995,-1.38778e-016,-1.45146e-016,
0.014,0,9.89024,0.139993,-1.02696e-015,-1.03348e-015,
0.015,0,9.88463,0.149992,-1.38778e-015,-1.39429e-015,
0.016,0,9.8793,0.15999,-2.08167e-015,-2.088e-015,
0.017,0,9.87424,0.169988,-1.80411e-015,-1.81051e-015,
0.018,0,9.86945,0.179985,-2.38698e-015,-2.39348e-015,
0.019,0,9.86493,0.189983,-2.05391e-015,-2.06054e-015,
0.02,0,9.86066,0.19998,-1.41553e-015,-1.42224e-015,
0.021,0,9.85664,0.209977,-1.4988e-015,-1.50552e-015,
0.022,0,9.85288,0.219973,-1.4988e-015,-1.50551e-015,
0.023,0,9.84936,0.229969,-2.77556e-015,-2.78227e-015,
0.024,0,9.84607,0.239965,-2.77556e-015,-2.78233e-015,
0.025,0,9.84301,0.249961,-3.55271e-015,-3.55956e-015,
0.026,0,9.84018,0.259956,-7.77156e-016,-7.84093e-016,
0.027,0,9.83756,0.26995,1.05471e-015,1.0477e-015,
0.028,0,9.83514,0.279945,-8.88178e-016,-8.9526e-016,
0.029,0,9.83294,0.289939,4.44089e-016,4.36943e-016,
0.03,0,9.83094,0.299932,-3.88578e-016,-3.95781e-016,
0.031,0,9.82914,0.309925,-2.22045e-016,-2.29295e-016,
0.032,0,9.82749,0.319917,-3.88578e-016,-3.95873e-016,
0.033,0,9.82603,0.329909,-1.44329e-015,-1.45062e-015,
0.034,0,9.82472,0.339901,-1.05471e-015,-1.06207e-015,
0.035,0,9.82358,0.349892,1.05471e-015,1.04735e-015,
0.036,0,9.82258,0.359882,-1.38778e-015,-1.39514e-015,
0.037,0,9.82171,0.369872,-7.21645e-016,-7.28997e-016,
0.038,0,9.82097,0.379861,-7.77156e-016,-7.84487e-016,
0.039,0,9.82034,0.38985,-5.55112e-017,-6.28076e-017,
0.04,0,9.81982,0.399838,-4.44089e-016,-4.51338e-016,
0.041,0,9.8194,0.409826,5.55112e-016,5.4792e-016,
0.042,0,9.81907,0.419813,1.9984e-015,1.99127e-015,
0.043,0,9.81881,0.429799,1.72085e-015,1.71377e-015,
0.044,0,9.81862,0.439784,-8.88178e-016,-8.95189e-016,
0.045,0,9.81849,0.449769,6.66134e-016,6.5919e-016,
0.046,0,9.81841,0.459753,1.11022e-016,1.04149e-016,
0.047,0,9.81836,0.469737,-9.4369e-016,-9.50488e-016,
0.048,0,9.81835,0.479719,1.66533e-016,1.59812e-016,
0.049,0,9.81836,0.489701,-9.99201e-016,-1.00584e-015,
0.05,0,9.81838,0.499682,5.55112e-017,4.89485e-017,
0.051,0,9.81839,0.509663,1.9984e-015,1.99192e-015,
0.052,0,9.8184,0.519642,1.44329e-015,1.43688e-015,
0.053,0,9.81839,0.529621,8.88178e-016,8.81837e-016,
0.054,0,9.81835,0.539599,1.33227e-015,1.32599e-015,
0.055,0,9.81828,0.549576,1.9984e-015,1.99218e-015,
0.056,0,9.81815,0.559552,2.44249e-015,2.43633e-015,
0.057,0,9.81797,0.569528,9.99201e-016,9.93089e-016,
0.058,0,9.81772,0.579502,5.55112e-016,5.49048e-016,
0.059,0,9.8174,0.589476,1.11022e-015,1.1042e-015,
0.06,0,9.81698,0.599448,3.33067e-016,3.27086e-016,
0.061,0,9.81648,0.60942,1.9984e-015,1.99245e-015,
0.062,0,9.81587,0.619391,7.77156e-016,7.71233e-016,
0.063,0,9.81514,0.629361,7.77156e-016,7.71253e-016,
0.064,0,9.81429,0.639329,2.33147e-015,2.32558e-015,
0.065,0,9.8133,0.649297,1.22125e-015,1.21536e-015,
0.066,0,9.81218,0.659264,-6.66134e-016,-6.72024e-016,
0.067,0,9.81091,0.66923,-1.22125e-015,-1.22715e-015,
0.068,0,9.80949,0.679194,-1.77636e-015,-1.78228e-015,
0.069,0,9.80789,0.689158,9.99201e-016,9.93246e-016,
0.07,0,9.80613,0.699121,-2.22045e-016,-2.28041e-016,
0.071,0,9.80417,0.709082,2.22045e-016,2.15995e-016,
0.072,0,9.80203,0.719043,-5.55112e-016,-5.61225e-016,
0.073,0,9.79968,0.729002,4.44089e-016,4.379e-016,
0.074,0,9.79712,0.73896,-6.66134e-016,-6.72413e-016,
