"time","tempc@tpf_st_chamber","press@tpf_st_chamber","out2@division","tau@tpf_st_chamber","dm2@tpf_pump","torque@expseu_"
0,19.904,0.02337,0.24,25,0.130321,0.554211
0.1,20.7494,0.0249046,0.240815,25.0815,0.125847,0.572219
0.2,21.5749,0.0264028,0.241612,25.1612,0.121478,0.5898
0.3,22.4003,0.027901,0.242408,25.2408,0.11711,0.60738
0.4,23.2258,0.0293992,0.243204,25.3204,0.112742,0.624961
0.5,24.0512,0.0308974,0.244,25.4,0.108374,0.642542
0.6,24.8767,0.0323956,0.244796,25.4796,0.104006,0.660122
0.7,25.7021,0.0338938,0.245592,25.5592,0.0996373,0.677703
0.8,26.5276,0.035392,0.246388,25.6388,0.0952691,0.695284
0.9,27.353,0.0368902,0.247184,25.7184,0.0909009,0.712864
1,28.1584,0.038352,0.247961,25.7961,0.0866388,0.730018
1.1,28.8412,0.0401634,0.248405,25.8405,0.0820076,0.745833
1.2,29.5241,0.0419749,0.248849,25.8849,0.0773765,0.761649
1.3,30.2069,0.0437863,0.249293,25.9293,0.0727453,0.777464
1.4,30.8897,0.0455977,0.249737,25.9737,0.0681141,0.79328
1.5,31.5726,0.0474092,0.250181,26.0181,0.063483,0.809095
1.6,32.2554,0.0492206,0.250625,26.0625,0.0588518,0.824911
1.7,32.9382,0.051032,0.251069,26.1069,0.0542206,0.840726
1.8,33.6211,0.0528435,0.251513,26.1513,0.0495895,0.856542
1.9,34.3039,0.0546549,0.251957,26.1957,0.0449583,0.872357
2,34.9867,0.0564664,0.252401,26.2401,0.0403271,0.888173
2.1,35.5968,0.0586691,0.252632,26.2632,0.0379149,0.902379
2.2,36.2069,0.0608719,0.252863,26.2863,0.0355026,0.916585
2.3,36.817,0.0630747,0.253093,26.3093,0.0330903,0.930791
2.4,37.4271,0.0652775,0.253324,26.3324,0.0306781,0.944997
2.5,38.0372,0.0674803,0.253554,26.3554,0.0282658,0.959203
2.6,38.6473,0.0696831,0.253785,26.3785,0.0258536,0.973409
2.7,39.2574,0.0718858,0.254015,26.4015,0.0234413,0.987615
2.8,39.8675,0.0740886,0.254246,26.4246,0.0210291,1.00182
2.9,40.4776,0.0762914,0.254477,26.4477,0.0186168,1.01603
3,41.0877,0.0784942,0.254707,26.4707,0.0162045,1.03023
3.1,41.6662,0.0812304,0.254828,26.4828,0.0149332,1.04293
3.2,42.2447,0.0839666,0.254949,26.4949,0.0136618,1.05563
3.3,42.8231,0.0867028,0.255071,26.5071,0.0123904,1.06832
3.4,43.4016,0.089439,0.255192,26.5192,0.011119,1.08102
3.5,43.9801,0.0921752,0.255313,26.5313,0.00984762,1.09372
3.6,44.5586,0.0949114,0.255434,26.5434,0.00857624,1.10642
3.7,45.1371,0.0976476,0.255555,26.5555,0.00730485,1.11911
3.8,45.7155,0.100384,0.255676,26.5676,0.00603347,1.13181
3.9,46.294,0.10312,0.255797,26.5797,0.00476209,1.14451
4,46.8725,0.105856,0.255918,26.5918,0.0034907,1.1572
4.1,47.4396,0.109297,0.25599,26.599,0.00314163,1.16799
4.2,48.0068,0.112737,0.256062,26.6062,0.00279256,1.17878
4.3,48.5739,0.116177,0.256134,26.6134,0.00244349,1.18956
4.4,49.1411,0.119617,0.256206,26.6206,0.00209442,1.20035
4.5,49.7082,0.123058,0.256278,26.6278,0.00174535,1.21113
4.6,50.2753,0.126498,0.25635,26.635,0.00139628,1.22192
4.7,50.8425,0.129938,0.256421,26.6421,0.00104721,1.23271
4.8,51.4096,0.133379,0.256493,26.6493,0.00069814,1.24349
4.9,51.9767,0.136819,0.256565,26.6565,0.00034907,1.25428
5,52.5439,0.140259,0.256637,26.6637,3.72966E-17,1.26507
