"time","PistonPosition","ExtendPressure","RetractPressure","ExtendFlow","RetractFlow"
0,0,33.78533656,67.56267311,-1.476738893,-2.191575228
0.01,-8.48E-06,33.59163888,67.0838668,-0.258407988,-1.439098391
0.02,0.000507869,33.53429256,66.93942144,-0.074037327,-0.168449228
0.03,0.000929145,33.51038932,66.9358116,-0.008203442,0.018696985
0.04,0.001181522,33.49877704,66.94641442,-0.010130572,0.0241141
0.05,0.001309569,33.49082956,66.95570197,-0.01502827,0.028984965
0.06,0.001342665,33.48526629,66.96436043,-0.019187493,0.033079407
0.07,0.001301687,33.48167508,66.97240175,-0.021470506,0.035268189
0.08,0.001205221,33.47981919,66.9797039,-0.022034311,0.035715937
0.09,0.001070225,33.47944588,66.98619469,-0.021250566,0.034801491
0.1,0.000911622,33.48028792,66.9918577,-0.01946439,0.032876066
0.11,0.000742058,33.48208205,66.99671787,-0.01698359,0.030252687
0.12,0.000571834,33.48458055,67.00083062,-0.014079114,0.027206484
0.13,0.000408964,33.4875588,67.00427274,-0.010981204,0.023970959
0.14,0.000259316,33.49082034,67.00713413,-0.0078775,0.020735974
0.15,0.000126831,33.49419957,67.00951075,-0.00491368,0.017648823
0.16,1.37692E-05,33.49756241,67.01149886,-0.002196255,0.01481674
0.17,-7.90151E-05,33.50080546,67.01319047,0.000203634,0.012311146
0.18,-0.000151796,33.50385382,67.01467007,0.002245512,0.010172315
0.19,-0.000205709,33.5066582,67.01601241,0.003914543,0.008414525
0.2,-0.000242508,33.50919137,67.01728127,0.005216456,0.007031259
0.21,-0.00026434,33.51144452,67.01852894,0.006172655,0.006000178
0.22,-0.000273563,33.51342349,67.01979643,0.006815707,0.005287716
0.23,-0.000272586,33.51514522,67.0211141,0.007185311,0.004853123
0.24,-0.000263747,33.51663445,67.02250265,0.007324899,0.004652038
0.25,-0.000249222,33.51792087,67.02397435,0.007278741,0.004639255
0.26,-0.00023096,33.5190366,67.02553436,0.007089749,0.004771071
0.27,-0.000210644,33.52001415,67.02718212,0.006797786,0.005006943
0.28,-0.000189674,33.52088489,67.02891263,0.006438507,0.005310641
0.29,-0.000169164,33.52167779,67.03071769,0.00604267,0.005650979
0.3,-0.000149958,33.52241867,67.03258704,0.005635808,0.006002096
0.31,-0.000132649,33.52312969,67.03450924,0.005238213,0.006343438
0.32,-0.000117608,33.52382919,67.03647252,0.0048652,0.006659556
0.33,-0.00010502,33.52453164,67.03846535,0.004527524,0.00693968
0.34,-9.49139E-05,33.5252479,67.04047697,0.004231861,0.007177067
0.35,-8.71968E-05,33.5259855,67.04249769,0.00398147,0.00736852
0.36,-8.16874E-05,33.52674907,67.0445191,0.003776804,0.007513714
0.37,-7.81427E-05,33.52754075,67.04653418,0.003616078,0.00761449
0.38,-7.62839E-05,33.52836066,67.04853731,0.003495896,0.007674358
0.39,-7.58166E-05,33.52920737,67.05052422,0.003411767,0.007697956
0.4,-7.64488E-05,33.53007829,67.05249189,0.003358535,0.007690537
0.41,-7.79031E-05,33.53097006,67.05443839,0.003330799,0.007657648
0.42,-7.99267E-05,33.5318789,67.05636276,0.003323181,0.007604739
0.43,-8.2297E-05,33.53280085,67.05826481,0.003330601,0.007536996
0.44,-8.48261E-05,33.53373201,67.06014497,0.003348428,0.007459114
0.45,-8.73605E-05,33.53466871,67.06200415,0.003372608,0.007375241
0.46,-8.97811E-05,33.53560762,67.06384355,0.003399667,0.007288793
0.47,-9.20009E-05,33.53654583,67.06566457,0.003426848,0.007202671
0.48,-9.39618E-05,33.5374809,67.06746871,0.003451972,0.007119034
0.49,-9.56307E-05,33.53841086,67.06925747,0.003473449,0.007039453
0.5,-9.69953E-05,33.5393342,67.07103227,0.003490251,0.006965026
0.51,-9.80602E-05,33.54024985,67.07279443,0.003501774,0.00689632
0.52,-9.8843E-05,33.54115708,67.07454512,0.003507781,0.006833483
0.53,-9.93701E-05,33.54205554,67.07628533,0.003508413,0.006776503
0.54,-9.96739E-05,33.54294513,67.07801591,0.003503968,0.006724977
0.55,-9.97898E-05,33.54382596,67.0797375,0.003494941,0.006678399
0.56,-9.9754E-05,33.54469832,67.08145061,0.003481928,0.006636152
0.57,-9.96015E-05,33.5455626,67.0831556,0.003465593,0.00659759
0.58,-9.93648E-05,33.54641929,67.08485269,0.003446611,0.006562059
0.59,-9.90731E-05,33.54726888,67.08654201,0.003425581,0.006528818
0.6,-9.87514E-05,33.54811189,67.08822359,0.003403132,0.006497325
0.61,-9.84206E-05,33.54894882,67.08989742,0.003379783,0.006467013
0.62,-9.80972E-05,33.54978012,67.09156341,0.003356003,0.006437436
0.63,-9.77939E-05,33.55060619,67.09322145,0.003332166,0.006408197
0.64,-9.75193E-05,33.55142741,67.09487143,0.003308578,0.006378999
0.65,-9.72789E-05,33.55224405,67.09651321,0.003285453,0.006349587
0.66,-9.70754E-05,33.55305637,67.09814667,0.003262958,0.006319818
0.67,-9.69092E-05,33.55386455,67.0997717,0.003241192,0.006289594
0.68,-9.67788E-05,33.55466871,67.1013882,0.0032202,0.006258862
0.69,-9.66816E-05,33.55546896,67.10299609,0.003199989,0.006227619
0.7,-9.66137E-05,33.55626535,67.10459531,0.00318053,0.006195891
0.71,-9.65711E-05,33.5570579,67.10618582,0.00316177,0.006163731
0.72,-9.65493E-05,33.55784661,67.10776762,0.00314364,0.00613121
0.73,-9.65438E-05,33.55863147,67.10934069,0.003126061,0.006098405
0.74,-9.65506E-05,33.55941245,67.11090506,0.003108953,0.006065395
