"time","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uDC","Losses","uAC[3]"
0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,5.656854E+002,4.800000E+002,0.000000E+000
2.000000E-004,2.975263E-002,-5.941731E-001,5.644205E-001,2.980496E+002,-5.653835E+002,5.623465E+002,7.945081E+002,2.673339E+002
4.000000E-004,9.215169E-002,-3.209312E+000,3.117160E+000,3.259178E+002,-5.596839E+002,5.556787E+002,7.910880E+002,2.337661E+002
6.000000E-004,1.532190E-001,-1.115188E+001,1.099866E+001,3.531623E+002,-5.531055E+002,5.490845E+002,8.122145E+002,1.999432E+002
8.000000E-004,2.136816E-001,-2.069392E+001,2.048024E+001,3.801661E+002,-5.466503E+002,5.426103E+002,8.442603E+002,1.664843E+002
1.000000E-003,2.733009E-001,-2.797762E+001,2.770432E+001,4.068042E+002,-5.403073E+002,5.362527E+002,8.713225E+002,1.335031E+002
1.200000E-003,3.318416E-001,-2.925857E+001,2.892673E+001,4.329276E+002,-5.340133E+002,5.299562E+002,8.773757E+002,1.010857E+002
1.400000E-003,3.890726E-001,-2.100262E+001,2.061355E+001,4.583652E+002,-5.276573E+002,5.236168E+002,8.473172E+002,6.929216E+001
1.600000E-003,4.277214E-001,-9.146969E-001,4.869754E-001,4.744040E+002,-5.040310E+002,5.170858E+002,7.476650E+002,2.962700E+001
1.800000E-003,4.712189E-001,-9.306376E-001,4.594186E-001,4.928157E+002,-4.869155E+002,5.104116E+002,7.404790E+002,-5.900146E+000
2.000000E-003,6.014050E-001,-1.027892E+000,4.264871E-001,5.077382E+002,-4.671129E+002,5.037376E+002,7.305990E+002,-4.062535E+001
2.200000E-003,2.104839E+001,-2.141865E+001,3.702578E-001,5.012037E+002,-4.357309E+002,4.971623E+002,7.742950E+002,-6.547279E+001
2.400000E-003,7.435199E+001,-7.466456E+001,3.125672E-001,4.952311E+002,-4.038993E+002,4.910831E+002,9.628551E+002,-9.133180E+001
2.600000E-003,1.557525E+002,-1.560061E+002,2.536431E-001,4.902184E+002,-3.719309E+002,4.859077E+002,1.296489E+003,-1.182875E+002
2.800000E-003,2.598027E+002,-2.599964E+002,1.937180E-001,4.864935E+002,-3.401058E+002,4.819747E+002,1.776131E+003,-1.463877E+002
3.000000E-003,3.805145E+002,-3.806475E+002,1.330283E-001,4.843069E+002,-3.086677E+002,4.795467E+002,2.397683E+003,-1.756392E+002
3.200000E-003,5.115029E+002,-5.115747E+002,7.181367E-002,4.838258E+002,-2.778198E+002,4.788037E+002,3.147120E+003,-2.060060E+002
3.400000E-003,6.461458E+002,-6.461561E+002,1.031560E-002,4.851302E+002,-2.477229E+002,4.798388E+002,3.997205E+003,-2.374073E+002
3.600000E-003,7.777447E+002,-7.776935E+002,-5.122317E-002,4.882109E+002,-2.184938E+002,4.826564E+002,4.906198E+003,-2.697171E+002
3.800000E-003,8.996884E+002,-8.995758E+002,-1.125598E-001,4.929702E+002,-1.902051E+002,4.871719E+002,5.818819E+003,-3.027650E+002
4.000000E-003,1.005613E+003,-1.005439E+003,-1.734522E-001,4.992241E+002,-1.628859E+002,4.932140E+002,6.669424E+003,-3.363382E+002
4.200000E-003,1.089564E+003,-1.089330E+003,-2.336601E-001,5.067052E+002,-1.365224E+002,5.005273E+002,7.387183E+003,-3.701827E+002
4.400000E-003,1.146131E+003,-1.145838E+003,-2.929458E-001,5.150724E+002,-1.110632E+002,5.087815E+002,7.902575E+003,-4.040092E+002
4.600000E-003,1.170583E+003,-1.170232E+003,-3.510754E-001,5.239191E+002,-8.642169E+001,5.175793E+002,8.154740E+003,-4.374974E+002
4.800000E-003,1.158984E+003,-1.158576E+003,-4.078194E-001,5.327823E+002,-6.248125E+001,5.264658E+002,8.098827E+003,-4.703011E+002
5.000000E-003,1.108293E+003,-1.107830E+003,-4.629540E-001,5.411543E+002,-3.909994E+001,5.349393E+002,7.712541E+003,-5.020544E+002
5.200000E-003,1.016447E+003,-1.015931E+003,-5.162615E-001,5.484949E+002,-1.611642E+001,5.424636E+002,7.001128E+003,-5.323785E+002
5.400000E-003,8.838052E+002,-8.804507E+002,-3.354541E+000,5.542468E+002,-8.770953E-001,5.484837E+002,5.997322E+003,-5.533697E+002
5.600000E-003,7.283617E+002,-6.833050E+002,-4.505673E+001,5.579722E+002,-6.382476E-001,5.525616E+002,4.832174E+003,-5.573339E+002
5.800000E-003,5.561077E+002,-4.197653E+002,-1.363424E+002,5.594294E+002,-2.834227E-001,5.544547E+002,3.654060E+003,-5.591460E+002
6.000000E-003,3.679451E+002,-9.115814E+001,-2.767869E+002,5.584011E+002,1.856286E-001,5.539431E+002,2.615963E+003,-5.585867E+002
6.200000E-003,3.154534E+002,-1.735613E-001,-3.152798E+002,3.648788E+002,1.913174E+002,5.515666E+002,2.238208E+003,-5.561962E+002
6.400000E-003,3.230105E+002,-1.126699E-001,-3.228978E+002,3.332187E+002,2.205487E+002,5.491226E+002,2.262795E+003,-5.537674E+002
6.600000E-003,3.412737E+002,-5.133384E-002,-3.412224E+002,3.014351E+002,2.501012E+002,5.468549E+002,2.349020E+003,-5.515363E+002
6.800000E-003,3.661122E+002,1.020480E-002,-3.661224E+002,2.697030E+002,2.799079E+002,5.448798E+002,2.477016E+003,-5.496109E+002
7.000000E-003,3.932478E+002,7.170316E-002,-3.933195E+002,2.381693E+002,3.098725E+002,5.432564E+002,2.625037E+003,-5.480419E+002
7.200000E-003,4.183695E+002,1.329185E-001,-4.185024E+002,2.069513E+002,3.398700E+002,5.419856E+002,2.769289E+003,-5.468213E+002
7.400000E-003,4.372469E+002,1.936094E-001,-4.374405E+002,1.761377E+002,3.697473E+002,5.410114E+002,2.884549E+003,-5.458850E+002
7.600000E-003,4.458253E+002,2.535361E-001,-4.460789E+002,1.457901E+002,3.993264E+002,5.402257E+002,2.945461E+003,-5.451165E+002
7.800000E-003,4.403403E+002,3.124622E-001,-4.406527E+002,1.159412E+002,4.284038E+002,5.394651E+002,2.928587E+003,-5.443450E+002
8.000000E-003,4.173887E+002,3.701552E-001,-4.177589E+002,8.659984E+001,4.567554E+002,5.385212E+002,2.814701E+003,-5.433552E+002
8.200000E-003,3.740793E+002,4.263873E-001,-3.745056E+002,5.774924E+001,4.841370E+002,5.371387E+002,2.591702E+003,-5.418862E+002
8.400000E-003,3.080347E+002,4.809367E-001,-3.085156E+002,2.935452E+001,5.102917E+002,5.350308E+002,2.256600E+003,-5.396462E+002
8.600000E-003,2.175102E+002,5.335881E-001,-2.180438E+002,1.363635E+000,5.349523E+002,5.318814E+002,1.817690E+003,-5.363159E+002
8.800000E-003,8.734612E+001,2.869848E+001,-1.160446E+002,5.864758E-002,5.315595E+002,5.274159E+002,1.323763E+003,-5.316182E+002
9.000000E-003,3.319458E-001,6.735043E+001,-6.768238E+001,-9.698355E+001,5.259133E+002,5.217793E+002,1.016997E+003,-4.289297E+002
9.200000E-003,2.734073E-001,9.209357E+001,-9.236697E+001,-1.234527E+002,5.203129E+002,5.161295E+002,1.091347E+003,-3.968602E+002
9.400000E-003,2.137897E-001,1.422752E+002,-1.424890E+002,-1.507388E+002,5.152675E+002,5.109837E+002,1.287730E+003,-3.645287E+002
9.600000E-003,1.533284E-001,2.131097E+002,-2.132630E+002,-1.788733E+002,5.110752E+002,5.066499E+002,1.599156E+003,-3.322019E+002
9.800000E-003,9.226201E-002,2.993236E+002,-2.994158E+002,-2.078525E+002,5.079671E+002,5.033693E+002,2.016441E+003,-3.001146E+002
1.000000E-002,3.083148E-002,3.952739E+002,-3.953047E+002,-2.376337E+002,5.060989E+002,5.013093E+002,2.524418E+003,-2.684652E+002
1.020000E-002,-3.072074E-002,4.951079E+002,-4.950772E+002,-2.681353E+002,5.055499E+002,5.005607E+002,3.099475E+003,-2.374146E+002
1.040000E-002,-9.215168E-002,5.929006E+002,-5.928085E+002,-2.992361E+002,5.063204E+002,5.011357E+002,3.708458E+003,-2.070843E+002
1.060000E-002,-1.532190E-001,6.827763E+002,-6.826231E+002,-3.307758E+002,5.083324E+002,5.029680E+002,4.309142E+003,-1.775566E+002
1.080000E-002,-2.136816E-001,7.590944E+002,-7.588807E+002,-3.625563E+002,5.114308E+002,5.059139E+002,4.852792E+003,-1.488745E+002
1.100000E-002,-2.733009E-001,8.165796E+002,-8.163063E+002,-3.943449E+002,5.153887E+002,5.097568E+002,5.287937E+003,-1.210438E+002
1.120000E-002,-3.318416E-001,8.504334E+002,-8.501015E+002,-4.258773E+002,5.199128E+002,5.142133E+002,5.565125E+003,-9.403544E+001
1.140000E-002,-3.890726E-001,8.564560E+002,-8.560669E+002,-4.568620E+002,5.246510E+002,5.189396E+002,5.642414E+003,-6.778900E+001
1.160000E-002,-4.447682E-001,8.311569E+002,-8.307121E+002,-4.869850E+002,5.292012E+002,5.235404E+002,5.490874E+003,-4.221629E+001
1.180000E-002,-4.987085E-001,7.718458E+002,-7.713471E+002,-5.159152E+002,5.331214E+002,5.275793E+002,5.099416E+003,-1.720619E+001
1.200000E-002,-3.522969E+000,6.781785E+002,-6.746555E+002,-5.352715E+002,5.359426E+002,5.305908E+002,4.475569E+003,-6.711319E-001
1.220000E-002,-4.820268E+001,5.685439E+002,-5.203413E+002,-5.368400E+002,5.373121E+002,5.322243E+002,3.723472E+003,-4.721381E-001
