"time","V_in","V_out"
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
1.0000000000000001E-001,5.0000000000000003E-002,0.0000000000000000E+000
2.0000000000000001E-001,1.0000000000000001E-001,0.0000000000000000E+000
3.0000000000000004E-001,1.5000000000000002E-001,5.0000000000000023E-004
4.0000000000000002E-001,2.0000000000000001E-001,1.9000000000000002E-003
5.0000000000000000E-001,2.5000000000000000E-001,4.5149999999999999E-003
5.9999999999999998E-001,2.9999999999999993E-001,8.5879999999999984E-003
6.9999999999999996E-001,3.4999999999999992E-001,1.4301249999999998E-002
7.9999999999999993E-001,3.9999999999999997E-001,2.1785969999999995E-002
8.9999999999999991E-001,4.4999999999999996E-001,3.1130733499999990E-002
9.9999999999999989E-001,4.9999999999999994E-001,4.2388684599999983E-002
1.0999999999999999E+000,5.4999999999999993E-001,5.5583738144999978E-002
1.2000000000000000E+000,5.9999999999999998E-001,7.0715894134999985E-002
1.3000000000000000E+000,6.5000000000000002E-001,8.7765781545549995E-002
1.4000000000000001E+000,7.0000000000000007E-001,1.0669853253264001E-001
1.5000000000000002E+000,7.5000000000000011E-001,1.2746707550685654E-001
1.6000000000000003E+000,8.0000000000000016E-001,1.5001492456090337E-001
1.7000000000000004E+000,8.5000000000000020E-001,1.7427853304907229E-001
1.8000000000000005E+000,9.0000000000000024E-001,2.0018927059399838E-001
1.9000000000000006E+000,9.5000000000000029E-001,2.2767507529944855E-001
2.0000000000000004E+000,1.0000000000000000E+000,2.5666182635786866E-001
2.1000000000000005E+000,1.0000000000000000E+000,2.8707447645161033E-001
2.2000000000000006E+000,1.0000000000000000E+000,3.1883797826302496E-001
2.3000000000000007E+000,1.0000000000000000E+000,3.5137803494764058E-001
2.4000000000000008E+000,1.0000000000000000E+000,3.8422170051270282E-001
2.5000000000000009E+000,1.0000000000000000E+000,4.1698285261527623E-001
2.6000000000000010E+000,1.0000000000000000E+000,4.4934955729220794E-001
2.7000000000000011E+000,1.0000000000000000E+000,4.8107309250760055E-001
2.8000000000000012E+000,1.0000000000000000E+000,5.1195842510699252E-001
2.9000000000000012E+000,1.0000000000000000E+000,5.4185596026143013E-001
3.0000000000000013E+000,1.0000000000000000E+000,5.7065440413391033E-001
3.1000000000000014E+000,1.0000000000000000E+000,5.9827459962928020E-001
3.2000000000000015E+000,1.0000000000000000E+000,6.2466421198423694E-001
3.3000000000000016E+000,1.0000000000000000E+000,6.4979315587190956E-001
3.4000000000000017E+000,1.0000000000000000E+000,6.7364966886220523E-001
3.5000000000000018E+000,1.0000000000000000E+000,6.9623694769572275E-001
3.6000000000000019E+000,1.0000000000000000E+000,7.1757027407391472E-001
3.7000000000000020E+000,1.0000000000000000E+000,7.3767456569951106E-001
3.8000000000000020E+000,1.0000000000000000E+000,7.5658229625924900E-001
3.9000000000000021E+000,1.0000000000000000E+000,7.7433173505004427E-001
4.0000000000000018E+000,1.0000000000000000E+000,7.9096546312008786E-001
4.1000000000000014E+000,1.0000000000000000E+000,8.0652912822562228E-001
4.2000000000000011E+000,1.0000000000000000E+000,8.2107040567884892E-001
4.3000000000000007E+000,1.0000000000000000E+000,8.3463813635917405E-001
4.4000000000000004E+000,1.0000000000000000E+000,8.4728161684664560E-001
4.5000000000000000E+000,1.0000000000000000E+000,8.5905001987303109E-001
4.5999999999999996E+000,1.0000000000000000E+000,8.6999192612567311E-001
4.6999999999999993E+000,1.0000000000000000E+000,8.8015495092905638E-001
4.7999999999999989E+000,1.0000000000000000E+000,8.8958545151050628E-001
4.8999999999999986E+000,1.0000000000000000E+000,8.9832830246637563E-001
4.9999999999999982E+000,1.0000000000000000E+000,9.0642672871596608E-001
