"time","world.frame_b.f[2]","world.frame_b.f[3]","world.frame_b.t[1]","world.frame_b.t[2]","world.frame_b.t[3]","world.g","world.mue","world.driveTrainMechanics3D","world.axisDiameter","world.gravityArrowTail[1]"
0,-112.722,-2.10484,-0.247509,0.315726,-15.4251,9.81,3.986E+14,1,0.0125,0
0.001,-112.722,-2.1198,-0.249268,0.31797,-15.4251,9.81,3.986E+14,1,0.0125,0
0.002,-112.721,-2.14649,-0.252407,0.321974,-15.425,9.81,3.986E+14,1,0.0125,0
0.003,-112.72,-2.19749,-0.258403,0.329623,-15.4248,9.81,3.986E+14,1,0.0125,0
0.004,-112.718,-2.26917,-0.266832,0.340375,-15.4246,9.81,3.986E+14,1,0.0125,0
0.005,-112.716,-2.36219,-0.277771,0.354329,-15.4242,9.81,3.986E+14,1,0.0125,0
0.006,-112.713,-2.47746,-0.291326,0.371619,-15.4238,9.81,3.986E+14,1,0.0125,0
0.007,-112.709,-2.61603,-0.30762,0.392404,-15.4232,9.81,3.986E+14,1,0.0125,0
0.008,-112.704,-2.77922,-0.326809,0.416882,-15.4225,9.81,3.986E+14,1,0.0125,0
0.009,-112.698,-2.96856,-0.349074,0.445284,-15.4216,9.81,3.986E+14,1,0.0125,0
0.01,-112.691,-3.18584,-0.374624,0.477875,-15.4205,9.81,3.986E+14,1,0.0125,0
0.011,-112.682,-3.43309,-0.403699,0.514964,-15.4192,9.81,3.986E+14,1,0.0125,0
0.012,-112.672,-3.71266,-0.436573,0.556899,-15.4176,9.81,3.986E+14,1,0.0125,0
0.013,-112.658,-4.02716,-0.473556,0.604074,-15.4156,9.81,3.986E+14,1,0.0125,0
0.014,-112.643,-4.37956,-0.514995,0.656934,-15.4132,9.81,3.986E+14,1,0.0125,0
0.015,-112.623,-4.77317,-0.561281,0.715975,-15.4103,9.81,3.986E+14,1,0.0125,0
0.016,-112.599,-5.21169,-0.612847,0.781753,-15.4068,9.81,3.986E+14,1,0.0125,0
0.017,-112.571,-5.69925,-0.670181,0.854887,-15.4025,9.81,3.986E+14,1,0.0125,0
0.018,-112.536,-6.24043,-0.73382,0.936064,-15.3972,9.81,3.986E+14,1,0.0125,0
