"time","fdrag","fk1","fk2","x","y1","y2","y3"
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,31592.155317,33255.247196,40791.398006,30.038786,10.417406,2.513788,1.324881
1.000000,72996.178176,42107.824393,76623.438788,55.518793,29.234586,11.204989,8.971721
1.500000,48073.206770,15985.325117,36466.779774,73.416617,44.614023,21.011604,19.948743
2.000000,17780.685893,7214.798715,13040.643065,87.567008,57.396549,28.113607,27.733524
2.500000,25629.351457,11076.240365,24862.124201,100.035526,68.945394,33.575109,32.850477
3.000000,21012.280674,8880.070221,20191.881018,110.032349,78.341950,38.451358,37.862845
3.500000,14684.315783,5792.669172,13789.147965,117.990407,85.889298,42.475227,42.073328
4.000000,9529.883272,3767.227128,8884.659699,124.566210,92.162622,45.776025,45.517073
4.500000,7345.661907,2991.090962,6909.988608,130.237025,97.595588,48.555404,48.354005
5.000000,6117.157974,2524.530360,5794.034570,135.199642,102.365487,50.978163,50.809290
5.500000,5032.967359,2047.232969,4738.776787,139.567620,106.574568,53.121382,52.983265
6.000000,4175.453421,1712.005726,3941.707689,143.448988,110.322445,55.022486,54.907601
6.500000,3523.435142,1438.581585,3321.199003,146.924378,113.684000,56.725421,56.628622
7.000000,2996.311811,1227.096170,2827.997531,150.057620,116.718924,58.260022,58.177597
7.500000,2565.198090,1047.994350,2419.427670,152.899156,119.474623,59.652385,59.581868
8.000000,2209.621136,903.646843,2084.927435,155.491060,121.990848,60.922195,60.861428
8.500000,1917.549518,783.768404,1809.178293,157.867655,124.300143,62.086557,62.033827
9.000000,1674.103607,684.271061,1579.532568,160.057352,126.429529,63.159313,63.113276
9.500000,1472.260952,601.347399,1388.153932,162.083779,128.401536,64.152036,64.111577
10.000000,1309.070539,535.238180,1234.708338,163.966605,130.234956,65.074104,65.038117
10.500000,1171.798367,479.755760,1106.119282,165.721629,131.944900,65.933572,65.901333
11.000000,1050.689428,429.068809,991.049898,167.362130,133.544087,66.737273,66.708388
11.500000,945.932585,387.164200,893.051726,168.900037,135.043965,67.490608,67.464579
12.000000,854.560149,349.083319,806.347763,170.345439,136.454228,68.198825,68.175324
12.500000,774.269227,316.637921,730.838652,171.707330,137.783533,68.866107,68.844806
13.000000,704.085848,287.755418,664.507429,172.993492,139.039375,69.496369,69.477001
13.500000,641.965722,262.377656,605.874789,174.210792,140.228377,70.092926,70.075267
14.000000,587.228394,240.050632,554.268186,175.365290,141.356387,70.658741,70.642586
14.500000,538.571564,220.069780,508.267194,176.462322,142.428561,71.196447,71.181633
15.000000,495.313554,202.472621,467.476483,177.506651,143.449500,71.708342,71.694717
15.500000,456.703349,186.614085,430.963475,178.502492,144.423285,72.196520,72.183959
16.000000,422.101626,172.504346,398.367344,179.453639,145.353587,72.662814,72.651204
16.500000,391.053201,159.792661,369.072935,180.363448,146.243656,73.108879,73.098122
17.000000,366.447418,149.277954,345.639173,181.234942,147.096421,73.536113,73.526039
17.500000,344.812732,141.440566,325.867638,182.070601,147.914284,73.945680,73.936182
18.000000,324.286523,132.105602,305.629187,182.872417,148.699173,74.338881,74.329973
18.500000,305.048287,124.985837,287.974636,183.642518,149.453150,74.716447,74.708053
19.000000,287.358718,117.284896,270.940025,184.382690,150.177949,75.079470,75.071573
19.500000,270.551912,110.629354,255.263835,185.094723,150.875306,75.428688,75.421248
20.000000,255.193923,104.328729,240.826898,185.780232,151.546789,75.764940,75.757921
20.500000,240.684594,98.282242,227.054327,186.440723,152.193860,76.088965,76.082348
21.000000,227.302369,92.970505,214.611893,187.077628,152.817911,76.401422,76.395167
21.500000,214.793695,87.673639,202.716110,187.692237,153.420197,76.702994,76.697085
22.000000,203.134420,83.044821,191.828364,188.285797,154.001930,76.994235,76.988644
22.500000,192.299737,78.519185,181.528227,188.859432,154.564203,77.275739,77.270448
23.000000,182.149325,74.416616,171.991122,189.414215,155.108062,77.548000,77.542987
23.500000,172.736713,70.553805,163.112905,189.951135,155.634467,77.811516,77.806762
24.000000,163.901428,66.920138,154.756529,190.471113,156.144318,78.066736,78.062225
24.500000,155.670859,63.593864,147.025754,190.975020,156.638462,78.314077,78.309792
25.000000,147.966317,60.403525,139.709101,191.463657,157.117679,78.553944,78.549872
25.500000,140.760371,57.495257,132.924871,191.937783,157.582709,78.786695,78.782821
26.000000,134.018389,54.712796,126.540777,192.398101,158.034237,79.012685,79.008997
26.500000,127.690779,52.140509,120.577445,192.845273,158.472911,79.232230,79.228716
27.000000,121.765251,49.715220,114.992300,193.279920,158.899334,79.445638,79.442286
27.500000,116.187831,47.436719,109.704078,193.702624,159.314074,79.653193,79.649995
28.000000,110.961733,45.313693,104.773819,194.113927,159.717660,79.855158,79.852104
28.500000,106.045772,43.290810,100.131799,194.514342,160.110593,80.051788,80.048870
29.000000,101.418855,41.411529,95.780953,194.904352,160.493345,80.243316,80.240525
29.500000,97.062803,39.628252,91.640097,195.284412,160.866358,80.429968,80.427297
30.000000,92.954686,37.955925,87.755298,195.654947,161.230049,80.611949,80.609391
30.500000,89.084111,36.377628,84.087879,196.016359,161.584809,80.789457,80.787006
31.000000,85.430780,34.883131,80.617784,196.369030,161.931013,80.962680,80.960330
31.500000,81.981440,33.478324,77.361771,196.713317,162.269008,81.131791,81.129536
32.000000,78.719307,32.140059,74.284313,197.049558,162.599123,81.296957,81.294792
32.500000,75.632396,30.881709,71.375751,197.378069,162.921671,81.458333,81.456253
33.000000,72.711191,29.685845,68.622406,197.699158,163.236949,81.616069,81.614069
33.500000,69.940179,28.552787,66.021401,198.013109,163.545237,81.770305,81.768380
34.000000,67.313997,27.484117,63.536075,198.320196,163.846800,81.921173,81.919321
