"time","Cntrl_PI_1.s_out.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_out.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_out.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_out.signal[1]","Cntrl_PI_4.s_var.signal[1]"
0,0,0,0,0,0,0,0,0
1,0.02,0.90968947414161627,15.082347913394754,0.49538567877874107,0,22.368898689663844,0,0.98712409493902231
2,0.02,0.95334954292645535,26.723304734318749,0.52216306654410505,0,22.411033435495508,0,0.97768935843736604
3,0.02,0.99252426561509444,35.300030869278153,0.53485072446799153,0,22.447543485405248,0,0.97087189100395122
4,0.33608209993805166,1.0220086619943822,41.198445472991722,0.53716064987477885,28.21893915104674,30.218986375883983,0,1.205375027938743
5,0.68844386432958526,1.029731256521673,44.781255101739347,0.53208308343369448,44.023650601492299,30.172275763873117,0,2.1018116538494853
6,0.88466364513598883,1.0224365077800661,46.623141811208583,0.52269551895565791,49.623879506370102,30.09555333278233,3.9223866482281169,3.3497129882034957
7,0.92225302389450114,1.0099400831340337,47.265505546540282,0.51141047069173629,50.562996941024139,30.039382541770209,19.914904708323533,4.1260516273233323
8,0.86216157503321533,0.9995527038433657,47.1394929248548,0.49986813645319822,49.087374205498904,30.004357707316274,28.064030305836585,3.876938261193382
9,0.77508783947719695,0.99435006781015289,46.552024315000153,0.48903649074586536,46.762158661391773,29.986833613188015,28.979007174976712,3.3589618100772221
10,0.70905346935101998,0.99392907228014471,45.707125805332566,0.47939874248888636,44.826741555874925,29.983373819745186,27.46368860518881,3.0310304384932958
11,0.6806037284386327,0.99615980277645211,44.738803688656631,0.47114061525735196,43.94257090103978,29.988879187258053,25.63449680201542,2.8973223391729315
12,0.68268940260150324,0.99883554543328035,43.739219293546824,0.4642888872120528,44.016120826421101,29.996745485860934,24.404070140601331,2.8887698695366937
13,0.69893686913536246,1.000628374597083,42.775576107903419,0.45879064091567312,44.533650759989307,30.002160733139061,24.02050492578006,2.9389417764469341
14,0.71524296415704969,1.0012364495323816,41.896700040281132,0.45454717344333989,45.039348608998978,30.003906265254631,24.255200784586762,2.9944885797773906
15,0.72470998260319353,1.0010119940241282,41.1342728237464,0.45142588923004784,45.327388474290792,30.003130287644236,24.698947864469481,3.026100422151436
16,0.7269197329596051,1.0004805794228029,40.50339491475755,0.44926819493881076,45.394260813681392,30.001479682602064,25.046782594706098,3.0306358531918201
17,0.72474522326168866,1.0000259544428414,40.004780670536455,0.44790094213266529,45.32928754117291,30.000093388856495,25.196357922708359,3.0197192273346243
18,0.72140078134881203,0.99979893222246885,39.62857784018636,0.44715068184492057,45.229003134222332,29.999402731379497,25.187522170804812,3.0060969977209715
19,0.71889973129238383,0.99977521266955294,39.358727257375307,0.44685685818072707,45.154070713594521,29.999328600008202,25.106611696407136,2.9969743654479895
20,0.71784060998303323,0.99985758199381869,39.176735080607322,0.44688076133544213,45.122799099948054,29.999577243910931,25.024847723171717,2.993843352282842
21,0.71789737658813302,0.9999554665810193,39.064324328745322,0.44710968971833592,45.125343520548306,29.999873480373747,24.976577101698723,2.9948936863570568
