"time","y1","y","y2","y3","y4","y5","y6","QI","Q"
0,0,0,1,0,1,0,0,0,1
0.02,0,0,1,0,1,0,0,0,1
0.04,0,0,1,0,1,0,0,0,1
0.06,0,0,1,0,1,0,0,0,1
0.08,0,0,1,0,1,0,0,0,1
0.11,0,0,1,0,1,0,0,0,1
0.13,0,0,1,0,1,0,0,0,1
0.15,0,0,1,0,1,0,0,0,1
0.16,0,0,1,0,1,0,0,0,1
0.18,0,0,1,0,1,0,0,0,1
0.2,0,0,1,0,1,0,0,0,1
0.22,0,0,1,0,1,0,0,0,1
0.24,0,0,1,0,1,0,0,0,1
0.26,0,0,1,0,1,0,0,0,1
0.28,0,0,1,0,1,0,0,0,1
0.3,0,0,1,0,1,0,0,0,1
0.32,0,0,1,0,1,0,0,1,0
0.34,0,0,1,0,1,0,0,1,0
0.36,0,0,1,0,1,0,0,1,0
0.38,0,0,1,0,1,0,0,1,0
0.4,0,0,1,0,1,0,0,1,0
0.42,0,0,1,0,1,0,0,1,0
0.44,0,0,1,0,1,0,0,1,0
0.46,0,0,1,0,1,0,0,1,0
0.48,0,0,1,0,1,0,0,1,0
0.5,0,0,1,0,1,0,0,1,0
0.52,0,0,1,0,1,0,0,0,1
0.54,0,0,1,0,1,0,0,0,1
0.56,0,0,1,0,1,0,0,0,1
0.58,0,0,1,0,1,0,0,0,1
0.6,0,0,1,0,1,0,0,0,1
0.62,0,0,1,0,1,0,0,0,1
0.64,0,0,1,0,1,0,0,0,1
0.66,0,0,1,0,1,0,0,0,1
0.68,0,0,1,0,1,0,0,0,1
0.7,0,0,1,0,1,0,0,0,1
0.72,0,0,1,0,1,0,0,0,1
0.74,0,0,1,0,1,0,0,0,1
0.76,0,0,1,0,1,0,0,0,1
0.78,0,0,1,0,1,0,0,0,1
0.8,0,0,1,0,1,0,0,0,1
0.82,2,0,0,0,1,1,0,1,0
0.84,2,0,0,0,1,1,0,1,0
0.86,2,0,0,0,1,1,0,1,0
0.88,2,0,0,0,1,1,0,1,0
0.9,2,0,0,0,1,1,0,1,0
0.92,2,0,0,0,1,1,0,1,0
0.94,2,0,0,0,1,1,0,1,0
0.96,2,0,0,0,1,1,0,1,0
0.98,2,0,0,0,1,1,0,1,0
1,2,0,0,0,1,1,0,1,0
1.02,4,0,1,0,1,1,0,0,1
1.04,4,0,1,0,1,1,0,0,1
1.06,4,0,1,0,1,1,0,0,1
1.08,4,0,1,0,1,1,0,0,1
1.1,4,0,1,0,1,1,0,0,1
1.12,4,0,1,0,1,1,0,0,1
1.14,4,0,1,0,1,1,0,0,1
1.16,4,0,1,0,1,1,0,0,1
1.18,4,0,1,0,1,1,0,0,1
1.2,4,0,1,0,1,1,0,0,1
1.22,4,0,1,0,1,1,0,0,1
1.24,4,0,1,0,1,1,0,0,1
1.26,4,0,1,0,1,1,0,0,1
1.28,4,0,1,0,1,1,0,0,1
1.3,4,0,1,0,1,1,0,0,1
1.32,4,0,1,0,1,1,0,1,0
1.34,4,0,1,0,1,1,0,1,0
1.36,4,0,1,0,1,1,0,1,0
1.38,4,0,1,0,1,1,0,1,0
1.4,4,0,1,0,1,1,0,1,0
1.42,4,0,1,0,1,1,0,1,0
1.44,4,0,1,0,1,1,0,1,0
1.46,4,0,1,0,1,1,0,1,0
1.48,4,0,1,0,1,1,0,1,0
1.5,4,0,1,0,1,1,0,1,0
1.52,4,0,1,0,1,1,0,0,1
1.54,4,0,1,0,1,1,0,0,1
1.56,4,0,1,0,1,1,0,0,1
1.58,4,0,1,0,1,1,0,0,1
1.6,4,0,1,0,1,1,0,0,1
1.62,4,0,1,0,1,1,0,0,1
1.64,4,0,1,0,1,1,0,0,1
1.66,4,0,1,0,1,1,0,0,1
1.68,4,0,1,0,1,1,0,0,1
1.7,4,0,1,0,1,1,0,0,1
1.72,4,0,1,0,1,1,0,0,1
1.74,4,0,1,0,1,1,0,0,1
1.76,4,0,1,0,1,1,0,0,1
1.78,4,0,1,0,1,1,0,0,1
1.8,4,0,1,0,1,1,0,0,1
1.82,6,0,0,0,1,1,0,1,0
1.84,6,0,0,0,1,1,0,1,0
1.86,6,0,0,0,1,1,0,1,0
1.88,6,0,0,0,1,1,0,1,0
1.9,6,0,0,0,1,1,0,1,0
1.92,6,0,0,0,1,1,0,1,0
1.94,6,0,0,0,1,1,0,1,0
1.96,6,0,0,0,1,1,0,1,0
1.98,6,0,0,0,1,1,0,1,0
2,6,0,0,0,1,1,0,1,0
2.03,8,1,1,1,1,1,0,0,1
2.05,8,1,1,1,1,1,0,0,1
2.07,8,1,1,1,1,1,0,0,1
2.09,8,1,1,1,1,1,0,0,1
2.11,8,1,1,1,1,1,0,0,1
2.13,8,1,1,1,1,1,0,0,1
2.15,8,1,1,1,1,1,0,0,1
2.17,8,1,1,1,1,1,0,0,1
2.19,8,1,1,1,1,1,0,0,1
2.2,8,1,1,1,1,1,0,0,1
2.23,8,1,1,0,1,1,0,0,1
2.25,8,1,1,0,1,1,0,0,1
2.27,8,1,1,0,1,1,0,0,1
2.29,8,1,1,0,1,1,0,0,1
2.3,8,1,1,0,1,1,0,1,0
2.33,8,1,1,0,1,1,0,1,0
2.35,8,1,1,0,1,1,0,1,0
2.37,8,1,1,0,1,1,0,1,0
2.39,8,1,1,0,1,1,0,1,0
2.41,8,1,1,0,1,1,0,1,0
2.43,8,1,1,0,1,1,0,1,0
2.45,8,1,1,0,1,1,0,1,0
2.47,8,1,1,0,1,1,0,1,0
2.49,8,1,1,0,1,1,0,1,0
2.5,8,1,1,0,1,1,0,1,0
