"Time","i","speed","Rarm"
0,35,0,4
3.1554e-30,35,0,4
7.1429e-19,35,0,4
7.1429e-19,35,0,4
5.0433e-07,35.001,5.5237e-07,4
1.0087e-06,35.001,1.6544e-06,4
1.5134e-06,35.002,3.3072e-06,4
2.0185e-06,35.003,5.5106e-06,4
2.5239e-06,35.004,8.2644e-06,4
3.0297e-06,35.004,1.1569e-05,4
3.5358e-06,35.005,1.5423e-05,4
4.0423e-06,35.006,1.9828e-05,4
4.5491e-06,35.006,2.4783e-05,4
5.0563e-06,35.007,3.0287e-05,4
5.5638e-06,35.008,3.6342e-05,4
6.0717e-06,35.009,4.2946e-05,4
6.58e-06,35.009,5.0101e-05,4
7.0886e-06,35.01,5.7804e-05,4
7.5975e-06,35.011,6.6057e-05,4
8.1199e-06,35.011,7.51e-05,4
8.6601e-06,35.012,8.5061e-05,4
9.2182e-06,35.013,9.6002e-05,4
9.7942e-06,35.014,0.00010798,4
1.0388e-05,35.014,0.00012107,4
1.1e-05,35.015,0.00013533,4
1.163e-05,35.016,0.00015083,4
1.2278e-05,35.017,0.00016764,4
1.2944e-05,35.018,0.00018582,4
1.3629e-05,35.019,0.00020546,4
1.432e-05,35.02,0.00022629,4
1.5013e-05,35.021,0.00024812,4
1.5707e-05,35.022,0.00027095,4
1.6402e-05,35.023,0.0002948,4
1.7097e-05,35.024,0.00031967,4
1.7794e-05,35.025,0.00034554,4
1.8492e-05,35.025,0.00037243,4
1.9192e-05,35.026,0.00040034,4
1.9892e-05,35.027,0.00042926,4
2.0593e-05,35.028,0.00045921,4
2.1296e-05,35.029,0.00049018,4
2.1999e-05,35.03,0.00052217,4
2.2704e-05,35.031,0.00055518,4
2.3409e-05,35.032,0.00058923,4
2.4116e-05,35.033,0.0006243,4
2.4824e-05,35.034,0.0006604,4
2.5533e-05,35.035,0.00069753,4
2.6243e-05,35.036,0.0007357,4
2.6955e-05,35.037,0.0007749,4
2.7667e-05,35.038,0.00081513,4
2.8381e-05,35.039,0.00085641,4
2.9095e-05,35.039,0.00089873,4
2.9811e-05,35.04,0.00094209,4
3.0528e-05,35.041,0.00098649,4
3.1246e-05,35.042,0.0010319,4
3.1965e-05,35.043,0.0010784,4
3.2685e-05,35.044,0.001126,4
3.3407e-05,35.045,0.0011746,4
3.413e-05,35.046,0.0012242,4
3.4853e-05,35.047,0.0012749,3.9999
