"time","Bearing.phi","Bearing.w"
0.000,0.001,0
0.063,0.0640803,6.19145
0.110,2.79249,129.844
0.156,8.22147,140.381
0.219,15.7202,199.46
0.266,24.691,191.956
0.328,35.5486,244.527
0.375,47.9433,289.571
0.422,61.9463,263.115
0.468,77.6572,360.204
0.531,95.2555,318.966
