"time","dateOut1","dateOut2"
0,1,1
0.05,1,1
0.1,1,1
0.1501,1,1
0.2002,1,1
0.2503,1,1
0.3004,1,1
0.3505,1,1
0.4006,1,1
0.4507,1,1
0.5008,1,1
0.5509,1,1
0.601,1,1
0.6511,1,1
0.7012,1,1
0.7513,1,1
0.8014,1,1
0.8515,1,1
0.9016,1,1
0.9517,1,1
1.0018,1,1
1.0519,1,1
1.102,1,1
1.1521,1,1
1.2022,1,1
1.2523,1,1
1.3024,1,1
1.3525,1,1
1.4026,1,1
1.4527,1,1
1.5028,1,1
1.5529,1,1
1.603,1,1
1.6531,1,1
1.7032,1,1
1.7533,1,1
1.8034,1,1
1.8535,1,1
1.9036,1,1
1.9537,1,1
2.0037,1,1
2.0537,1,1
2.1037,1,1
2.1537,1,1
2.2037,1,1
2.2537,1,1
2.3037,1,1
2.3537,1,1
2.4037,1,1
2.4537,1,1
2.5037,1,1
2.5537,1,1
2.6037,1,1
2.6537,1,1
2.7037,1,1
2.7537,1,1
2.8037,1,1
2.8537,1,1
2.9037,1,1
2.9537,1,1
3.0037,1,1
3.0537,1,1
3.1037,1,1
3.1537,1,1
3.2037,1,1
3.2537,1,1
3.3037,1,1
3.3537,1,1
3.4037,1,1
3.4537,1,1
3.5037,1,1
3.5537,1,1
3.6037,1,1
3.6537,1,1
3.7037,1,1
3.7537,1,1
3.8037,1,1
3.8537,1,1
3.9037,1,1
3.9537,1,1
4.0037,1,1
4.0538,1,1
4.1039,1,1
4.154,1,1
4.2041,1,1
4.2542,1,1
4.3043,1,1
4.3544,1,1
4.4045,1,1
4.4546,1,1
4.5047,1,1
4.5548,1,1
4.6049,1,1
4.655,1,1
4.7051,1,1
4.7552,1,1
4.8053,1,1
4.8554,1,1
4.9055,1,1
4.9556,1,1
5.0057,1,1
5.0558,1,1
5.1059,1,1
5.156,1,1
5.2061,1,1
5.2562,1,1
5.3063,1,1
5.3564,1,1
5.4065,1,1
5.4566,1,1
5.5067,1,1
5.5568,1,1
5.6069,1,1
5.657,1,1
5.7071,1,1
5.7572,1,1
5.8073,1,1
5.8574,1,1
5.9075,1,1
5.9576,1,1
6.0077,3,3
6.0578,3,3
6.1079,3,3
6.158,3,3
6.2081,3,3
6.2582,3,3
6.3083,3,3
6.3584,3,3
6.4085,3,3
6.4586,3,3
6.5087,3,3
6.5588,3,3
6.6089,3,3
6.659,3,3
6.7091,3,3
6.7592,3,3
6.8093,3,3
6.8594,3,3
6.9095,3,3
6.9596,3,3
7.0097,3,3
7.0598,3,3
7.1099,3,3
7.16,3,3
7.2101,3,3
7.2602,3,3
7.3103,3,3
7.3604,3,3
7.4105,3,3
7.4606,3,3
7.5107,3,3
7.5608,3,3
7.6109,3,3
7.661,3,3
7.7111,3,3
7.7612,3,3
7.8113,3,3
7.8614,3,3
7.9115,3,3
7.9616,3,3
8.0117,3,3
8.0618,3,3
8.1119,3,3
8.162,3,3
8.2121,3,3
8.2622,3,3
8.3123,3,3
8.3624,3,3
8.4125,3,3
8.4626,3,3
8.5127,3,3
8.5628,3,3
8.6129,3,3
8.663,3,3
8.7131,3,3
8.7632,3,3
8.8133,3,3
8.8634,3,3
8.9135,3,3
8.9636,3,3
9.0137,3,3
9.0638,3,3
9.1139,3,3
9.164,3,3
9.2141,3,3
9.2642,3,3
9.3143,3,3
9.3644,3,3
9.4145,3,3
9.4646,3,3
9.5147,3,3
9.5648,3,3
9.6149,3,3
9.665,3,3
9.7151,3,3
9.7652,3,3
9.8153,3,3
9.8654,3,3
9.9155,3,3
9.9656,3,3
10.0157,3,3
10.0658,3,3
10.1159,3,3
10.166,3,3
10.2161,3,3
10.2662,3,3
10.3163,3,3
10.3664,3,3
10.4165,3,3
10.4666,3,3
10.5167,3,3
10.5668,3,3
10.6169,3,3
10.667,3,3
10.7171,3,3
10.7672,3,3
10.8173,3,3
10.8674,3,3
10.9175,3,3
10.9676,3,3
11.0177,3,3
11.0678,3,3
11.1179,3,3
11.168,3,3
11.2181,3,3
11.2682,3,3
11.3183,3,3
11.3684,3,3
11.4185,3,3
11.4686,3,3
11.5187,3,3
11.5688,3,3
11.6189,3,3
11.669,3,3
11.7191,3,3
11.7692,3,3
11.8193,3,3
11.8694,3,3
11.9195,3,3
11.9696,3,3
12.0197,3,3
12.0698,3,3
12.1199,3,3
12.17,3,3
12.2201,3,3
12.2702,3,3
12.3203,3,3
12.3704,3,3
12.4205,3,3
12.4706,3,3
12.5207,3,3
12.5708,3,3
12.6209,3,3
12.671,3,3
12.7211,3,3
12.7712,3,3
12.8213,3,3
12.8714,3,3
12.9215,3,3
12.9716,3,3
13.0217,4,3
13.0718,4,3
13.1219,4,3
13.172,4,3
13.2221,4,3
13.2722,4,3
13.3223,4,3
13.3724,4,3
13.4225,4,3
13.4726,4,3
13.5227,4,3
13.5728,4,3
13.6229,4,3
13.673,4,3
13.7231,4,3
13.7732,4,3
13.8233,4,3
13.8734,4,3
13.9235,4,3
13.9736,4,3
14.0237,4,3
14.0738,4,3
14.1239,4,3
14.174,4,3
14.2241,4,3
14.2742,4,3
14.3243,4,3
14.3744,4,3
14.4245,4,3
14.4746,4,3
14.5247,4,3
14.5748,4,3
14.6249,4,3
14.675,4,3
14.7251,4,3
