"Time","h","v","der_h","der_v"
0,1,1.00E-25,1.00E-25,-9.81
1.00E-06,1,-9.81E-06,-9.81E-06,-9.81
6.00E-06,1,-5.89E-05,-5.89E-05,-9.81
3.10E-05,0.999999995,-0.00030411,-0.00030411,-9.81
0.000156,0.999999881,-0.00153036,-0.00153036,-9.81
0.000781,0.999997008,-0.00766161,-0.00766161,-9.81
0.003906,0.999925165,-0.03831786,-0.03831786,-9.81
0.013906,0.999051487,-0.13641786,-0.13641786,-9.81
0.023906,0.997196808,-0.23451786,-0.23451786,-9.81
0.033906,0.994361129,-0.33261786,-0.33261786,-9.81
0.043906,0.990544451,-0.43071786,-0.43071786,-9.81
0.053906,0.985746772,-0.52881786,-0.52881786,-9.81
0.063906,0.979968094,-0.62691786,-0.62691786,-9.81
0.073906,0.973208415,-0.72501786,-0.72501786,-9.81
0.083906,0.965467736,-0.82311786,-0.82311786,-9.81
0.093906,0.956746058,-0.92121786,-0.92121786,-9.81
0.103906,0.947043379,-1.01931786,-1.01931786,-9.81
0.113906,0.936359701,-1.11741786,-1.11741786,-9.81
0.123906,0.924695022,-1.21551786,-1.21551786,-9.81
0.133906,0.912049343,-1.31361786,-1.31361786,-9.81
0.143906,0.898422665,-1.41171786,-1.41171786,-9.81
0.153906,0.883814986,-1.50981786,-1.50981786,-9.81
0.163906,0.868226308,-1.60791786,-1.60791786,-9.81
0.173906,0.851656629,-1.70601786,-1.70601786,-9.81
0.183906,0.83410595,-1.80411786,-1.80411786,-9.81
0.193906,0.815574272,-1.90221786,-1.90221786,-9.81
0.203906,0.796061593,-2.00031786,-2.00031786,-9.81
0.213906,0.775567915,-2.09841786,-2.09841786,-9.81
0.223906,0.754093236,-2.19651786,-2.19651786,-9.81
0.233906,0.731637557,-2.29461786,-2.29461786,-9.81
0.243906,0.708200879,-2.39271786,-2.39271786,-9.81
0.253906,0.6837832,-2.49081786,-2.49081786,-9.81
0.263906,0.658384522,-2.58891786,-2.58891786,-9.81
0.273906,0.632004843,-2.68701786,-2.68701786,-9.81
0.283906,0.604644164,-2.78511786,-2.78511786,-9.81
0.293906,0.576302486,-2.88321786,-2.88321786,-9.81
0.303906,0.546979807,-2.98131786,-2.98131786,-9.81
0.313906,0.516676129,-3.07941786,-3.07941786,-9.81
0.323906,0.48539145,-3.17751786,-3.17751786,-9.81
0.333906,0.453125771,-3.27561786,-3.27561786,-9.81
0.343906,0.419879093,-3.37371786,-3.37371786,-9.81
0.353906,0.385651414,-3.47181786,-3.47181786,-9.81
0.363906,0.350442736,-3.56991786,-3.56991786,-9.81
0.373906,0.314253057,-3.66801786,-3.66801786,-9.81
0.383906,0.277082378,-3.76611786,-3.76611786,-9.81
0.393906,0.2389307,-3.86421786,-3.86421786,-9.81
0.403796959,0.200230018,-3.961248168,-3.961248168,-9.81
0.412855158,0.163945782,-4.050109104,-4.050109104,-9.81
0.421056145,0.130401,-4.130560782,-4.130560782,-9.81
0.428375871,0.099903625,-4.202367294,-4.202367294,-9.81
0.434790165,0.072746598,-4.26529152,-4.26529152,-9.81
0.440273774,0.049209913,-4.319085725,-4.319085725,-9.81
0.443804152,0.033900773,-4.353718736,-4.353718736,-9.81
0.446543765,0.021936456,-4.380594335,-4.380594335,-9.81
0.448511297,0.013298509,-4.399895822,-4.399895822,-9.81
0.449730583,0.007926486,-4.411857018,-4.411857018,-9.81
0.45036652,0.005118837,-4.418095566,-4.418095566,-9.81
0.451002458,0.00230722,-4.424334113,-4.424334113,-9.81
0.451263016,0.00115409,-4.426890191,-4.426890191,-9.81
0.451522575,4.72E-06,-4.429436458,-4.429436458,-9.81
0.451523575,2.93E-07,-4.429446268,-4.429446268,-9.81
0.451524575,-4.14E-06,3.100619255,3.100619255,-9.81
0.451525575,-1.04E-06,3.100609491,3.100609491,-9.81
0.451526575,2.07E-06,3.100599681,3.100599681,-9.81
0.451531575,1.76E-05,3.100550631,3.100550631,-9.81
0.451556575,9.51E-05,3.100305335,3.100305335,-9.81
0.451681575,0.00048254,3.099079085,3.099079085,-9.81
0.452306575,0.002417549,3.092947835,3.092947835,-9.81
0.453487039,0.006061828,3.08136748,3.08136748,-9.81
0.45518393,0.01127645,3.064720975,3.064720975,-9.81
0.45742127,0.018108719,3.042772674,3.042772674,-9.81
0.460212601,0.026563886,3.015389721,3.015389721,-9.81
0.463565077,0.036617781,2.982501929,2.982501929,-9.81
0.467481522,0.048223351,2.944081599,2.944081599,-9.81
0.471961554,0.061314483,2.900132489,2.900132489,-9.81
0.477002244,0.075808523,2.85068332,2.85068332,-9.81
0.482598534,0.091608156,2.795783717,2.795783717,-9.81
0.488743509,0.10860296,2.735501514,2.735501514,-9.81
0.495428589,0.126670802,2.669920875,2.669920875,-9.81
0.502643671,0.145679159,2.599140919,2.599140919,-9.81
0.510377235,0.165486424,2.523274653,2.523274653,-9.81
0.518616433,0.185943209,2.442448128,2.442448128,-9.81
0.527347158,0.206893667,2.35679971,2.35679971,-9.81
0.536554115,0.228176833,2.26647946,2.26647946,-9.81
0.546220874,0.249627988,2.171648564,2.171648564,-9.81
0.556220874,0.270853974,2.073548564,2.073548564,-9.81
0.566220874,0.291098959,1.975448564,1.975448564,-9.81
0.576220874,0.310362945,1.877348564,1.877348564,-9.81
0.586220874,0.328645931,1.779248564,1.779248564,-9.81
0.596220874,0.345947916,1.681148564,1.681148564,-9.81
0.606220874,0.362268902,1.583048564,1.583048564,-9.81
0.616220874,0.377608888,1.484948564,1.484948564,-9.81
0.626220874,0.391967873,1.386848564,1.386848564,-9.81
0.636220874,0.405345859,1.288748564,1.288748564,-9.81
0.646220874,0.417742845,1.190648564,1.190648564,-9.81
0.656220874,0.42915883,1.092548564,1.092548564,-9.81
0.666220874,0.439593816,0.994448564,0.994448564,-9.81
0.676220874,0.449047801,0.896348564,0.896348564,-9.81
0.686220874,0.457520787,0.798248564,0.798248564,-9.81
0.696220874,0.465012773,0.700148564,0.700148564,-9.81
0.706220874,0.471523758,0.602048564,0.602048564,-9.81
0.716220874,0.477053744,0.503948564,0.503948564,-9.81
0.726220874,0.48160273,0.405848564,0.405848564,-9.81
0.736220874,0.485170715,0.307748564,0.307748564,-9.81
0.746220874,0.487757701,0.209648564,0.209648564,-9.81
0.756220874,0.489363687,0.111548564,0.111548564,-9.81
0.766220874,0.489988672,0.013448564,0.013448564,-9.81
0.776220874,0.489632658,-0.084651436,-0.084651436,-9.81
0.786220874,0.488295643,-0.182751436,-0.182751436,-9.81
0.796220874,0.485977629,-0.280851436,-0.280851436,-9.81
0.806220874,0.482678615,-0.378951436,-0.378951436,-9.81
0.816220874,0.4783986,-0.477051436,-0.477051436,-9.81
0.826220874,0.473137586,-0.575151436,-0.575151436,-9.81
0.836220874,0.466895572,-0.673251436,-0.673251436,-9.81
0.846220874,0.459672557,-0.771351436,-0.771351436,-9.81
0.856220874,0.451468543,-0.869451436,-0.869451436,-9.81
0.866220874,0.442283529,-0.967551436,-0.967551436,-9.81
0.876220874,0.432117514,-1.065651436,-1.065651436,-9.81
0.886220874,0.4209705,-1.163751436,-1.163751436,-9.81
0.896220874,0.408842485,-1.261851436,-1.261851436,-9.81
0.906220874,0.395733471,-1.359951436,-1.359951436,-9.81
0.916220874,0.381643457,-1.458051436,-1.458051436,-9.81
0.926220874,0.366572442,-1.556151436,-1.556151436,-9.81
0.936220874,0.350520428,-1.654251436,-1.654251436,-9.81
0.946220874,0.333487414,-1.752351436,-1.752351436,-9.81
0.956220874,0.315473399,-1.850451436,-1.850451436,-9.81
0.966220874,0.296478385,-1.948551436,-1.948551436,-9.81
0.976220874,0.276502371,-2.046651436,-2.046651436,-9.81
0.986220874,0.255545356,-2.144751436,-2.144751436,-9.81
0.996220874,0.233607342,-2.242851436,-2.242851436,-9.81
1.006001491,0.211201654,-2.338799298,-2.338799298,-9.81
1.015303353,0.189022064,-2.43005056,-2.43005056,-9.81
1.02410568,0.167251919,-2.51640139,-2.51640139,-9.81
1.032388448,0.146072646,-2.597655345,-2.597655345,-9.81
1.040132379,0.125662439,-2.673623303,-2.673623303,-9.81
1.047318912,0.106195032,-2.74412319,-2.74412319,-9.81
1.05393015,0.087838589,-2.80897944,-2.80897944,-9.81
1.059948762,0.070754756,-2.868022019,-2.868022019,-9.81
1.06535781,0.055097977,-2.921084781,-2.921084781,-9.81
1.070140465,0.041015239,-2.96800263,-2.96800263,-9.81
1.074279498,0.028646547,-3.008606546,-3.008606546,-9.81
1.077756321,0.018126863,-3.042714178,-3.042714178,-9.81
1.079834444,0.011782545,-3.063100566,-3.063100566,-9.81
1.081367492,0.007075139,-3.078139761,-3.078139761,-9.81
1.08237177,0.003978883,-3.087991731,-3.087991731,-9.81
1.082846712,0.002511161,-3.092650908,-3.092650908,-9.81
1.083321653,0.001041226,-3.097310085,-3.097310085,-9.81
1.083656572,3.33E-06,-3.100595634,-3.100595634,-9.81
1.083657572,2.29E-07,-3.100605444,-3.100605444,-9.81
1.083658572,-2.87E-06,2.170430678,2.170430678,-9.81
1.083659572,-7.01E-07,2.1704209,2.1704209,-9.81
1.083660572,1.47E-06,2.17041109,2.17041109,-9.81
1.083665572,1.23E-05,2.17036204,2.17036204,-9.81
1.083690572,6.66E-05,2.170116758,2.170116758,-9.81
1.083815572,0.000337765,2.168890508,2.168890508,-9.81
1.084440572,0.001691406,2.162759258,2.162759258,-9.81
1.085488146,0.003951675,2.152482548,2.152482548,-9.81
1.086909073,0.007000291,2.138543261,2.138543261,-9.81
