"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9","SineWave1_Amp","SineWave1_Bias","SineWave1_Freq","SineWave1_Phase","Gain1_Gain[0]","Gain1_Gain[1]","Gain_Gain","SineWave2_Amp","SineWave2_Bias","SineWave2_Freq","SineWave2_Phase","DeadZone_Start","DeadZone_End","SineWave5_Amp","SineWave5_Bias","SineWave5_Freq","SineWave5_Phase","SineWave3_Amp","SineWave3_Bias","SineWave3_Freq","SineWave3_Phase","SineWave4_Amp","SineWave4_Bias","SineWave4_Freq","SineWave4_Phase","Step_Time","Step_Y0","Step_YFinal","HitCrossing_Offset","SineWave6_Amp","SineWave6_Bias","SineWave6_Freq","SineWave6_Phase","Quantizer_Interval","SineWave7_Amp","SineWave7_Bias","SineWave7_Freq","SineWave7_Phase","Relay_OnVal","Relay_OffVal","Relay_YOn","Relay_YOff","SineWave10_Amp","SineWave10_Bias","SineWave10_Freq","SineWave10_Phase","Saturation_UpperSat","Saturation_LowerSat","Step2_Time","Step2_Y0","Step2_YFinal","SineWave11_Amp","SineWave11_Bias","SineWave11_Freq","SineWave11_Phase","Step3_Time","Step3_Y0","Step3_YFinal","Constant_Value","SineWave12_Amp","SineWave12_Bias","SineWave12_Freq","SineWave12_Phase","FixPtSwitch_Threshold"
0,0,0,0,0,0,0,-12,0,0,0,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.141592654,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.141592654,0,5,-0.1,-0.3,0,4,0,3.141592654,0,3
0.1,1.199666833,3.199666833,0,0.1697168083,0,0.5,-12,0.3993336666,0.1,1.236067977,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.141592654,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.141592654,0,5,-0.1,-0.3,0,4,0,3.141592654,0,3
0.2,1.397338662,3.397338662,0,0.3377378624,0,1,12,0.5,0.1,2.351141009,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.141592654,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.141592654,0,5,-0.1,-0.3,0,4,0,3.141592654,0,3
0.3,1.591040413,3.591040413,0.09104041332,0.5023843513,0,1,12,0.5,0.1,0,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.141592654,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.141592654,0,5,-0.1,-0.3,0,4,0,3.141592654,0,3
0.4,1.778836685,3.778836685,0.2788366846,0.6620111819,0,1.5,12,0.5,0.1,0,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.141592654,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.141592654,0,5,-0.1,-0.3,0,4,0,3.141592654,0,3
0.5,1.958851077,3.958851077,0.4588510772,0.8150234156,0,2,12,0.5,0.1,0,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.141592654,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.141592654,0,5,-0.1,-0.3,0,4,0,3.141592654,0,3
0.6,2.129284947,4.129284947,0.6292849468,0.9598922048,0,2.5,12,0.5,0.1,0,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.141592654,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.141592654,0,5,-0.1,-0.3,0,4,0,3.141592654,0,3
0.7,2.288435374,4.288435374,0.7884353745,1.095170068,0,2.5,12,0.5,0.1,0,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.141592654,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.141592654,0,5,-0.1,-0.3,0,4,0,3.141592654,0,3
0.8,2.434712182,4.434712182,0.9347121818,1.219505355,0,3,12,0.5,0.1,2.351141009,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.141592654,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.141592654,0,5,-0.1,-0.3,0,4,0,3.141592654,0,3
0.9,2.566653819,4.566653819,1.066653819,1.331655746,0,3,12,0.5,0.1,1.236067977,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.141592654,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.141592654,0,5,-0.1,-0.3,0,4,0,3.141592654,0,3
1,2.68294197,4.68294197,1.18294197,1.430500674,1,3.5,12,0.5,4.898587197e-016,4.898587197e-016,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.141592654,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.141592654,0,5,-0.1,-0.3,0,4,0,3.141592654,0,3
1.1,2.78241472,4.78241472,1.28241472,1.515052512,1,3.5,12,0.5,-0.1,-1.236067977,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.141592654,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.141592654,0,5,-0.1,-0.3,0,4,0,3.141592654,0,3
1.2,2.864078172,4.864078172,1.364078172,1.584466446,1,3.5,12,0.5,-0.1,-2.351141009,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.141592654,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.141592654,0,5,-0.1,-0.3,0,4,0,3.141592654,0,3
1.3,2.927116371,4.927116371,1.427116371,1.638048915,1,4,12,0.5,-0.1,-3.236067977,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.141592654,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.141592654,0,5,-0.1,-0.3,0,4,0,3.141592654,0,3
