    "time","accelPedal","egsCarSpeed", "egsGear","egsTargetGear",     "k15",   "nAtIn",  "nAtOut",    "prnd","tShiftStart","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","valves_mv1","valves_mv2","valves_mv3"
         0,         0,         0,         0,         0,         1,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      0.01,         0,         0,        -2,         0,         1,-9.3051269e-062,4.7832501e-064,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      0.02,         0,         0,        -2,         0,         1,-9.978955e-062,8.5781988e-064,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
      0.03,         0,         0,        -2,         0,         1,-1.2148035e-061,5.0722952e-064,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
      0.04,         0,         0,        -2,         0,         1,-1.2715386e-061,8.3143539e-064,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0
      0.05,         0,         0,        -2,         0,         1,-1.2596581e-061,5.253801e-064,         0,         0,         0,         0,      0.08,      0.08,         0,         0,         0,         0,         0
      0.06,         0,         0,        -2,         0,         1,-1.2326313e-061,-1.4402082e-064,         0,         0,         0,         0,       0.1,       0.1,         0,         0,         0,         0,         0
      0.07,         0,         0,        -2,         0,         1,-1.2311671e-061,-1.8196543e-064,         0,         0,         0,         0,      0.12,      0.12,         0,         0,         0,         0,         0
      0.08,         0,         0,        -2,         0,         1,-1.3145963e-061,-2.879109e-063,         0,         0,         0,         0,      0.14,      0.14,         0,         0,         0,         0,         0
      0.09,         0,         0,        -2,         0,         1,-1.056274e-061,-4.6937083e-065,         0,         0,         0,         0,      0.16,      0.16,         0,         0,         0,         0,         0
       0.1,         0,         0,        -2,         0,         1,-9.6449672e-062,-1.1132322e-064,         0,         0,         0,         0,      0.18,      0.18,         0,         0,         0,         0,         0
      0.11,         0,         0,        -2,         0,         1,-1.5372242e-061,-4.6309458e-063,         0,         0,         0,         0,       0.2,       0.2,         0,         0,         0,         0,         0
      0.12,         0,         0,        -2,         0,         1,-2.6755279e-061,2.6153229e-063,         0,         0,         0,         0,      0.22,      0.22,         0,         0,         0,         0,         0
      0.13,         0,         0,        -2,         0,         1,-3.0329694e-061,1.8604544e-063,         0,         0,         0,         0,      0.24,      0.24,         0,         0,         0,         0,         0
      0.14,         0,         0,        -2,         0,         1,-2.9522997e-061,1.7899616e-063,         0,         0,         0,         0,      0.26,      0.26,         0,         0,         0,         0,         0
      0.15,         0,         0,        -2,         0,         1,-2.9811918e-061,-1.6486662e-063,         0,         0,         0,         0,      0.28,      0.28,         0,         0,         0,         0,         0
      0.16,         0,         0,        -2,         0,         0,-3.3983738e-061,-9.2970872e-065,         0,         0,         0,         0,       0.3,       0.3,         0,         0,         0,         0,         0
      0.17,         0,         0,        -2,         0,         1,0.51638569,5.618143e-011,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      0.18,         0,         0,        -2,         0,         1, 4.3312791,-5.5118587e-012,         0,      0.17,         0,         0,         0,         0,         0,         0,         0,         0,         0
      0.19,         0,         0,        -2,         0,         1,   15.8137,-4.5354761e-012,         0,      0.17,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
       0.2,         0,         0,        -2,         0,         1, 37.551216,-4.149371e-013,         0,      0.17,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
      0.21,         0,         0,        -2,         0,         1, 68.960004,3.0326829e-013,         0,      0.17,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0
      0.22,         0,         0,        -2,         0,         1,  105.8394,-6.8887414e-013,         0,      0.17,         0,         0,      0.08,      0.08,         0,         0,         0,         0,         0
      0.23,         0,         0,        -2,         0,         1, 142.77275,-2.0276061e-013,         0,      0.17,         0,         0,       0.1,       0.1,         0,         0,         0,         0,         0
      0.24,         0,         0,        -2,         0,         1, 177.01058,7.8210137e-014,         0,      0.17,         0,         0,      0.12,      0.12,         0,         0,         0,         0,         0
      0.25,         0,         0,        -2,         0,         1, 208.97837,-2.1079924e-013,         0,      0.17,         0,         0,      0.14,      0.14,         0,         0,         0,         0,         0
      0.26,         0,         0,        -2,         0,         1, 238.73201,-2.4463183e-014,         0,      0.17,         0,         0,      0.16,      0.16,         0,         0,         0,         0,         0
      0.27,         0,         0,        -2,         0,         1, 266.81558,2.1737022e-014,         0,      0.17,         0,         0,      0.18,      0.18,         0,         0,         0,         0,         0
      0.28,         0,         0,        -2,         0,         1, 293.49651,1.9210871e-014,         0,      0.17,         0,         0,       0.2,       0.2,         0,         0,         0,         0,         0
      0.29,         0,         0,        -2,         0,         1, 318.78878,2.4330154e-014,         0,      0.17,         0,         0,      0.22,      0.22,         0,         0,         0,         0,         0
       0.3,         0,         0,        -2,         0,         1, 342.72994,2.9067765e-014,         0,      0.17,         0,         0,      0.24,      0.24,         0,         0,         0,         0,         0
      0.31,         0,         0,        -2,         0,         1, 365.43555,2.5334049e-014,         3,      0.17,         0,         0,      0.26,      0.26,         0,         0,         0,         0,         0
      0.32,         0,         0,        -2,         0,         1, 124.96871, 17.961608,         3,      0.17,         0,         0,      0.28,      0.28,         0,         0,         0,         0,         0
      0.33,         0,     0.808,        -2,         0,         1, -26.57826,-17.472745,         3,      0.17,         0,         0,       0.3,       0.3,         0,         0,         0,         0,         0
      0.34,         0,    -0.786,        -2,         0,         1,  -13.0474,-8.5774573,         3,      0.17,         0,         0,      0.32,      0.32,         0,         0,         0,         0,         0
      0.35,         0,    -0.385,        -2,         0,         1,0.40373701, 0.2654197,         3,      0.17,         0,         0,      0.34,      0.34,         0,         0,         0,         0,         0
      0.36,         0,     0.011,        -2,         0,         1, 3.8409677, 2.5250806,         3,      0.17,         0,         0,      0.36,      0.36,         0,         0,         0,         0,         0
      0.37,         0,     0.113,        -2,         0,         1, 4.4898388, 2.9516533,         3,      0.17,         0,         0,      0.38,      0.38,         0,         0,         0,         0,         0
      0.38,         0,     0.132,        -2,         0,         1, 4.7333794, 3.1117586,         3,      0.17,         0,         0,       0.4,       0.4,         0,         0,         0,         0,         0
      0.39,         0,      0.14,        -2,         0,         1, 4.9678838, 3.2659236,         3,      0.17,         0,         0,      0.42,      0.42,         0,         0,         0,         0,         0
