"time","light_intensity","light_switch","resetReq","HYSTERESE_TIME_ON","HYSTERESE_TIME_OFF","MIN_LIGHT_ON","MIN_LIGHT_OFF","headlight","on_counter","off_counter","on_counter_byType","off_counter_byType","light_switch_old_byType","solver.numSteps","solver.minStepSize","solver.maxStepSize","solver.minOrder","solver.maxOrder","solver.numStateEvents","solver.numTimeEvents","qtronic.silver.real_time","qtronic.silver.allow_non_virtual_can","qtronic.silver.env.PROCESSOR_LEVEL","qtronic.silver.env.NUMBER_OF_PROCESSORS","qtronic.silver.env.EulerSteps","qtronic.silver.env.Timestep","qtronic.silver.macro_step","qtronic.silver.version.sp","qtronic.silver.version.minor","qtronic.silver.version.major","qtronic.silver.internal.stepDisabled","qtronic.silver.internal.pauseDisabled"
         0,         0,         0,         0,       0.7,       1.1,        40,        50,         0,         0,         0,         0,         0,       255,         0,         0,         0,         0,         0,         0,         0,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.01,         0,0.11764706,         0,       0.7,       1.1,        40,        50,         0,         0,         0,         0,         0,         0,         4,         0,0.0034321707,         0,         1,         1,         0,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.02,         0,0.23529412,         0,       0.7,       1.1,        40,        50,         0,         0,         0,         0,         0,         0,         8,         0,0.0065671428,         0,         1,         1,         1,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.03,         0,0.35294118,         0,       0.7,       1.1,        40,        50,         0,         0,         0,         0,         0,         0,        12,         0,0.0059176868,         0,         1,         1,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.04,         0,0.47058824,         0,       0.7,       1.1,        40,        50,         0,         0,         0,         0,         0,         0,        16,         0,0.0054822144,         0,         1,         1,         3,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.05,         0,0.58823529,         0,       0.7,       1.1,        40,        50,         0,         0,         0,         0,         0,         0,        20,         0,0.005145349,         0,         1,         1,         4,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.06,         0,0.70588235,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         1,        24,         0,0.0053716375,         0,         1,         1,         5,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.07,         0,0.82352941,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         1,        28,         0,0.0055826884,         0,         1,         1,         6,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.08,         0,0.94117647,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         1,        32,         0,0.0057722001,         0,         1,         1,         7,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.09,         0, 1.0588235,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         1,        36,         0,0.0059446941,         0,         1,         1,         8,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.1,         0, 1.1764706,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         1,        40,         0,0.0061033585,         0,         1,         1,         9,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.11,         0, 1.2941176,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         1,        44,         0,0.006250533,         0,         1,         1,        10,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.12,         0, 1.4117647,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         1,        48,         0,0.0063879895,         0,         1,         1,        11,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.13,         0, 1.5294118,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         1,        52,         0,0.006517105,         0,         1,         1,        12,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.14,         0, 1.6470588,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,        56,         0,0.0066389728,         0,         1,         1,        13,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.15,         0, 1.7647059,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,        60,         0,0.0067544765,         0,         1,         1,        14,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.16,         0, 1.8823529,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,        64,         0,0.0068643414,         0,         1,         1,        15,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.17,         0,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,        68,         0,0.0069691708,         0,         1,         1,        16,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.18,0.11111111,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,        72,         0,0.0070694725,         0,         1,         1,        17,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.19,0.22222222,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,        76,         0,0.0071656779,         0,         1,         1,        18,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.2,0.33333333,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,        80,         0,0.0072581574,         0,         1,         1,        19,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
