Time,heatCapacitor_T,switch_Controll,
0,2.62776e-310,10,
0.02,20.1997,0,
0.04,20.3989,0,
0.06,20.5974,0,
0.08,20.7955,0,
0.1,20.993,0,
0.12,21.19,0,
0.14,21.3864,0,
0.16,21.5823,0,
0.18,21.7776,0,
0.2,21.9724,0,
0.22,22.1666,0,
0.24,22.3605,0,
0.26,22.554,0,
0.28,22.747,0,
0.3,22.9394,0,
0.32,23.1314,0,
0.34,23.3228,0,
0.36,23.5136,0,
0.38,23.704,0,
0.4,23.8938,0,
0.42,24.0831,0,
0.44,24.2719,0,
0.46,24.4602,0,
0.48,24.6479,0,
0.5,24.8351,0,
0.52,25.0218,0,
0.54,25.208,0,
0.56,25.3937,0,
0.58,25.5788,0,
0.6,25.7634,0,
0.62,25.9475,0,
0.64,25.9914,1,
0.66,25.9795,1,
0.68,25.9675,1,
0.7,25.9556,1,
0.72,25.9437,1,
0.74,25.9319,1,
0.76,25.92,1,
0.78,25.9082,1,
0.8,25.8964,1,
0.82,25.8846,1,
0.84,25.8729,1,
0.86,25.8611,1,
0.88,25.8494,1,
0.9,25.8377,1,
0.92,25.8261,1,
0.94,25.8144,1,
0.96,25.8028,1,
0.98,25.7912,1,
1,25.7796,1,
1.02,25.768,1,
1.04,25.7565,1,
1.06,25.7449,1,
1.08,25.7334,1,
1.1,25.722,1,
1.12,25.7105,1,
1.14,25.6991,1,
1.16,25.6877,1,
1.18,25.6763,1,
1.2,25.6649,1,
1.22,25.6536,1,
1.24,25.6423,1,
1.26,25.631,1,
1.28,25.6197,1,
1.3,25.6084,1,
1.32,25.5972,1,
1.34,25.586,1,
1.36,25.5748,1,
1.38,25.5636,1,
1.4,25.5525,1,
1.42,25.5414,1,
1.44,25.5303,1,
1.46,25.5192,1,
1.48,25.5082,1,
1.5,25.4971,1,
1.52,25.4861,1,
1.54,25.4751,1,
1.56,25.4642,1,
1.58,25.4532,1,
1.6,25.4423,1,
1.62,25.4314,1,
1.64,25.4205,1,
1.66,25.4097,1,
1.68,25.3989,1,
1.7,25.3881,1,
1.72,25.3773,1,
1.74,25.3665,1,
1.76,25.3558,1,
1.78,25.3451,1,
1.8,25.3344,1,
1.82,25.3237,1,
1.84,25.313,1,
1.86,25.3024,1,
1.88,25.2918,1,
1.9,25.2812,1,
1.92,25.2707,1,
1.94,25.2601,1,
1.96,25.2496,1,
1.98,25.2391,1,
2,25.2286,1,
2.02,25.2182,1,
2.04,25.2078,1,
2.06,25.1974,1,
2.08,25.187,1,
2.1,25.1766,1,
2.12,25.1663,1,
2.14,25.156,1,
2.16,25.1457,1,
2.18,25.1354,1,
2.2,25.1252,1,
2.22,25.1149,1,
2.24,25.1047,1,
2.26,25.0945,1,
2.28,25.2567,0,
2.3,25.4419,0,
2.32,25.6266,0,
2.34,25.8107,0,
2.36,25.9944,0,
2.38,26.1775,0,
2.4,26.3602,0,
2.42,26.5424,0,
2.44,26.724,0,
2.46,26.9052,0,
2.48,27.0859,0,
2.5,27.2661,0,
2.52,27.4458,0,
2.54,27.625,0,
2.56,27.804,0,
2.58,27.9826,0,
2.6,28.1607,0,
2.62,28.3384,0,
2.64,28.5156,0,
2.66,28.6923,0,
2.68,28.795,1,
2.7,28.7775,1,
2.72,28.7599,1,
2.74,28.7425,1,
2.76,28.725,1,
2.78,28.7076,1,
2.8,28.6902,1,
2.82,28.6729,1,
2.84,28.6555,1,
2.86,28.6383,1,
2.88,28.621,1,
2.9,28.6038,1,
2.92,28.5866,1,
2.94,28.5694,1,
2.96,28.5523,1,
2.98,28.5352,1,
3,28.5182,1,
3.02,28.5012,1,
3.04,28.4842,1,
3.06,28.4672,1,
3.08,28.5462,0,
3.1,28.7223,0,
3.12,28.898,0,
3.14,29.0732,0,
3.16,29.2479,0,
3.18,29.4221,0,
3.2,29.5959,0,
3.22,29.7692,0,
3.24,29.9421,0,
3.26,30.1145,0,
3.28,30.2864,0,
3.3,30.4579,0,
3.32,30.6289,0,
3.34,30.7994,0,
3.36,30.9695,0,
3.38,31.1391,0,
3.4,31.3082,0,
3.42,31.4769,0,
3.44,31.6451,0,
3.46,31.8131,0,
3.48,31.9811,0,
3.5,32.1487,0,
3.52,32.3159,0,
3.54,32.3313,1,
3.56,32.3066,1,
3.58,32.282,1,
3.6,32.2575,1,
3.62,32.233,1,
3.64,32.2086,1,
3.66,32.1842,1,
3.68,32.1598,1,
3.7,32.1355,1,
3.72,32.1113,1,
3.74,32.0871,1,
3.76,32.0629,1,
3.78,32.0388,1,
3.8,32.0148,1,
3.82,31.9907,1,
3.84,31.9668,1,
3.86,31.9429,1,
3.88,31.919,1,
3.9,31.9335,0,
3.92,32.1004,0,
3.94,32.2669,0,
3.96,32.4329,0,
3.98,32.5985,0,
4,32.7636,0,
4.02,32.9283,0,
4.04,33.0926,0,
4.06,33.2564,0,
4.08,33.4198,0,
4.1,33.5828,0,
4.12,33.7453,0,
4.14,33.9074,0,
4.16,34.0691,0,
4.18,34.2303,0,
4.2,34.3911,0,
4.22,34.5514,0,
4.24,34.7113,0,
4.26,34.8708,0,
4.28,35.0298,0,
4.3,35.1884,0,
4.32,35.3471,0,
4.34,35.5057,0,
4.36,35.6639,0,
4.38,35.8217,0,
4.4,35.9791,0,
4.42,36.0006,1,
4.44,35.9687,1,
4.46,35.9368,1,
4.48,35.905,1,
4.5,35.8732,1,
4.52,35.8415,1,
4.54,35.8099,1,
4.56,35.7783,1,
4.58,35.7468,1,
4.6,35.7153,1,
4.62,35.6839,1,
4.64,35.6526,1,
4.66,35.6213,1,
4.68,35.5901,1,
4.7,35.5589,1,
4.72,35.5278,1,
