"time","'volume@INJ01'","'q@INJ01'"
0,0,0
1.6e-005,0,0
1.6e-005,-2.62112e-015,-9.83161e-009
3.2e-005,-2.62112e-015,-9.83161e-009
3.2e-005,-5.24288e-015,-9.83159e-009
4.8e-005,-5.24288e-015,-9.83159e-009
4.8e-005,-7.86464e-015,-9.83162e-009
6.4e-005,-7.86464e-015,-9.83162e-009
6.4e-005,-1.04864e-014,-9.83166e-009
8e-005,-1.04864e-014,-9.83166e-009
8e-005,-1.31082e-014,-9.83161e-009
9.6e-005,-1.31082e-014,-9.83161e-009
9.6e-005,-1.57299e-014,-9.83162e-009
0.000112,-1.57299e-014,-9.83162e-009
0.000112,-1.83517e-014,-9.83162e-009
0.000128,-1.83517e-014,-9.83162e-009
0.000128,-2.09735e-014,-9.83162e-009
0.000144,-2.09735e-014,-9.83162e-009
0.000144,-2.35952e-014,-9.83165e-009
0.00016,-2.35952e-014,-9.83165e-009
0.00016,-2.6217e-014,-9.83312e-009
0.000176,-2.6217e-014,-9.83312e-009
0.000176,-2.88387e-014,-9.83159e-009
0.000192,-2.88387e-014,-9.83159e-009
0.000192,-3.14605e-014,-9.82343e-009
0.000208,-3.14605e-014,-9.82343e-009
0.000208,-3.40823e-014,-9.83192e-009
0.000224,-3.40823e-014,-9.83192e-009
0.000224,-3.6704e-014,-9.83161e-009
0.00024,-3.6704e-014,-9.83161e-009
0.00024,-3.93258e-014,-9.83159e-009
0.000256,-3.93258e-014,-9.83159e-009
0.000256,-4.19475e-014,-9.83163e-009
0.000272,-4.19475e-014,-9.83163e-009
0.000272,-4.45693e-014,-9.83173e-009
0.000288,-4.45693e-014,-9.83173e-009
0.000288,-4.71911e-014,-9.83178e-009
0.000304,-4.71911e-014,-9.83178e-009
0.000304,-4.98128e-014,-9.8315e-009
0.00032,-4.98128e-014,-9.8315e-009
0.00032,-5.24346e-014,-9.8316e-009
0.000336,-5.24346e-014,-9.8316e-009
0.000336,-5.50564e-014,-9.83086e-009
0.000352,-5.50564e-014,-9.83086e-009
0.000352,-5.76781e-014,-9.83161e-009
0.000368,-5.76781e-014,-9.83161e-009
0.000368,-6.02999e-014,-9.83162e-009
0.000384,-6.02999e-014,-9.83162e-009
0.000384,-6.29216e-014,-9.83162e-009
0.0004,-6.29216e-014,-9.83162e-009
0.0004,-6.55434e-014,-9.83162e-009
0.000416,-6.55434e-014,-9.83162e-009
0.000416,-6.81652e-014,-9.83162e-009
0.000432,-6.81652e-014,-9.83162e-009
0.000432,-7.07869e-014,-9.83163e-009
0.000448,-7.07869e-014,-9.83163e-009
0.000448,-7.34087e-014,-9.83164e-009
0.000464,-7.34087e-014,-9.83164e-009
0.000464,-7.60305e-014,-9.83166e-009
0.00048,-7.60305e-014,-9.83166e-009
0.00048,-7.86523e-014,-9.83167e-009
0.000496,-7.86523e-014,-9.83167e-009
0.000496,-8.12741e-014,-9.83171e-009
0.000512,-8.12741e-014,-9.83171e-009
0.000512,-8.38958e-014,-9.83176e-009
0.000528,-8.38958e-014,-9.83176e-009
0.000528,-8.65177e-014,-9.83182e-009
0.000544,-8.65177e-014,-9.83182e-009
0.000544,-8.91395e-014,-9.8319e-009
0.00056,-8.91395e-014,-9.8319e-009
0.00056,-9.17613e-014,-9.83199e-009
0.000576,-9.17613e-014,-9.83199e-009
0.000576,-9.43832e-014,-9.83212e-009
0.000592,-9.43832e-014,-9.83212e-009
0.000592,-9.70051e-014,-9.83228e-009
0.000608,-9.70051e-014,-9.83228e-009
0.000608,-9.96271e-014,-9.83248e-009
0.000624,-9.96271e-014,-9.83248e-009
0.000624,-1.02249e-013,-9.83271e-009
0.00064,-1.02249e-013,-9.83271e-009
0.00064,-1.04871e-013,-9.83302e-009
0.000656,-1.04871e-013,-9.83302e-009
0.000656,-1.07493e-013,-9.83337e-009
0.000672,-1.07493e-013,-9.83337e-009
0.000672,-1.10116e-013,-9.83377e-009
0.000688,-1.10116e-013,-9.83377e-009
0.000688,-1.12738e-013,-9.83425e-009
0.000704,-1.12738e-013,-9.83425e-009
0.000704,-1.15361e-013,-9.8348e-009
0.00072,-1.15361e-013,-9.8348e-009
0.00072,-1.17983e-013,-9.83542e-009
0.000736,-1.17983e-013,-9.83542e-009
0.000736,-1.20606e-013,-9.83609e-009
0.000752,-1.20606e-013,-9.83609e-009
0.000752,-1.23229e-013,-9.83685e-009
0.000768,-1.23229e-013,-9.83685e-009
0.000768,-1.25853e-013,-9.83769e-009
0.000784,-1.25853e-013,-9.83769e-009
0.000784,-1.28476e-013,-9.83856e-009
0.0008,-1.28476e-013,-9.83856e-009
0.0008,-1.311e-013,-9.83949e-009
0.000816,-1.311e-013,-9.83949e-009
0.000816,-1.33724e-013,-9.84045e-009
0.000832,-1.33724e-013,-9.84045e-009
0.000832,-1.36348e-013,-9.84145e-009
0.000848,-1.36348e-013,-9.84145e-009
0.000848,-1.38973e-013,-9.84244e-009
0.000864,-1.38973e-013,-9.84244e-009
0.000864,-1.41597e-013,-9.84343e-009
0.00088,-1.41597e-013,-9.84343e-009
0.00088,-1.44222e-013,-9.84438e-009
0.000896,-1.44222e-013,-9.84438e-009
0.000896,-1.46848e-013,-9.84528e-009
0.000912,-1.46848e-013,-9.84528e-009
0.000912,-1.49473e-013,-9.84611e-009
0.000928,-1.49473e-013,-9.84611e-009
0.000928,-1.52099e-013,-9.84686e-009
0.000944,-1.52099e-013,-9.84686e-009
0.000944,-1.54725e-013,-9.84748e-009
0.00096,-1.54725e-013,-9.84748e-009
0.00096,-1.57351e-013,-9.84798e-009
0.000976,-1.57351e-013,-9.84798e-009
0.000976,-1.59977e-013,-9.84833e-009
0.000992,-1.59977e-013,-9.84833e-009
0.000992,-1.62603e-013,-9.84854e-009
0.001008,-1.62603e-013,-9.84854e-009
0.001008,-1.6523e-013,-9.84858e-009
0.001024,-1.6523e-013,-9.84858e-009
0.001024,-1.67856e-013,-9.84846e-009
0.00104,-1.67856e-013,-9.84846e-009
0.00104,-1.70482e-013,-9.84819e-009
0.001056,-1.70482e-013,-9.84819e-009
0.001056,-1.73108e-013,-9.84777e-009
0.001072,-1.73108e-013,-9.84777e-009
0.001072,-1.75734e-013,-9.84719e-009
0.001088,-1.75734e-013,-9.84719e-009
0.001088,-1.7836e-013,-9.8465e-009
0.001104,-1.7836e-013,-9.8465e-009
0.001104,-1.80986e-013,-9.84571e-009
0.00112,-1.80986e-013,-9.84571e-009
0.00112,-1.83611e-013,-9.84484e-009
0.001136,-1.83611e-013,-9.84484e-009
0.001136,-1.86236e-013,-9.84392e-009
0.001152,-1.86236e-013,-9.84392e-009
0.001152,-1.88861e-013,-9.84295e-009
0.001168,-1.88861e-013,-9.84295e-009
0.001168,-1.91486e-013,-9.842e-009
0.001184,-1.91486e-013,-9.842e-009
0.001184,-1.9411e-013,-9.84108e-009
0.0012,-1.9411e-013,-9.84108e-009
0.0012,-1.96734e-013,-9.8402e-009
0.001216,-1.96734e-013,-9.8402e-009
0.001216,-1.99358e-013,-9.83941e-009
0.001232,-1.99358e-013,-9.83941e-009
0.001232,-2.01982e-013,-9.8387e-009
0.001248,-2.01982e-013,-9.8387e-009
0.001248,-2.04606e-013,-9.83811e-009
0.001264,-2.04606e-013,-9.83811e-009
0.001264,-2.07229e-013,-9.83764e-009
0.00128,-2.07229e-013,-9.83764e-009
0.00128,-2.09852e-013,-9.83728e-009
0.001296,-2.09852e-013,-9.83728e-009
0.001296,-2.12476e-013,-9.83705e-009
0.001312,-2.12476e-013,-9.83705e-009
0.001312,-2.15099e-013,-9.83692e-009
0.001328,-2.15099e-013,-9.83692e-009
0.001328,-2.17722e-013,-9.83691e-009
0.001344,-2.17722e-013,-9.83691e-009
0.001344,-2.20345e-013,-9.83698e-009
0.00136,-2.20345e-013,-9.83698e-009
0.00136,-2.22968e-013,-9.83711e-009
0.001376,-2.22968e-013,-9.83711e-009
0.001376,-2.25592e-013,-9.83728e-009
0.001392,-2.25592e-013,-9.83728e-009
0.001392,-2.28215e-013,-9.83749e-009
0.001408,-2.28215e-013,-9.83749e-009
0.001408,-2.30838e-013,-9.83769e-009
0.001424,-2.30838e-013,-9.83769e-009
0.001424,-2.33462e-013,-9.83787e-009
0.00144,-2.33462e-013,-9.83787e-009
0.00144,-2.36085e-013,-9.83801e-009
0.001456,-2.36085e-013,-9.83801e-009
0.001456,-2.38709e-013,-9.83808e-009
0.001472,-2.38709e-013,-9.83808e-009
0.001472,-2.41332e-013,-9.83808e-009
0.001488,-2.41332e-013,-9.83808e-009
0.001488,-2.43956e-013,-9.83802e-009
0.001504,-2.43956e-013,-9.83802e-009
0.001504,-2.46579e-013,-9.83785e-009
0.00152,-2.46579e-013,-9.83785e-009
0.00152,-2.49202e-013,-9.8376e-009
0.001536,-2.49202e-013,-9.8376e-009
0.001536,-2.51826e-013,-9.8373e-009
0.001552,-2.51826e-013,-9.8373e-009
0.001552,-2.54449e-013,-9.8369e-009
0.001568,-2.54449e-013,-9.8369e-009
0.001568,-2.57072e-013,-9.83646e-009
0.001584,-2.57072e-013,-9.83646e-009
0.001584,-2.59695e-013,-9.83598e-009
0.0016,-2.59695e-013,-9.83598e-009
0.0016,-2.62318e-013,-9.83549e-009
