Time,In1,Out1,
0,0,4.09919e-315,
0.1,0.099833,0,
0.2,0.198669,0.0099833,
0.3,0.29552,0.0298502,
0.4,0.389418,0.0594022,
0.5,0.479426,0.098344,
0.6,0.564642,0.146287,
0.7,0.644218,0.202751,
0.8,0.717356,0.267173,
0.9,0.783327,0.338908,
1,0.841471,0.417241,
1.1,0.891207,0.501388,
1.2,0.932039,0.590509,
1.3,0.963558,0.683713,
1.4,0.98545,0.780068,
1.5,0.997495,0.878613,
1.6,0.999574,0.978363,
1.7,0.991665,1.07832,
1.8,0.973848,1.17749,
1.9,0.9463,1.27487,
2,0.909297,1.3695,
2.1,0.863209,1.46043,
2.2,0.808496,1.54675,
2.3,0.745705,1.6276,
2.4,0.675463,1.70217,
2.5,0.598472,1.76972,
2.6,0.515501,1.82957,
2.7,0.42738,1.88112,
2.8,0.334988,1.92385,
2.9,0.239249,1.95735,
3,0.14112,1.98128,
3.1,0.041581,1.99539,
3.2,-0.058374,1.99955,
3.3,-0.157746,1.99371,
3.4,-0.255541,1.97794,
3.5,-0.350783,1.95238,
3.6,-0.44252,1.9173,
3.7,-0.529836,1.87305,
3.8,-0.611858,1.82007,
3.9,-0.687766,1.75888,
4,-0.756802,1.69011,
4.1,-0.818277,1.61443,
4.2,-0.871576,1.5326,
4.3,-0.916166,1.44544,
4.4,-0.951602,1.35382,
4.5,-0.97753,1.25866,
4.6,-0.993691,1.16091,
4.7,-0.999923,1.06154,
4.8,-0.996165,0.961549,
4.9,-0.982453,0.861932,
5,-0.958924,0.763687,
5.1,-0.925815,0.667794,
5.2,-0.883455,0.575213,
5.3,-0.832267,0.486867,
5.4,-0.772764,0.403641,
5.5,-0.70554,0.326364,
5.6,-0.631267,0.25581,
5.7,-0.550686,0.192684,
5.8,-0.464602,0.137615,
5.9,-0.373877,0.0911548,
6,-0.279415,0.0537671,
6.1,-0.182163,0.0258256,
6.2,-0.083089,0.0076093,
6.3,0.016814,-0.0006996,
6.4,0.116549,0.0009818,
6.5,0.21512,0.0126367,
6.6,0.311541,0.0341487,
6.7,0.40485,0.0653028,
6.8,0.494113,0.105788,
6.9,0.57844,0.155199,
7,0.656987,0.213043,
7.1,0.728969,0.278742,
7.2,0.793668,0.351639,
7.3,0.850437,0.431006,
7.4,0.898708,0.516049,
7.5,0.938,0.60592,
7.6,0.96792,0.69972,
7.7,0.988168,0.796512,
7.8,0.998543,0.895329,
7.9,0.998941,0.995183,
8,0.989358,1.09508,
8.1,0.96989,1.19401,
8.2,0.940731,1.291,
8.3,0.902172,1.38508,
8.4,0.854599,1.47529,
8.5,0.798487,1.56075,
8.6,0.734397,1.6406,
8.7,0.662969,1.71404,
8.8,0.584917,1.78034,
8.9,0.501021,1.83883,
9,0.412118,1.88893,
9.1,0.319098,1.93014,
9.2,0.22289,1.96205,
9.3,0.124454,1.98434,
9.4,0.024775,1.99679,
9.5,-0.075151,1.99926,
9.6,-0.174327,1.99175,
9.7,-0.271761,1.97432,
9.8,-0.366479,1.94714,
9.9,-0.457536,1.91049,
10,-0.544021,1.86474,
