"time","Piston.body.frame_a.r_0[2]","Inertia.w"
0.000000E+000,3.999999E-001,0.000000E+000
1.000000E-004,3.999999E-001,9.403831E-004
2.000000E-004,3.999999E-001,1.880766E-003
3.000000E-004,3.999999E-001,2.821238E-003
4.000000E-004,3.999999E-001,3.761886E-003
5.000000E-004,3.999999E-001,4.702800E-003
6.000000E-004,3.999999E-001,5.644067E-003
7.000000E-004,3.999999E-001,6.585777E-003
8.000000E-004,3.999999E-001,7.528018E-003
9.000000E-004,3.999999E-001,8.470877E-003
1.000000E-003,3.999999E-001,9.414445E-003
1.100000E-003,3.999999E-001,1.035881E-002
1.200000E-003,3.999999E-001,1.130406E-002
1.300000E-003,3.999999E-001,1.225028E-002
1.400000E-003,3.999999E-001,1.319757E-002
1.500000E-003,3.999999E-001,1.414601E-002
1.600000E-003,3.999999E-001,1.509569E-002
1.700000E-003,3.999999E-001,1.604670E-002
1.800000E-003,3.999999E-001,1.699913E-002
1.900000E-003,3.999999E-001,1.795307E-002
2.000000E-003,3.999999E-001,1.890860E-002
2.100000E-003,3.999999E-001,1.986583E-002
2.200000E-003,3.999999E-001,2.082483E-002
2.300000E-003,3.999999E-001,2.178570E-002
2.400000E-003,3.999999E-001,2.274853E-002
2.500000E-003,3.999999E-001,2.371341E-002
2.600000E-003,3.999999E-001,2.468043E-002
2.700000E-003,3.999999E-001,2.564968E-002
2.800000E-003,3.999999E-001,2.662125E-002
2.900000E-003,3.999999E-001,2.759523E-002
3.000000E-003,3.999999E-001,2.857171E-002
3.100000E-003,3.999999E-001,2.955079E-002
3.200000E-003,3.999999E-001,3.053256E-002
3.300000E-003,3.999999E-001,3.151710E-002
3.400000E-003,3.999999E-001,3.250452E-002
3.500000E-003,3.999999E-001,3.349490E-002
3.600000E-003,3.999999E-001,3.448833E-002
3.700000E-003,3.999999E-001,3.548492E-002
3.800000E-003,3.999999E-001,3.648475E-002
3.900000E-003,3.999999E-001,3.748792E-002
4.000000E-003,3.999999E-001,3.849451E-002
4.100000E-003,3.999999E-001,3.950464E-002
4.200000E-003,3.999999E-001,4.051838E-002
4.300000E-003,3.999999E-001,4.153584E-002
4.400000E-003,3.999999E-001,4.255710E-002
4.500000E-003,3.999999E-001,4.358228E-002
4.600000E-003,3.999999E-001,4.461145E-002
4.700000E-003,3.999999E-001,4.564473E-002
4.800000E-003,3.999999E-001,4.668220E-002
4.900000E-003,3.999999E-001,4.772396E-002
5.000000E-003,3.999999E-001,4.877011E-002
5.100000E-003,3.999999E-001,4.982075E-002
5.200000E-003,3.999999E-001,5.087597E-002
5.300000E-003,3.999999E-001,5.193588E-002
5.400000E-003,3.999999E-001,5.300058E-002
5.500000E-003,3.999999E-001,5.407016E-002
5.600000E-003,3.999999E-001,5.514472E-002
5.700000E-003,3.999999E-001,5.622437E-002
5.800000E-003,3.999999E-001,5.730920E-002
5.900000E-003,3.999999E-001,5.839932E-002
6.000000E-003,3.999999E-001,5.949483E-002
6.100000E-003,3.999999E-001,6.059583E-002
6.200000E-003,3.999999E-001,6.170243E-002
6.300000E-003,3.999999E-001,6.281472E-002
6.400000E-003,3.999999E-001,6.393282E-002
6.500000E-003,3.999999E-001,6.505682E-002
6.600000E-003,3.999999E-001,6.618683E-002
6.700000E-003,3.999999E-001,6.732297E-002
6.800000E-003,3.999999E-001,6.846532E-002
6.900000E-003,3.999999E-001,6.961401E-002
7.000000E-003,3.999999E-001,7.076914E-002
7.100000E-003,3.999999E-001,7.193081E-002
7.200000E-003,3.999999E-001,7.309914E-002
7.300000E-003,3.999999E-001,7.427423E-002
7.400000E-003,3.999999E-001,7.545620E-002
7.500000E-003,3.999999E-001,7.664515E-002
7.600000E-003,3.999999E-001,7.784119E-002
7.700000E-003,3.999999E-001,7.904444E-002
7.800000E-003,3.999999E-001,8.025502E-002
7.900000E-003,3.999999E-001,8.147302E-002
8.000000E-003,3.999999E-001,8.269858E-002
8.100000E-003,3.999999E-001,8.393179E-002
8.200000E-003,3.999999E-001,8.517278E-002
8.300000E-003,3.999999E-001,8.642167E-002
8.400000E-003,3.999999E-001,8.767856E-002
8.500000E-003,3.999999E-001,8.894358E-002
8.600000E-003,3.999999E-001,9.021685E-002
8.700000E-003,3.999999E-001,9.149848E-002
8.800000E-003,3.999999E-001,9.278859E-002
8.900000E-003,3.999999E-001,9.408731E-002
9.000000E-003,3.999999E-001,9.539475E-002
9.100000E-003,3.999999E-001,9.671104E-002
9.200000E-003,3.999998E-001,9.803630E-002
9.300000E-003,3.999998E-001,9.937066E-002
9.400000E-003,3.999998E-001,1.007142E-001
9.500000E-003,3.999998E-001,1.020672E-001
9.600000E-003,3.999998E-001,1.034295E-001
9.700000E-003,3.999998E-001,1.048015E-001
9.800000E-003,3.999998E-001,1.061832E-001
9.900000E-003,3.999998E-001,1.075748E-001
1.000000E-002,3.999998E-001,1.089764E-001
1.010000E-002,3.999998E-001,1.103880E-001
1.020000E-002,3.999998E-001,1.118100E-001
1.030000E-002,3.999998E-001,1.132423E-001
1.040000E-002,3.999998E-001,1.146851E-001
1.050000E-002,3.999998E-001,1.161385E-001
1.060000E-002,3.999998E-001,1.176028E-001
1.070000E-002,3.999998E-001,1.190779E-001
1.080000E-002,3.999998E-001,1.205642E-001
1.090000E-002,3.999998E-001,1.220616E-001
1.100000E-002,3.999998E-001,1.235704E-001
1.110000E-002,3.999998E-001,1.250906E-001
1.120000E-002,3.999998E-001,1.266225E-001
1.130000E-002,3.999998E-001,1.281661E-001
1.140000E-002,3.999998E-001,1.297216E-001
1.150000E-002,3.999998E-001,1.312892E-001
1.160000E-002,3.999998E-001,1.328690E-001
1.170000E-002,3.999998E-001,1.344611E-001
1.180000E-002,3.999998E-001,1.360657E-001
1.190000E-002,3.999998E-001,1.376830E-001
1.200000E-002,3.999998E-001,1.393130E-001
1.210000E-002,3.999998E-001,1.409560E-001
1.220000E-002,3.999998E-001,1.426122E-001
1.230000E-002,3.999998E-001,1.442815E-001
1.240000E-002,3.999998E-001,1.459643E-001
