"Time","egsCarSpeed - Geschwindigkeit des Fahrzeugs"
0,0
0,0
0.01,0
0.02,2.23711e-65
0.03,4.01199e-65
0.04,2.37229e-65
0.05,3.88859e-65
0.06,2.45718e-65
0.07,-6.73579e-66
0.08,-8.51045e-66
0.09,-1.34655e-64
0.1,-2.19523e-66
0.11,-5.20654e-66
0.12,-2.16587e-64
0.13,1.22318e-64
0.14,8.70127e-65
0.15,8.37157e-65
0.16,-7.71074e-65
0.17,-4.34821e-66
0.18,2.62758e-12
0.19,-2.57787e-13
0.2,-2.12122e-13
0.21,-1.94064e-14
0.22,1.41837e-14
0.23,-3.22184e-14
0.24,-9.48303e-15
0.25,3.65785e-15
0.26,-9.85899e-15
0.27,-1.14413e-15
0.28,1.01663e-15
0.29,8.98484e-16
0.3,1.13791e-15
0.31,1.35949e-15
0.32,1.05114e-14
0.33,0.840057
0.34,-0.817193
0.35,-0.401164
0.36,0.0124136
0.37,0.118097
0.38,0.138048
0.39,0.145536
0.4,0.152746
0.41,0.160347
0.42,0.168072
0.43,0.175814
0.44,0.183557
0.45,0.191295
0.46,0.19903
0.47,0.206761
0.48,0.221644
0.49,0.256057
0.5,0.317111
0.51,0.2669
0.52,0.229491
0.53,0.151374
0.54,0.21441
0.55,0.236583
0.56,0.244219
0.57,0.246733
0.58,0.247433
0.59,0.247483
0.6,0.247304
0.61,0.247044
0.62,0.246755
0.63,0.246456
0.64,0.246153
0.65,0.24585
0.66,0.245546
0.67,0.245243
0.68,0.24494
0.69,0.244637
0.7,0.244335
0.71,0.244033
0.72,0.243732
0.73,0.243431
0.74,0.24313
0.75,0.24283
0.76,0.242529
0.77,0.24223
0.78,0.241931
0.79,0.241632
0.8,0.241333
0.81,0.241035
0.82,0.240737
0.83,0.24044
0.84,0.240143
0.85,0.239846
0.86,0.23955
0.87,0.239254
0.88,0.238958
0.89,0.238663
0.9,0.238368
0.91,0.238073
0.92,0.237779
0.93,0.237485
0.94,0.237192
0.95,0.236899
0.96,0.236606
0.97,0.236314
0.98,0.236022
0.99,0.23573
1,0.235439
1.01,0.235148
1.02,0.234858
1.03,0.234567
1.04,0.234278
1.05,0.233988
1.06,0.687606
1.07,0.831189
1.08,0.949007
1.09,1.0765
1.1,1.2263
1.11,1.40272
1.12,1.60573
1.13,1.84035
1.14,0.863025
1.15,1.77236
1.16,2.24333
1.17,2.57317
1.18,2.8708
1.19,3.17312
1.2,3.48945
1.21,3.82505
1.22,4.18107
1.23,4.55786
1.24,4.95792
1.25,5.37981
1.26,5.81359
1.27,6.20575
1.28,6.31963
1.29,6.65011
1.3,7.06129
1.31,7.50688
1.32,8.05571
1.33,8.62792
1.34,9.17455
