"time","FMU_Interface_OUT0_Battery Cha"
0,0
0.001,10.944
0.002,21.888
0.003,32.832
0.004,43.776
0.005,54.72
0.006,65.664
0.007,76.608
0.008,87.552
0.009,91.2
0.01,91.2
0.011,91.1999
0.012,91.1999
0.013,91.1999
0.014,91.1999
0.015,91.1998
0.016,91.1998
0.017,91.1998
0.018,91.1997
0.019,91.1997
0.02,91.1997
0.021,91.1996
0.022,91.1996
0.023,91.1996
0.024,91.1996
0.025,91.1995
0.026,91.1995
0.027,91.1995
0.028,91.1994
0.029,91.1994
0.03,91.1994
0.031,91.1993
0.032,91.1993
0.033,91.1993
0.034,91.1992
0.035,91.1992
0.036,91.1992
0.037,91.1991
0.038,91.1991
0.039,91.1991
0.04,91.199
0.041,91.199
0.042,91.199
0.043,91.1989
0.044,91.1989
0.045,91.1989
0.046,91.1988
0.047,91.1988
0.048,91.1988
0.049,91.1988
0.05,91.1987
0.051,91.1987
0.052,91.1987
0.053,91.1986
0.054,91.1986
0.055,91.1986
0.056,91.1985
0.057,91.1985
0.058,91.1985
0.059,91.1984
0.06,91.1984
0.061,91.1984
0.062,91.1983
0.063,91.1983
0.064,91.1983
0.065,91.1982
0.066,91.1982
0.067,91.1982
0.068,91.1981
0.069,91.1981
0.07,91.1981
0.071,91.198
0.072,91.198
0.073,91.198
0.074,91.198
0.075,91.1979
0.076,91.1979
0.077,91.1979
0.078,91.1978
0.079,91.1978
0.08,91.1978
0.081,91.1977
0.082,91.1977
0.083,91.1977
0.084,91.1976
0.085,91.1976
0.086,91.1976
0.087,91.1975
0.088,91.1975
0.089,91.1975
0.09,91.1974
0.091,91.1974
0.092,91.1974
0.093,91.1973
0.094,91.1973
0.095,91.1973
0.096,91.1972
0.097,91.1972
0.098,91.1972
0.099,91.1972
0.1,91.1971
0.101,91.1971
0.102,91.1971
0.103,91.197
0.104,91.197
0.105,91.197
0.106,91.1969
0.107,91.1969
0.108,91.1969
0.109,91.1968
0.11,91.1968
0.111,91.1968
0.112,91.1967
0.113,91.1967
0.114,91.1967
0.115,91.1966
0.116,91.1966
0.117,91.1966
0.118,91.1965
0.119,91.1965
0.12,91.1965
0.121,91.1964
0.122,91.1964
0.123,91.1964
0.124,91.1964
0.125,91.1963
0.126,91.1963
0.127,91.1963
0.128,91.1962
0.129,91.1962
0.13,91.1962
0.131,91.1961
0.132,91.1961
0.133,91.1961
0.134,91.196
0.135,91.196
0.136,91.196
0.137,91.1959
0.138,91.1959
0.139,91.1959
0.14,91.1958
0.141,91.1958
0.142,91.1958
0.143,91.1957
0.144,91.1957
0.145,91.1957
0.146,91.1956
0.147,91.1956
0.148,91.1956
0.149,91.1955
0.15,91.1955
0.151,91.1955
0.152,91.1954
0.153,91.1954
0.154,91.1954
0.155,91.1954
0.156,91.1953
0.157,91.1953
0.158,91.1953
0.159,91.1952
0.16,91.1952
0.161,91.1952
0.162,91.1951
0.163,91.1951
0.164,91.1951
0.165,91.195
0.166,91.195
0.167,91.195
0.168,91.1949
0.169,91.1949
0.17,91.1949
0.171,91.1948
0.172,91.1948
0.173,91.1948
0.174,91.1947
0.175,91.1947
0.176,91.1947
0.177,91.1946
0.178,91.1946
0.179,91.1946
0.18,91.1945
0.181,91.1945
0.182,91.1945
0.183,91.1945
0.184,91.1944
0.185,91.1944
0.186,91.1944
0.187,91.1943
0.188,91.1943
0.189,91.1943
0.19,91.1942
0.191,91.1942
0.192,91.1942
0.193,91.1941
0.194,91.1941
0.195,91.1941
0.196,91.194
0.197,91.194
0.198,91.194
0.199,91.1939
0.2,91.1939
0.201,91.1939
0.202,91.1938
0.203,91.1938
0.204,91.1938
