"time","headlight","on_counter","off_counter","on_counter_byType","off_counter_byType","light_switch_old_byType"
0,0,0,0,0,0,255
0.02,0,0,0,0,0,0
0.04,0,0,0,0,0,0
0.06,1,0,0,0,0,1
0.08,1,0,0,0,0,1
0.1,1,0,0,0,0,1
0.12,1,0,0,0,0,1
0.14,1,0,0,0,0,2
0.16,1,0,0,0,0,2
0.18,1,0,0,0,0,2
0.2,1,0,0,0,0,2
0.22,1,0,0,0,0,2
0.24,1,0,0,0,0,2
0.26,1,0,0,0,0,2
0.28,1,0,0,0,0,2
0.3,1,0,0,0,0,2
0.32,1,0,0,0,0,2
0.34,1,0,0,0,0,2
0.36,1,0,0,0,0,2
0.38,1,0,0,0,0,2
0.4,1,0,1,0,1,2
0.42,1,0,3,0,3,2
0.44,1,0,5,0,5,2
0.46,1,0,7,0,7,2
0.48,1,0,9,0,9,2
0.5,1,0,11,0,11,2
0.52,1,0,13,0,13,2
0.54,1,0,15,0,15,2
0.56,1,0,17,0,17,2
0.58,1,0,19,0,19,2
0.6,1,0,21,0,21,2
0.62,1,0,23,0,23,2
0.64,1,0,25,0,25,2
0.66,1,0,27,0,27,2
0.68,1,0,29,0,29,2
0.7,1,0,31,0,31,2
0.72,1,0,33,0,33,2
0.74,1,0,35,0,35,2
0.76,1,0,37,0,37,2
0.78,1,0,39,0,39,2
0.8,1,0,41,0,41,2
0.82,1,0,43,0,43,2
0.84,1,0,45,0,45,2
0.86,1,0,47,0,47,2
0.88,1,0,49,0,49,2
0.9,1,0,51,0,51,2
0.92,1,0,53,0,53,2
0.94,1,0,55,0,55,2
0.96,1,0,57,0,57,2
0.98,1,0,59,0,59,2
1,1,0,61,0,61,2
1.02,1,0,63,0,63,2
1.04,1,0,65,0,65,2
1.06,1,0,67,0,67,2
1.08,1,0,69,0,69,2
1.1,1,0,71,0,71,2
1.12,1,0,73,0,73,2
1.14,1,0,75,0,75,2
1.16,1,0,77,0,77,2
1.18,1,0,79,0,79,2
1.2,1,0,81,0,81,2
1.22,1,0,83,0,83,2
1.24,1,0,85,0,85,2
1.26,1,0,87,0,87,2
1.28,1,0,89,0,89,2
1.3,1,0,91,0,91,2
1.32,1,0,93,0,93,2
1.34,1,0,95,0,95,2
1.36,1,0,97,0,97,2
1.38,1,0,99,0,99,2
1.4,1,0,101,0,101,2
1.42,1,0,103,0,103,2
1.44,1,0,105,0,105,2
1.46,1,0,107,0,107,2
1.48,1,0,109,0,109,2
1.5,0,0,0,0,0,2
1.52,0,0,0,0,0,2
1.54,0,0,0,0,0,2
1.56,0,0,0,0,0,2
1.58,0,0,0,0,0,2
1.6,0,0,0,0,0,2
1.62,0,0,0,0,0,2
1.64,0,0,0,0,0,2
1.66,0,0,0,0,0,2
1.68,0,0,0,0,0,2
1.7,0,0,0,0,0,2
1.72,0,0,0,0,0,2
1.74,0,0,0,0,0,2
1.76,0,0,0,0,0,2
1.78,0,0,0,0,0,2
1.8,0,0,0,0,0,2
1.82,0,0,0,0,0,2
1.84,0,0,0,0,0,2
1.86,0,0,0,0,0,2
1.88,0,0,0,0,0,2
1.9,0,0,0,0,0,2
1.92,0,0,0,0,0,2
1.94,0,0,0,0,0,2
1.96,0,0,0,0,0,2
1.98,0,0,0,0,0,2
2,0,0,0,0,0,2
2.02,0,0,0,0,0,2
2.04,0,0,0,0,0,2
2.06,0,0,0,0,0,2
2.08,0,0,0,0,0,2
2.1,0,0,0,0,0,2
2.12,0,0,0,0,0,2
2.14,0,0,0,0,0,2
2.16,0,0,0,0,0,2
2.18,0,0,0,0,0,2
2.2,0,0,0,0,0,2
2.22,0,0,0,0,0,2
2.24,0,0,0,0,0,2
2.26,0,0,0,0,0,2
2.28,0,0,0,0,0,2
2.3,0,0,0,0,0,2
2.32,0,0,0,0,0,2
2.34,0,0,0,0,0,2
2.36,0,0,0,0,0,2
2.38,0,0,0,0,0,2
2.4,0,0,0,0,0,2
2.42,0,0,0,0,0,2
2.44,0,0,0,0,0,2
2.46,0,0,0,0,0,2
2.48,0,0,0,0,0,2
2.5,0,0,0,0,0,2
2.52,0,0,0,0,0,2
2.54,0,0,0,0,0,2
2.56,0,0,0,0,0,2
2.58,0,0,0,0,0,2
