"Time","FMU"
0,282.84271247461902
2.1212453462111828e-09,282.84267706053203
1.2727472077267097e-08,282.84249999009722
5.2516779360799427e-08,282.84183570956651
1.0363418014150293e-07,282.84098230707508
1.6344520581228733e-07,282.8399837649493
2.3156506613770715e-07,282.83884650724576
3.085495913518137e-07,282.83756125440902
3.9565899148076487e-07,282.83610696729892
4.9491338532982984e-07,282.83444992013699
6.0933062689390072e-07,282.83253973000808
7.4339203648706784e-07,282.83030158150365
9.0389880499324231e-07,282.82762192909894
1.1015843104836016e-06,282.8243215796146
1.3542300586966186e-06,282.82010367176139
1.6919523359950416e-06,282.81446541576997
2.1517482503130439e-06,282.80678914701423
2.6755056605378467e-06,282.79804504485764
2.9871197101370515e-06,282.79284266506096
3.2987337597362563e-06,282.78764028542645
3.7218795725076293e-06,282.78057588932245
4.2421994829118998e-06,282.77188917740528
4.5784309497997012e-06,282.76627581203746
4.9146624166875025e-06,282.76066244685842
5.3424641802371948e-06,282.7535203210677
5.8380682463465714e-06,282.74524624012474
6.1780469929860312e-06,282.73957031503977
6.518025739625491e-06,282.73389439014784
6.9410807008579201e-06,282.72683151307905
7.4275016721005155e-06,282.7187107446631
7.7735388725995627e-06,282.71293367496895
8.11957607309861e-06,282.70715660547472
8.5409272863741843e-06,282.70012217350131
9.0182044418289706e-06,282.69215406180285
9.4514794071580059e-06,282.6849205641941
9.8015141104798194e-06,282.67907675762115
1.0126907743245631e-05,282.6736443322996
1.0507329383184747e-05,282.66729321823766
1.096914584720944e-05,282.65958322330761
1.1438632033200536e-05,282.65174518324818
1.1825949195098722e-05,282.64527894975464
1.2150728264528923e-05,282.63985678562511
1.2494569102958179e-05,282.63411638677081
1.2919421682530383e-05,282.62702350281188
1.3402712503268406e-05,282.61895499689001
1.3748398386978449e-05,282.61318379585629
1.4094084270688491e-05,282.60741259502208
1.4514788179793179e-05,282.60038897394708
1.4991897622368618e-05,282.59242366696276
1.5425761254168787e-05,282.58518034593237
1.5776319724222777e-05,282.57932779860454
1.6101648450959741e-05,282.57389646012996
1.6481481668873136e-05,282.56755517352326
1.6942773207198295e-05,282.55985394679323
1.7412563395711745e-05,282.55201083611757
1.7800561540587107e-05,282.54553323752975
1.8125588054464092e-05,282.54010694557434
1.8469029103742144e-05,282.53437322459769
1.8893215232443166e-05,282.52729147122
1.9376381919286089e-05,282.51922504252332
1.9722582231687896e-05,282.51344525659226
2.0068782544089704e-05,282.50766547086135
2.0489464172112754e-05,282.50064222596353
2.0965913755736129e-05,282.49268794002791
2.1399315312061173e-05,282.48545233763559
2.175009267106797e-05,282.47959613947148
2.2075965747291e-05,282.47415571637356
2.2456120044301099e-05,282.46780907316764
2.2917138430958873e-05,282.46011241128207
2.338629911713659e-05,282.45227981477819
2.3774123287296814e-05,282.44580512455235
2.4099500551687841e-05,282.44037298008988
2.4443415783417671e-05,282.43463134610511
2.4867742655917629e-05,282.4275472472533
2.5350448233572566e-05,282.41948852155167
2.5696686040489631e-05,282.413708113106
2.6042923847406696e-05,282.40792770486047
2.646351066824563e-05,282.40090604695558
2.6939825218345362e-05,282.39295402014392
2.7373231504764544e-05,282.38571834310562
2.7724119713316721e-05,282.37986029781729
2.8050075749932423e-05,282.37441849295368
2.8430201301698256e-05,282.36807233343842
2.889109927050919e-05,282.36037768651511
2.9360196223230278e-05,282.35254615871423
2.9748087219038358e-05,282.34607035670871
2.9820372181188127e-05,282.34486356640639
2.982037218118898e-05,282.34486356640639
3.0164311265539715e-05,282.3391215378017
3.063934260277707e-05,282.33119093863945
3.1052773898673878e-05,282.32428874730817
3.1466205194570685e-05,282.31738655739781
3.1877874182972931e-05,282.31051379043657
3.2269593483532283e-05,282.30397408256357
3.2647224524130334e-05,282.29766957775848
3.3033125462659867e-05,282.29122700923637
3.3441097067514793e-05,282.28441597502155
3.3859012059886315e-05,282.27743893865852
3.4261267772912645e-05,282.27072333330608
3.4641177146563724e-05,282.26438079834628
3.5018410751763808e-05,282.25808293617007
3.5416291326097314e-05,282.25144037702842
3.5835211336192658e-05,282.24444656895542
3.6249030187445654e-05,282.23753792542266
3.6636956491030713e-05,282.23106155538346
3.7009477094709304e-05,282.22484238232249
3.7394867997353113e-05,282.21840834286053
3.7808008672107426e-05,282.21151102677271
3.8230870002069049e-05,282.20445142741227
3.8631658842101227e-05,282.19776032596934
3.9005689399946997e-05,282.19151595070309
3.937947239624545e-05,282.18527570960248
3.9780573140512923e-05,282.17857940482384
4.0206220049191177e-05,282.17147330771627
4.0621975703491136e-05,282.16453234474898
4.1004823213293813e-05,282.15814077838286
4.1371449916255714e-05,282.15202001644997
4.1756908786121448e-05,282.14558485634205
4.2176689440013418e-05,282.1385767022042
4.2605072983627554e-05,282.13142492605874
4.3003341589512286e-05,282.12477591404922
4.3370284450415723e-05,282.11864988004595
4.3740569367759325e-05,282.11246805225176
4.4146159151675522e-05,282.10569681854633
4.4579795966300508e-05,282.09845734724911
4.4997036055541476e-05,282.09149161715914
4.5373422489828015e-05,282.08520793095931
4.5733507439316217e-05,282.07919639545918
4.6119804096526061e-05,282.07274726272345
4.6547766651863107e-05,282.06560252897447
4.6982042239308383e-05,282.05835240220739
4.7376569990936328e-05,282.0517658573886
4.7735345609132102e-05,282.04577618686511
4.8102299743930205e-05,282.03964997913261
4.8513716214541458e-05,282.03278148513078
4.8956433694301443e-05,282.02539043026758
4.9374464343359673e-05,282.01841151721521
4.9743118429074037e-05,282.01225693426449
5.0096290260099691e-05,282.00636082454355
5.048429788049194e-05,281.99988314178853
5.0921803449542224e-05,281.99257910561158
5.1362006193967499e-05,281.98523004243583
5.1751599523968589e-05,281.97872589079475
5.2101496322564463e-05,281.97288446271591
5.246551656196524e-05,281.96680724886949
5.2883898723343956e-05,281.95982247963644
5.3336334987860726e-05,281.95226918863568
5.375431951514841e-05,281.945291060817
5.4114397714435621e-05,281.93927966314988
5.4460704891556593e-05,281.93349816958983
5.4851202693787868e-05,281.92697892810821
5.5299050310186003e-05,281.91950225056496
5.5744796994727701e-05,281.91206064908579
5.6128609464547984e-05,281.90565302127339
5.6469543726205645e-05,281.89996123261403
5.6831197207456079e-05,281.89392354425388
5.725710883702919e-05,281.88681308820253
5.7719155900458295e-05,281.87909936454713
5.8136333604147935e-05,281.87213472160897
5.8487757243027632e-05,281.86626782202359
5.8827747478040243e-05,281.86059180025075
5.92211528213613e-05,281.85402403254176
5.9679189735426252e-05,281.84637726447471
6.0129715366758648e-05,281.83885589637765
6.050758728002847e-05,281.83254745803305
6.0840259528296708e-05,281.82699361313814
6.1200146191033505e-05,281.8209854343047
6.1633259692502932e-05,281.81375476107172
6.2103933179398594e-05,281.80589703923374
6.2519880529308567e-05,281.79895295178068
6.2863498150857151e-05,281.79321638352337
6.3198156805973696e-05,281.78762938281636
6.3594337640439589e-05,281.78101529360441
6.4061322305071462e-05,281.77321916289407
6.4515658699739015e-05,281.76563419195759
6.4888254454667344e-05,281.75941385076283
6.5214059765082521e-05,281.75397465878143
6.5572662071468031e-05,281.74798793482159
6.6011761912132278e-05,281.74065733775171
6.6489397686299629e-05,281.73268340042387
6.6904158330047744e-05,281.72575913966693
6.7241558110385519e-05,281.7201263882049
6.757209152040834e-05,281.71460826890365
6.7970425036689683e-05,281.70795825592285
6.8444340177917909e-05,281.70004644074658
6.8901548145658078e-05,281.69241354660971
6.9270136547258546e-05,281.68626012000283
6.9590813289802545e-05,281.68090655908202
6.994842755024731e-05,281.67493634311808
7.0391809344946257e-05,281.66753427660041
7.0874524966989448e-05,281.65947555076553
7.1288502195430978e-05,281.65256438383312
7.1621537826645819e-05,281.64700450213479
7.1949103070899009e-05,281.64153594700775
7.2348753300159548e-05,281.63486396652434
7.2827414105821532e-05,281.62687294181012
7.3193422735850979e-05,281.62076259527248
7.3559431365880426e-05,281.61465224984192
7.397825991625882e-05,281.60766010153736
7.4428690208467582e-05,281.60014037843422
7.4844687181229377e-05,281.59319550498662
7.5205078646122081e-05,281.58717894044787
7.5553403753965564e-05,281.58136381903529
7.5945492714715428e-05,281.57481808218643
7.6392492751287374e-05,281.56735563285326
7.683567691740553e-05,281.55995688925941
7.7218465057223205e-05,281.55356642918542
7.7560763300052839e-05,281.54785192908838
7.7924633008545654e-05,281.54177730508678
7.8351234290636055e-05,281.53465541002208
7.8811163453831472e-05,281.52697712433132
7.9226063134042119e-05,281.52005058467245
7.9577646003788901e-05,281.51418108815119
7.991975515716715e-05,281.50846975146675
8.0315066702273648e-05,281.50187022936717
8.0772450606476955e-05,281.49423444289545
8.1220192696669708e-05,281.48675962316571
8.159673630218274e-05,281.48047342613279
