    "time",      "y1",      "y2"
         0,         1,         0
       0.1,         1,         0
      0.11,         1,         3
      0.49,         1,         3
       0.5,         0,         3
       0.6,         0,         3
      0.61,         0,         0
      0.99,         0,         0
         1,         1,         0
       1.1,         1,         0
      1.11,         1,         3
      1.49,         1,         3
       1.5,         0,         3
       1.6,         0,         3
      1.61,         0,         0
      1.99,         0,         0
         2,         1,         0
       2.1,         1,         0
      2.11,         1,         3
      2.49,         1,         3
       2.5,         0,         3
       2.6,         0,         3
      2.61,         0,         0
      2.99,         0,         0
         3,         1,         0
       3.1,         1,         0
      3.11,         1,         3
      3.49,         1,         3
       3.5,         0,         3
       3.6,         0,         3
      3.61,         0,         0
      3.99,         0,         0
         4,         1,         0
       4.1,         1,         0
      4.11,         1,         3
      4.49,         1,         3
       4.5,         0,         3
       4.6,         0,         3
      4.61,         0,         0
      4.99,         0,         0
         5,         1,         0
      5.01,         0,         0
       5.1,         0,         0
      5.11,         0,         3
       5.2,         0,         3
      5.21,         0,         0
        10,         0,         0
