Time,Sa1_UPI
0.00E+00,0.00E+00
1.00E-03,0.00E+00
2.00E-03,0.00E+00
3.00E-03,0.00E+00
4.00E-03,0.00E+00
5.00E-03,0.00E+00
6.00E-03,0.00E+00
7.00E-03,0.00E+00
8.00E-03,0.00E+00
9.00E-03,0.00E+00
1.00E-02,0.00E+00
1.10E-02,0.00E+00
1.20E-02,0.00E+00
1.30E-02,0.00E+00
1.40E-02,0.00E+00
1.50E-02,0.00E+00
1.60E-02,0.00E+00
1.70E-02,0.00E+00
1.80E-02,0.00E+00
1.90E-02,0.00E+00
2.00E-02,0.00E+00
2.10E-02,0.00E+00
2.20E-02,0.00E+00
2.30E-02,0.00E+00
2.40E-02,0.00E+00
2.50E-02,0.00E+00
2.60E-02,0.00E+00
2.70E-02,0.00E+00
2.80E-02,0.00E+00
2.90E-02,0.00E+00
3.00E-02,0.00E+00
3.10E-02,0.00E+00
3.20E-02,0.00E+00
3.30E-02,0.00E+00
3.40E-02,0.00E+00
3.50E-02,0.00E+00
3.60E-02,0.00E+00
3.70E-02,0.00E+00
3.80E-02,0.00E+00
3.90E-02,0.00E+00
4.00E-02,0.00E+00
4.10E-02,0.00E+00
4.20E-02,0.00E+00
4.30E-02,0.00E+00
4.40E-02,0.00E+00
4.50E-02,0.00E+00
4.60E-02,0.00E+00
4.70E-02,0.00E+00
4.80E-02,0.00E+00
4.90E-02,0.00E+00
5.00E-02,0.00E+00
5.10E-02,0.00E+00
5.20E-02,0.00E+00
5.30E-02,0.00E+00
5.40E-02,0.00E+00
5.50E-02,0.00E+00
5.60E-02,0.00E+00
5.70E-02,0.00E+00
5.80E-02,0.00E+00
5.90E-02,0.00E+00
6.00E-02,0.00E+00
6.10E-02,0.00E+00
6.20E-02,0.00E+00
6.30E-02,0.00E+00
6.40E-02,0.00E+00
6.50E-02,0.00E+00
6.60E-02,0.00E+00
6.70E-02,0.00E+00
6.80E-02,0.00E+00
6.90E-02,0.00E+00
7.00E-02,0.00E+00
7.10E-02,0.00E+00
7.20E-02,0.00E+00
7.30E-02,0.00E+00
7.40E-02,0.00E+00
7.50E-02,0.00E+00
7.60E-02,0.00E+00
7.70E-02,0.00E+00
7.80E-02,0.00E+00
7.90E-02,0.00E+00
8.00E-02,0.00E+00
8.10E-02,0.00E+00
8.20E-02,0.00E+00
8.30E-02,0.00E+00
8.40E-02,0.00E+00
8.50E-02,0.00E+00
8.60E-02,0.00E+00
8.70E-02,0.00E+00
8.80E-02,0.00E+00
8.90E-02,0.00E+00
9.00E-02,0.00E+00
9.10E-02,0.00E+00
9.20E-02,0.00E+00
9.30E-02,0.00E+00
9.40E-02,0.00E+00
9.50E-02,0.00E+00
9.60E-02,0.00E+00
9.70E-02,0.00E+00
9.80E-02,0.00E+00
9.90E-02,0.00E+00
1.00E-01,2.20E+01
1.01E-01,1.38E+01
1.02E-01,9.67E+00
1.03E-01,7.52E+00
1.04E-01,6.22E+00
1.05E-01,5.60E+00
1.06E-01,5.17E+00
1.07E-01,4.42E+00
1.08E-01,4.15E+00
1.09E-01,4.12E+00
1.10E-01,3.82E+00
1.11E-01,3.50E+00
1.12E-01,3.42E+00
1.13E-01,3.35E+00
1.14E-01,3.27E+00
1.15E-01,2.92E+00
1.16E-01,3.10E+00
1.17E-01,3.02E+00
1.18E-01,2.95E+00
1.19E-01,2.87E+00
1.20E-01,2.80E+00
1.21E-01,2.72E+00
1.22E-01,2.92E+00
1.23E-01,2.87E+00
1.24E-01,2.82E+00
1.25E-01,2.77E+00
1.26E-01,2.72E+00
1.27E-01,2.95E+00
1.28E-01,2.92E+00
1.29E-01,2.90E+00
1.30E-01,2.87E+00
1.31E-01,2.85E+00
1.32E-01,2.82E+00
1.33E-01,2.80E+00
1.34E-01,2.77E+00
1.35E-01,2.75E+00
1.36E-01,2.72E+00
1.37E-01,2.70E+00
1.38E-01,2.67E+00
1.39E-01,2.65E+00
1.40E-01,2.90E+00
1.41E-01,2.90E+00
1.42E-01,2.90E+00
1.43E-01,2.90E+00
1.44E-01,2.90E+00
1.45E-01,2.90E+00
1.46E-01,2.90E+00
1.47E-01,2.90E+00
1.48E-01,2.90E+00
1.49E-01,2.90E+00
1.50E-01,2.90E+00
1.51E-01,2.90E+00
1.52E-01,2.90E+00
1.53E-01,2.90E+00
1.54E-01,2.90E+00
1.55E-01,2.90E+00
1.56E-01,2.90E+00
1.57E-01,2.90E+00
1.58E-01,2.90E+00
1.59E-01,2.90E+00
1.60E-01,2.90E+00
1.61E-01,2.90E+00
1.62E-01,2.90E+00
1.63E-01,2.90E+00
1.64E-01,2.90E+00
1.65E-01,2.90E+00
1.66E-01,2.90E+00
1.67E-01,2.90E+00
1.68E-01,2.90E+00
1.69E-01,2.90E+00
1.70E-01,2.90E+00
1.71E-01,2.90E+00
1.72E-01,2.90E+00
1.73E-01,2.90E+00
1.74E-01,2.90E+00
1.75E-01,2.90E+00
1.76E-01,2.90E+00
1.77E-01,2.90E+00
1.78E-01,2.90E+00
1.79E-01,2.90E+00
1.80E-01,2.90E+00
1.81E-01,2.90E+00
1.82E-01,2.90E+00
1.83E-01,2.90E+00
1.84E-01,2.90E+00
1.85E-01,2.90E+00
1.86E-01,2.90E+00
1.87E-01,2.90E+00
1.88E-01,2.90E+00
