Time,der_p,der_T,
0,2.38455e-312,1.79039e-312,
0.002,0,0,
0.004,0,0,
0.006,0,0,
0.008,0,0,
0.01,0,0,
0.012,0,0,
0.014,0,0,
0.016,0,0,
0.018,0,0,
0.02,0,0,
0.022,0,0,
0.024,0,0,
0.026,0,0,
0.028,0,0,
0.03,0,0,
0.032,0,0,
0.034,0,0,
0.036,0,0,
0.038,0,0,
0.04,0,0,
0.042,0,0,
0.044,0,0,
0.046,0,0,
0.048,0,0,
0.05,0,0,
0.052,0,0,
0.054,0,0,
0.056,0,0,
0.058,0,0,
0.06,0,0,
0.062,0,0,
0.064,0,0,
0.066,0,0,
0.068,0,0,
0.07,0,0,
0.072,0,0,
0.074,0,0,
0.076,0,0,
0.078,0,0,
0.08,0,0,
0.082,0,0,
0.084,0,0,
0.086,0,0,
0.088,0,0,
0.09,0,0,
0.092,0,0,
0.094,0,0,
0.096,0,0,
0.098,0,0,
0.1,0,0,
0.102,0,0,
0.104,0,0,
0.106,0,0,
0.108,0,0,
0.11,0,0,
0.112,0,0,
0.114,0,0,
0.116,0,0,
0.118,0,0,
0.12,0,0,
0.122,0,0,
0.124,0,0,
0.126,0,0,
0.128,0,0,
0.13,0,0,
0.132,0,0,
0.134,0,0,
0.136,0,0,
0.138,0,0,
0.14,0,0,
0.142,0,0,
0.144,0,0,
0.146,0,0,
0.148,0,0,
0.15,0,0,
0.152,0,0,
0.154,0,0,
0.156,0,0,
0.158,0,0,
0.16,0,0,
0.162,0,0,
0.164,0,0,
0.166,0,0,
0.168,0,0,
0.17,0,0,
0.172,0,0,
0.174,0,0,
0.176,0,0,
0.178,0,0,
0.18,0,0,
0.182,0,0,
0.184,0,0,
0.186,0,0,
0.188,0,0,
0.19,0,0,
0.192,0,0,
0.194,0,0,
0.196,0,0,
0.198,0,0,
0.2,0,0,
0.202,0,0,
0.204,0,0,
0.206,0,0,
0.208,0,0,
0.21,0,0,
0.212,0,0,
0.214,0,0,
0.216,0,0,
0.218,0,0,
0.22,0,0,
0.222,0,0,
0.224,0,0,
0.226,0,0,
0.228,0,0,
0.23,0,0,
0.232,0,0,
0.234,0,0,
0.236,0,0,
0.238,0,0,
0.24,0,0,
0.242,0,0,
0.244,0,0,
0.246,0,0,
0.248,0,0,
0.25,0,0,
0.252,0,0,
0.254,0,0,
0.256,0,0,
0.258,0,0,
0.26,0,0,
0.262,0,0,
0.264,0,0,
0.266,0,0,
0.268,0,0,
0.27,0,0,
0.272,0,0,
0.274,0,0,
0.276,0,0,
0.278,0,0,
0.28,0,0,
0.282,0,0,
0.284,0,0,
0.286,0,0,
0.288,0,0,
0.29,0,0,
0.292,0,0,
0.294,0,0,
0.296,0,0,
0.298,0,0,
0.3,0,0,
0.302,-8.97471,-0.113764,
0.304,-17.3001,-0.225686,
0.306,-24.9836,-0.335775,
0.308,-32.0328,-0.444042,
0.31,-38.4553,-0.550495,
0.312,-44.2584,-0.655144,
0.314,-49.4499,-0.757998,
0.316,-54.0371,-0.859067,
0.318,-58.0276,-0.958361,
0.32,-61.4289,-1.05589,
0.322,-64.2485,-1.15166,
0.324,-66.494,-1.24568,
0.326,-68.1729,-1.33797,
0.328,-69.2927,-1.42852,
0.33,-69.8609,-1.51736,
0.332,-69.8851,-1.60449,
0.334,-69.3727,-1.68991,
0.336,-68.3313,-1.77365,
0.338,-66.7684,-1.8557,
0.34,-64.6915,-1.93609,
0.342,-62.1081,-2.01481,
0.344,-59.0258,-2.09187,
0.346,-55.4521,-2.1673,
0.348,-51.3945,-2.24108,
0.35,-46.8605,-2.31325,
0.352,-41.8576,-2.3838,
0.354,-36.3934,-2.45274,
0.356,-30.4754,-2.52008,
0.358,-24.111,-2.58584,
0.36,-17.3079,-2.65002,
0.362,-10.0735,-2.71263,
0.364,-2.4154,-2.77369,
0.366,5.65895,-2.83319,
0.368,14.142,-2.89115,
0.37,23.0262,-2.94759,
0.372,32.3041,-3.0025,
0.374,41.9682,-3.0559,
0.376,52.0109,-3.10779,
0.378,62.4247,-3.1582,
0.38,73.2021,-3.20712,
0.382,84.3355,-3.25456,
0.384,95.8175,-3.30054,
0.386,107.641,-3.34507,
0.388,119.797,-3.38815,
0.39,132.28,-3.42979,
0.392,145.081,-3.47001,
0.394,158.193,-3.5088,
0.396,171.608,-3.54619,
0.398,185.319,-3.58218,
0.4,199.319,-3.61678,
0.402,213.6,-3.65,
0.404,228.154,-3.68185,
0.406,242.974,-3.71234,
0.408,258.052,-3.74148,
0.41,273.381,-3.76927,
0.412,288.953,-3.79573,
0.414,304.761,-3.82087,
0.416,320.797,-3.84469,
0.418,337.054,-3.86721,
0.42,353.525,-3.88843,
0.422,370.201,-3.90836,
0.424,387.075,-3.92702,
0.426,404.139,-3.94441,
0.428,421.387,-3.96054,
0.43,438.811,-3.97543,
0.432,456.403,-3.98907,
0.434,474.155,-4.00148,
0.436,492.06,-4.01268,
0.438,510.111,-4.02266,
0.44,528.3,-4.03144,
0.442,546.62,-4.03903,
0.444,565.062,-4.04544,
0.446,583.62,-4.05067,
0.448,602.286,-4.05474,
0.45,621.052,-4.05765,
0.452,639.912,-4.05942,
0.454,658.856,-4.06005,
0.456,677.879,-4.05955,
0.458,696.972,-4.05794,
0.46,716.128,-4.05522,
0.462,735.339,-4.0514,
0.464,754.598,-4.04649,
0.466,773.898,-4.0405,
0.468,793.23,-4.03344,
0.47,812.587,-4.02532,
0.472,831.963,-4.01615,
0.474,851.348,-4.00593,
0.476,870.736,-3.99469,
0.478,890.12,-3.98242,
