"t","J1.w","J2.w","J3.w","J4.w"
0.95,3.3613899,3.3526983,3.4644125,0.29021165
0.96,3.2968183,3.2881265,3.3998406,0.39021164
0.97,3.2303112,3.2216194,3.3333337,0.49021164
0.98,3.1651163,3.1564245,3.2681386,0.59021163
0.99,3.1043522,3.0956604,3.2073748,0.69021165
1,3.0507042,3.0420125,3.1537266,0.7902116
1.01,3.0061607,2.9974692,3.1091833,0.89021164
1.02,2.9718192,2.9631274,3.0748417,0.99021167
1.03,2.9695683,2.9281914,3.0399055,1.0902116
1.04,2.996922,2.8925395,3.0042536,1.1902117
1.05,3.0481684,2.8562844,2.9679985,1.2902117
1.06,3.1156042,2.8194242,2.9311383,1.3902116
1.07,3.1900601,2.7819567,2.8936708,1.4902116
1.08,3.2617984,2.74388,2.8555942,1.5902116
1.09,3.321466,2.705192,2.8169062,1.6902117
1.1,3.3610115,2.6658914,2.7776055,1.7902117
1.11,3.3744724,2.625976,2.7376902,1.8902116
1.12,3.3585603,2.5854445,2.6971588,1.9902116
1.13,3.3129816,2.5442953,2.6560094,2.0902116
1.14,3.2404683,2.5025272,2.6142414,2.1902115
1.15,3.1465094,2.4601386,2.5718527,2.2902117
1.16,3.0388143,2.4171283,2.5288424,2.3902116
1.17,2.9265592,2.3734953,2.4852097,2.4902117
1.18,2.8194876,2.372636,2.4843502,2.5034175
1.19,2.7269578,2.3760486,2.4877627,2.50683
1.2,2.657027,2.3790443,2.4907584,2.5098257
1.21,2.6156619,2.3816223,2.4933364,2.512404
1.22,2.6061559,2.3837829,2.495497,2.5145643
1.23,2.628806,2.385525,2.497239,2.5163066
1.24,2.6808846,2.386849,2.498563,2.5176303
1.25,2.756905,2.387754,2.4994683,2.5185356
1.26,2.8491611,2.3882406,2.4999547,2.519022
1.27,2.9484797,2.388308,2.5000222,2.5190895
1.28,3.0440564,2.3883107,2.5000248,2.519092
1.29,3.1263485,2.3883107,2.5000248,2.519092
1.3,3.1872926,2.3883107,2.5000248,2.519092
1.31,3.220923,2.3883107,2.5000248,2.519092
1.32,3.2239478,2.3883107,2.5000248,2.519092
1.33,3.1960707,2.3883107,2.5000248,2.519092
1.34,3.1400208,2.3883107,2.5000248,2.519092
1.35,3.0612848,2.3883107,2.5000248,2.519092
1.36,2.9675694,2.3883107,2.5000248,2.519092
1.37,2.8680484,2.3883107,2.5000248,2.519092
1.38,2.7724638,2.3883107,2.5000248,2.519092
1.39,2.6901717,2.3883107,2.5000248,2.519092
1.4,2.6292276,2.3883107,2.5000248,2.519092
1.41,2.5955973,2.3883107,2.5000248,2.519092
1.42,2.5925725,2.3883107,2.5000248,2.519092
1.43,2.6204495,2.3883107,2.5000248,2.519092
1.44,2.6764994,2.3883107,2.5000248,2.519092
1.45,2.7552354,2.3883107,2.5000248,2.519092
1.46,2.8489509,2.3883107,2.5000248,2.519092
1.47,2.9484718,2.3883107,2.5000248,2.519092
1.48,3.0440564,2.3883107,2.5000248,2.519092
1.49,3.1263485,2.3883107,2.5000248,2.519092
1.5,3.1872926,2.3883107,2.5000248,2.519092
