"time","freqHz","T2","clutch1_phi_0rel","clutch1_w_0rel","clutch2_phi_0rel","clutch2_w_0rel","clutch3_phi_0rel","clutch3_w_0rel","J1_phi","J1_w"
0,0.2,0.4,0,-10,0,0,0,0,0,10
1e-011,0.2,0.4,-1e-010,-10,-1.41421e-019,-1e-010,0,0,1e-010,10
1e-011,0.2,0.4,-1e-010,-10,-1.41421e-019,-1e-010,0,0,1e-010,10
0.1,0.2,0.4,-0.931993,-8.64302,-0.0499358,-0.997419,0,0,0.981928,9.64044
0.103162,0.2,0.4,-0.959223,-8.57878,-0.0531391,-1.02878,0,0,1.01236,9.60757
0.103162,0.2,0.4,-0.959223,-8.57878,-0.0531391,-1.02878,0,0,1.01236,9.60757
0.106352,0.2,0.4,-0.986484,-8.51078,-0.0564717,-1.06041,0,0,1.04296,9.57119
0.106352,0.2,0.4,-0.986484,-8.51078,-0.0564717,-1.06041,0,0,1.04296,9.57119
0.193781,0.2,0.4,-1.62811,-6.1718,-0.18684,-1.91889,0,0,1.81495,8.09069
0.193781,0.2,0.4,-1.62811,-6.1718,-0.18684,-1.91889,0,0,1.81495,8.09069
0.196908,0.2,0.4,-1.64731,-6.10656,-0.192888,-1.94924,0,0,1.8402,8.0558
0.196908,0.2,0.4,-1.64731,-6.10656,-0.192888,-1.94924,0,0,1.8402,8.0558
0.2,0.2,0.4,-1.6661,-6.04513,-0.198961,-1.9792,0,0,1.86506,8.02433
0.3,0.2,0.4,-2.20659,-4.77994,-0.444736,-2.92987,0,0,2.65133,7.70981
0.30296,0.2,0.4,-2.22066,-4.72364,-0.45345,-2.95739,0,0,2.67411,7.68103
0.30296,0.2,0.4,-2.22066,-4.72364,-0.45345,-2.95739,0,0,2.67411,7.68103
0.305938,0.2,0.4,-2.23464,-4.66424,-0.462297,-2.98502,0,0,2.69693,7.64925
0.305938,0.2,0.4,-2.23464,-4.66424,-0.462297,-2.98502,0,0,2.69693,7.64925
0.394368,0.2,0.4,-2.54807,-2.43887,-0.761939,-3.78497,0,0,3.31001,6.22384
0.394368,0.2,0.4,-2.54807,-2.43887,-0.761939,-3.78497,0,0,3.31001,6.22384
0.3972,0.2,0.4,-2.5549,-2.38532,-0.772695,-3.80987,0,0,3.3276,6.19519
0.3972,0.2,0.4,-2.5549,-2.38532,-0.772695,-3.80987,0,0,3.3276,6.19519
0.4,0.2,0.4,-2.56151,-2.33496,-0.783396,-3.83444,0,0,3.3449,6.1694
0.4,0.2,0.4,-2.56151,-2.33496,-0.783396,-3.83444,0,0,3.3449,6.1694
0.4,0.2,0.4,-2.56151,-2.33496,-0.783396,-3.83444,-1.21778e-015,-1.00156e-010,3.3449,6.1694
0.4,0.2,0.4,-2.56151,-2.33496,-0.783396,-3.83444,-1.21778e-015,-1.00156e-010,3.3449,6.1694
0.422094,0.2,0.4,-2.61188,-2.24446,-0.86536,-3.58475,-0.00244072,-0.22094,3.47968,6.05016
0.422094,0.2,0.4,-2.61188,-2.24446,-0.86536,-3.58475,-0.00244072,-0.22094,3.47968,6.05016
0.425653,0.2,0.4,-2.61987,-2.24294,-0.878045,-3.54425,-0.00329035,-0.256528,3.5012,6.04372
0.425653,0.2,0.4,-2.61987,-2.24294,-0.878045,-3.54425,-0.00329035,-0.256528,3.5012,6.04372
0.477408,0.2,0.4,-2.73866,-2.34859,-1.04607,-2.94574,-0.0299597,-0.774077,3.81469,6.06841
0.477408,0.2,0.4,-2.73866,-2.34859,-1.04607,-2.94574,-0.0299597,-0.774077,3.81469,6.06841
0.480913,0.2,0.4,-2.7469,-2.34716,-1.05632,-2.90454,-0.0327349,-0.809133,3.83595,6.06083
0.480913,0.2,0.4,-2.7469,-2.34716,-1.05632,-2.90454,-0.0327349,-0.809133,3.83595,6.06083
0.5,0.2,0.4,-2.7912,-2.28156,-1.10961,-2.67863,-0.05,-1,3.9508,5.96019
0.6,0.2,0.4,-2.95929,-1.10706,-1.31666,-1.44914,-0.2,-2,4.47595,4.5562
0.611942,0.2,0.4,-2.97228,-1.07513,-1.33305,-1.29681,-0.224596,-2.11942,4.52993,4.49135
0.611942,0.2,0.4,-2.97228,-1.07513,-1.33305,-1.29681,-0.224596,-2.11942,4.52993,4.49135
0.614297,0.2,0.4,-2.97481,-1.07428,-1.33607,-1.26661,-0.229617,-2.14297,4.5405,4.48387
0.614297,0.2,0.4,-2.97481,-1.07428,-1.33607,-1.26661,-0.229617,-2.14297,4.5405,4.48387
0.690488,0.2,0.4,-3.06856,-1.38769,-1.39468,-0.262925,-0.421917,-2.90488,4.88515,4.5555
0.690488,0.2,0.4,-3.06856,-1.38769,-1.39468,-0.262925,-0.421917,-2.90488,4.88515,4.5555
0.692759,0.2,0.4,-3.07171,-1.38696,-1.39524,-0.232186,-0.428538,-2.92759,4.89549,4.54673
0.692759,0.2,0.4,-3.07171,-1.38696,-1.39524,-0.232186,-0.428538,-2.92759,4.89549,4.54673
0.7,0.2,0.4,-3.08171,-1.37465,-1.39657,-0.133815,-0.45,-3,4.92828,4.50846
0.709791,0.2,0.4,-3.09495,-1.33377,-1.39722,4.24572e-012,-0.479852,-3.09791,4.97202,4.43168
0.709791,0.2,0.4,-3.09495,-1.33377,-1.39722,4.24572e-012,-0.479852,-3.09791,4.97202,4.43168
0.712258,0.2,0.4,-3.0982,-1.30218,-1.39722,4.24572e-012,-0.487506,-3.10565,4.98293,4.40783
0.712258,0.2,0.4,-3.0982,-1.30218,-1.39722,4.24572e-012,-0.487506,-3.10565,4.98293,4.40783
0.714389,0.2,0.4,-3.10095,-1.27355,-1.39722,4.24572e-012,-0.49413,-3.11231,4.9923,4.38586
