    "time","egsCarSpeed", "egsGear","egsState","egsTargetGear","tShiftStart","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","valves_mv1","valves_mv2","valves_mv3"
         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      0.02,2.2371057e-065,        -2,         2,         0,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0
      0.03,4.0119871e-065,        -2,         2,         0,      0.01,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
      0.04,2.3722909e-065,        -2,         2,         0,      0.01,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
      0.05,3.888588e-065,        -2,         2,         0,      0.01,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0
      0.06,2.4571804e-065,        -2,         2,         0,      0.01,         0,         0,      0.08,      0.08,         0,         0,         0,         0,         0
      0.07,-6.7357925e-066,        -2,         2,         0,      0.01,         0,         0,       0.1,       0.1,         0,         0,         0,         0,         0
      0.08,-8.5104458e-066,        -2,         2,         0,      0.01,         0,         0,      0.12,      0.12,         0,         0,         0,         0,         0
      0.09,-1.346547e-064,        -2,         2,         0,      0.01,         0,         0,      0.14,      0.14,         0,         0,         0,         0,         0
       0.1,-2.1952274e-066,        -2,         2,         0,      0.01,         0,         0,      0.18,      0.18,         0,         0,         0,         0,         0
      0.11,-5.2065397e-066,        -2,         2,         0,      0.01,         0,         0,       0.2,       0.2,         0,         0,         0,         0,         0
      0.12,-2.1658737e-064,        -2,         2,         0,      0.01,         0,         0,      0.22,      0.22,         0,         0,         0,         0,         0
      0.13,1.2231754e-064,        -2,         2,         0,      0.01,         0,         0,      0.24,      0.24,         0,         0,         0,         0,         0
      0.14,8.7012661e-065,        -2,         2,         0,      0.01,         0,         0,      0.26,      0.26,         0,         0,         0,         0,         0
      0.15,8.7012661e-065,        -2,         2,         0,      0.01,         0,         0,      0.26,      0.26,         0,         0,         0,         0,         0
      0.16,-7.7107417e-065,        -2,         2,         0,      0.01,         0,         0,      0.28,      0.28,         0,         0,         0,         0,         0
      0.17,-4.3482082e-066,        -2,         2,         0,      0.01,         0,         0,       0.3,       0.3,         0,         0,         0,         0,         0
      0.18,2.6275816e-012,        -2,         2,         0,      0.01,         0,         0,      0.32,      0.32,         0,         0,         0,         0,         0
      0.19,-2.5778729e-013,        -2,         2,         0,      0.01,         0,         0,      0.34,      0.34,         0,         0,         0,         0,         0
       0.2,-2.1212229e-013,        -2,         2,         0,      0.01,         0,         0,      0.36,      0.36,         0,         0,         0,         0,         0
      0.21,-1.9406432e-014,        -2,         2,         0,      0.01,         0,         0,      0.38,      0.38,         0,         0,         0,         0,         0
      0.22,1.4183729e-014,        -2,         2,         0,      0.01,         0,         0,       0.4,       0.4,         0,         0,         0,         0,         0
      0.23,-3.2218351e-014,        -2,         2,         0,      0.01,         0,         0,      0.42,      0.42,         0,         0,         0,         0,         0
      0.24,-9.4830275e-015,        -2,         2,         0,      0.01,         0,         0,      0.44,      0.44,         0,         0,         0,         0,         0
      0.25,3.6578549e-015,        -2,         2,         0,      0.01,         0,         0,      0.46,      0.46,         0,         0,         0,         0,         0
      0.26,-9.8589908e-015,        -2,         2,         0,      0.01,         0,         0,      0.48,      0.48,         0,         0,         0,         0,         0
