"time","iAC[2]","Losses","iAC[3]","uDC","uAC[3]","iAC[1]","uAC[1]","uAC[2]"
6.12000000000000E-02,-7.20806362371412E+02,4.68347545023213E+03,7.20445727317360E+02,5.27346781005856E+02,8.60757771377441E+01,3.60635054051613E-01,4.46711191824051E+02,-5.32786968961795E+02
6.14000000000000E-02,-6.95639804864407E+02,4.54068977449573E+03,6.95222678612874E+02,5.30133908779552E+02,5.91985164732468E+01,4.17126251533091E-01,4.76325185132172E+02,-5.35523701605419E+02
6.16000000000000E-02,-6.41135924915323E+02,4.20721046093107E+03,6.40663953668281E+02,5.32392205059331E+02,3.28506059296573E+01,4.71971247042688E-01,5.04822324943121E+02,-5.37672930872778E+02
6.18000000000000E-02,-5.55297209551412E+02,3.68831677420217E+03,5.54772255964662E+02,5.33716488988523E+02,6.93568510477269E+00,5.24953586749461E-01,5.31889796807296E+02,-5.38825481912069E+02
6.20000000000000E-02,-4.44882562968293E+02,3.01894638856871E+03,4.28368701694279E+02,5.33705835432203E+02,4.11854428565846E-01,1.65138612740142E+01,5.38166155984454E+02,-5.38578010413020E+02
6.22000000000000E-02,-3.28509140760856E+02,2.34076371020427E+03,2.41765280769630E+02,5.32179332357311E+02,1.55021265757171E-01,8.67438599912263E+01,5.36593512585218E+02,-5.36748533850975E+02
6.24000000000000E-02,-2.09238276041651E+02,1.66582864415293E+03,2.83244529303839E-01,5.29063892056416E+02,-1.25118103135487E+02,2.08955031512347E+02,5.33481018819059E+02,-4.08362915683572E+02
6.26000000000000E-02,-2.33739269417738E+02,1.76068351858845E+03,2.23790963449707E-01,5.25307758816301E+02,-1.52991383621007E+02,2.33515478454289E+02,5.29773954482460E+02,-3.76782570861453E+02
6.28000000000000E-02,-2.77564359444640E+02,1.96060598373471E+03,1.63453809207310E-01,5.22010928209952E+02,-1.81555434119154E+02,2.77400905635433E+02,5.26564840899263E+02,-3.45009406780110E+02
6.30000000000000E-02,-3.36037471576186E+02,2.25148523450910E+03,1.02471558953867E-01,5.19400588986301E+02,-2.10799926280234E+02,3.35935000017233E+02,5.24071513985792E+02,-3.13271587705558E+02
6.32000000000000E-02,-4.04157135706600E+02,2.61599331916695E+03,4.10849089343586E-02,5.17642239105578E+02,-2.40682259090574E+02,4.04116050797665E+02,5.22449468200375E+02,-2.81767209109801E+02
6.34000000000000E-02,-4.76675608215588E+02,3.03125367429412E+03,-2.04638843371505E-02,5.16828652243229E+02,-2.71122443057463E+02,4.76696072099925E+02,5.21780981313911E+02,-2.50658538256448E+02
6.36000000000000E-02,-5.48259203986938E+02,3.46806137916792E+03,-8.19319149180284E-02,5.16981904013323E+02,-3.02004729071854E+02,5.48341135901857E+02,5.22077461293847E+02,-2.20072732221993E+02
6.38000000000000E-02,-6.13625148984710E+02,3.89128630296959E+03,-1.43076598463511E-01,5.18054369871741E+02,-3.33178729725594E+02,6.13768225583173E+02,5.23280717911221E+02,-1.90101988185627E+02
6.40000000000000E-02,-6.67670665707242E+02,4.26155669141051E+03,-2.03656624542854E-01,5.19929048746672E+02,-3.64460186370696E+02,6.67874322331785E+02,5.25263544542118E+02,-1.60803358171422E+02
6.42000000000000E-02,-7.05590449733937E+02,4.53807076921735E+03,-2.63432908298590E-01,5.22422652938034E+02,-3.95633107372975E+02,7.05853882642235E+02,5.27833043014714E+02,-1.32199935641740E+02
6.44000000000000E-02,-7.22985129080822E+02,4.68228026176228E+03,-3.22169543828496E-01,5.25290045849629E+02,-4.26452572124864E+02,7.23307298624650E+02,5.30735278252010E+02,-1.04282706127146E+02
6.46000000000000E-02,-7.15988101703139E+02,4.66226970785418E+03,-3.79634724081503E-01,5.28230808809493E+02,-4.56648601235282E+02,7.16367736427221E+02,5.33662098754716E+02,-7.70134975194342E+01
6.48000000000000E-02,-6.81376629232301E+02,4.45714090493906E+03,-4.35601659221066E-01,5.30897396163600E+02,-4.85930804344551E+02,6.81812230891522E+02,5.36259513866814E+02,-5.03287095222623E+01
6.50000000000000E-02,-6.16648563216212E+02,4.06075818027081E+03,-4.89849473755867E-01,5.32904252390370E+02,-5.13993463964955E+02,6.17138412689968E+02,5.38136964325059E+02,-2.41435003601041E+01
6.52000000000000E-02,-5.19972969407566E+02,3.48254125736003E+03,-7.45915961720972E-01,5.33837570862198E+02,-5.38357959467999E+02,5.20718885369287E+02,5.38877186002218E+02,-5.19226534219229E-01
6.54000000000000E-02,-3.74119104891110E+02,2.79564851081444E+03,-3.37790976910782E+01,5.33345723033303E+02,-5.37786325201528E+02,4.07898202582188E+02,5.38126664868389E+02,-3.40339666860359E-01
6.56000000000000E-02,-1.67216047607606E+02,2.13568960385497E+03,-1.22469471798329E+02,5.31314488999764E+02,-5.35725572950907E+02,2.89685519405935E+02,5.35770319481969E+02,-4.47465310627422E-02
6.58000000000000E-02,-2.63539644240965E-01,1.68808372327079E+03,-2.15363691850976E+02,5.27784017910967E+02,-5.32213944836350E+02,2.15627231495217E+02,3.97876926308348E+02,1.34337018528002E+02
6.60000000000000E-02,-2.03765012772938E-01,1.81943533047045E+03,-2.46838419384912E+02,5.24160660504975E+02,-5.28653484294613E+02,2.47042184397685E+02,3.66209350416180E+02,1.62444133878433E+02
6.62000000000000E-02,-1.43186222882361E-01,2.05130914748477E+03,-2.96109381893970E+02,5.21078316159972E+02,-5.25669627362039E+02,2.96252568116852E+02,3.34427996715240E+02,1.91241630646799E+02
6.64000000000000E-02,-8.20423357600393E-02,2.36880734968254E+03,-3.58382831969666E+02,5.18744574028746E+02,-5.23460375530072E+02,3.58464874305426E+02,3.02751396666183E+02,2.20708978863889E+02
6.66000000000000E-02,-2.05746688583438E-02,2.75291633716850E+03,-4.28562113030382E+02,5.17301305751116E+02,-5.22157407093132E+02,4.28582687699241E+02,2.71366048263062E+02,2.50791358830070E+02
6.68000000000000E-02,4.09741960667238E-02,3.17865096250551E+03,-5.01353253324187E+02,5.16816854851494E+02,-5.21818477748614E+02,5.01312279128121E+02,2.40422120353868E+02,2.81396357394746E+02
6.70000000000000E-02,1.02361354427837E-01,3.61472767140759E+03,-5.71428353726704E+02,5.17290210692511E+02,-5.22431921316478E+02,5.71325992372276E+02,2.10035232263694E+02,3.12396689052783E+02
6.72000000000000E-02,1.63344552431854E-01,4.02435715588853E+03,-6.33552344481856E+02,5.18650309348637E+02,-5.23916204126535E+02,6.33388999929424E+02,1.80285744175146E+02,3.43630459951389E+02
6.74000000000000E-02,2.23683099503173E-01,4.36733944095626E+03,-6.82710312251328E+02,5.20757537929628E+02,-5.26121683991810E+02,6.82486629151825E+02,1.51219180402880E+02,3.74902503588929E+02
6.76000000000000E-02,2.83138852037732E-01,4.60317374643204E+03,-7.14217943380285E+02,5.23407269921614E+02,-5.28834366427887E+02,7.13934804528248E+02,1.22847615625793E+02,4.05986750802094E+02
6.78000000000000E-02,3.41477188690523E-01,4.69506081566709E+03,-7.23842388571013E+02,5.26335088315813E+02,-5.31781369499308E+02,7.23500911382322E+02,9.51519196659689E+01,4.36629449833339E+02
6.80000000000000E-02,3.98467878018376E-01,4.61435622692132E+03,-7.07926252432885E+02,5.29223965945941E+02,-5.34638352120611E+02,7.07527784554867E+02,6.80850378173778E+01,4.66553314303233E+02
6.82000000000000E-02,4.53885997540325E-01,4.34476174011494E+03,-6.63482671744349E+02,5.31712724679204E+02,-5.37038163385807E+02,6.63028785746808E+02,4.15758559799691E+01,4.95462307405838E+02
6.84000000000000E-02,5.07512836400804E-01,3.88575262272146E+03,-5.88261495832312E+02,5.33405302248021E+02,-5.38580241741305E+02,5.87753982995911E+02,1.55334489140862E+01,5.23046792827219E+02
6.86000000000000E-02,5.48637908009223E+00,3.25321261368479E+03,-4.83266067924807E+02,5.33885317188116E+02,-5.38845286214282E+02,4.77779688844715E+02,4.72292837471798E-01,5.38372993376810E+02
6.88000000000000E-02,5.71439417868322E+01,2.56588150897247E+03,-3.68648689629469E+02,5.32882415191207E+02,-5.37561494184769E+02,3.11504747842637E+02,2.54360551695243E-01,5.37307133633074E+02
6.90000000000000E-02,1.64101177478533E+02,1.93617006444222E+03,-2.48389877974934E+02,5.30314461969035E+02,-5.34646071586973E+02,8.42887004964003E+01,-7.98123971697464E-02,5.34725883984143E+02
6.92000000000000E-02,2.23221265997012E+02,1.71805706557103E+03,-2.23464825184421E+02,5.26557232956250E+02,-3.87281144227617E+02,2.43559187408948E-01,-1.43721713259725E+02,5.31002857487341E+02
6.94000000000000E-02,2.61103774655277E+02,1.88421958117068E+03,-2.61287424307771E+02,5.23082301284040E+02,-3.55626736969959E+02,1.83649652493386E-01,-1.71976900827104E+02,5.27603637797064E+02
6.96000000000000E-02,3.15234633571746E+02,2.14621838141239E+03,-3.15357489406582E+02,5.20225528614727E+02,-3.23855514674353E+02,1.22855834835889E-01,-2.00999556982752E+02,5.24855071657105E+02
6.98000000000000E-02,3.80701717553328E+02,2.48806285057262E+03,-3.80763294681684E+02,5.18171269851550E+02,-2.92254439847269E+02,6.15771283566460E-02,-2.30677249913556E+02,5.22931689760825E+02
7.00000000000000E-02,4.52329639202353E+02,2.88890491956501E+03,-4.52329694608255E+02,5.17037102537705E+02,-2.60998062425467E+02,5.54059018327280E-05,-2.60942656468228E+02,5.21940718893694E+02
7.02000000000000E-02,5.24802620985982E+02,3.32169427421536E+03,-5.24741154450511E+02,5.16869188987159E+02,-2.30225546519449E+02,-6.14665354703448E-02,-2.91692143456267E+02,5.21917689975716E+02
7.04000000000000E-02,5.92810313545270E+02,3.75318254243099E+03,-5.92687567646758E+02,5.17643233650844E+02,-2.00040832901730E+02,-1.22745898511880E-01,-3.22786854159386E+02,5.22827687061115E+02
7.06000000000000E-02,6.51169581468387E+02,4.14512027045393E+03,-6.50986040633211E+02,5.19264979816984E+02,-1.70512534445788E+02,-1.83540835175791E-01,-3.54053553162230E+02,5.24566087608019E+02
7.08000000000000E-02,6.94955750441539E+02,4.45677144706639E+03,-6.94712139020256E+02,5.21572521168764E+02,-1.41674735815284E+02,-2.43611421282822E-01,-3.85286400709283E+02,5.26961136524568E+02
7.10000000000000E-02,7.19632291136580E+02,4.64847237466580E+03,-7.19329570551420E+02,5.24340763849405E+02,-1.13528889855781E+02,-3.02720585159818E-01,-4.16249777735881E+02,5.29778667591662E+02
7.12000000000000E-02,7.21159416703058E+02,4.68574871475337E+03,-7.20798781653817E+02,5.27287370977813E+02,-8.60464276427296E+01,-3.60635049240386E-01,-4.46681837517804E+02,5.32728265160534E+02
7.14000000000000E-02,6.96091921338869E+02,4.54361366736366E+03,-6.95674795087925E+02,5.30080174126124E+02,-5.91721016105686E+01,-4.17126250944534E-01,-4.76298769680937E+02,5.35470871291505E+02
7.16000000000000E-02,6.41669437076665E+02,4.21058827366831E+03,-6.41197465831027E+02,5.32345499168551E+02,-3.28277872450167E+01,-4.71971245637860E-01,-5.04799504853651E+02,5.37627292098667E+02
7.18000000000000E-02,5.55892019497835E+02,3.69191338165169E+03,-5.55367065911595E+02,5.33677613417613E+02,-6.91684242243116E+00,-5.24953586239690E-01,-5.31870953615182E+02,5.38787796037613E+02
7.20000000000000E-02,4.45544657479620E+02,3.02263074968988E+03,-4.29002646132108E+02,5.33675283839463E+02,-4.12460222324398E-01,-1.65420113475119E+01,-5.38136294696712E+02,5.38548754919036E+02
7.22000000000000E-02,3.29226704514538E+02,2.34436745061083E+03,-2.42425955767481E+02,5.32158000359357E+02,-1.55625051395418E-01,-8.68007487470570E+01,-5.36572955081663E+02,5.36728580133059E+02
7.24000000000000E-02,2.09651604684187E+02,1.66779746724043E+03,-2.83245307982592E-01,5.29052284890620E+02,1.25112323552270E+02,-2.09368359376204E+02,-5.33470238332157E+02,4.08357914779887E+02
7.26000000000000E-02,2.34165970250108E+02,1.76277365042670E+03,-2.23790963450396E-01,5.25301757038908E+02,1.52988809438373E+02,-2.33942179286658E+02,-5.29768806117881E+02,3.76779996679509E+02
7.28000000000000E-02,2.77994855706279E+02,1.96280542332278E+03,-1.63453809233911E-01,5.22010647749341E+02,1.81555724371659E+02,-2.77831401897045E+02,-5.26565421430875E+02,3.45009697059216E+02
