"time",	"der(x)",	"k",	"x"
0,	-1,	1,	1
0.1,	-0.904382,	1,	0.904382
0.2,	-0.817907,	1,	0.817907
0.3,	-0.7397,	1,	0.7397
0.4,	-0.668972,	1,	0.668972
0.5,	-0.605006,	1,	0.605006
0.6,	-0.547157,	1,	0.547157
0.7,	-0.494839,	1,	0.494839
0.8,	-0.447523,	1,	0.447523
0.9,	-0.404732,	1,	0.404732
1,	-0.366032,	1,	0.366032
1.1,	-0.331033,	1,	0.331033
1.2,	-0.29938,	1,	0.29938
