"time","Cntrl_PI_1.s_out.signal[1]","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_out.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_out.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_out.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
0,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.5000000000000001E-001,0.0000000000000000E+000,0.0000000000000000E+000,3.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,3.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+003,4.0000000000000000E+001
1,2.0000000000000000E-002,1.0000000000000000E+000,9.0968947401612388E-001,1.5082347897313351E+001,4.5000000000000001E-001,4.9538567868241795E-001,0.0000000000000000E+000,3.0000000000000000E+001,2.2368898696418363E+001,0.0000000000000000E+000,3.0000000000000000E+000,9.8712409510081789E-001,1.0000000000000000E+003,4.0000000000000000E+001
2,2.0000000000000000E-002,1.0000000000000000E+000,9.5334950078577319E-001,2.6723307044177989E+001,4.5000000000000001E-001,5.2216306081767405E-001,0.0000000000000000E+000,3.0000000000000000E+001,2.2411033418320709E+001,0.0000000000000000E+000,3.0000000000000000E+000,9.7768936130498452E-001,1.0000000000000000E+003,4.0000000000000000E+001
3,2.0000000000000000E-002,1.0000000000000000E+000,9.9252425546030987E-001,3.5300029196066276E+001,4.5000000000000001E-001,5.3485065507779861E-001,0.0000000000000000E+000,3.0000000000000000E+001,2.2447542854307038E+001,0.0000000000000000E+000,3.0000000000000000E+000,9.7087191313591181E-001,1.0000000000000000E+003,4.0000000000000000E+001
4,3.3608282116200533E-001,1.0000000000000000E+000,1.0220086934856616E+000,4.1198472220258225E+001,4.5000000000000001E-001,5.3716077919642502E-001,2.8218975497520503E+001,3.0000000000000000E+001,3.0218986333381736E+001,0.0000000000000000E+000,3.0000000000000000E+000,1.2053756694180875E+000,1.0000000000000000E+003,4.0000000000000000E+001
5,6.8844364086996057E-001,1.0000000000000000E+000,1.0297312117807536E+000,4.4781272086041952E+001,4.5000000000000001E-001,5.3208316547408174E-001,4.4023655268055315E+001,3.0000000000000000E+001,3.0172276446950079E+001,0.0000000000000000E+000,3.0000000000000000E+000,2.1018124453047595E+000,1.0000000000000000E+003,4.0000000000000000E+001
6,8.8466283100944976E-001,1.0000000000000000E+000,1.0224364351186996E+000,4.6623146576185505E+001,4.5000000000000001E-001,5.2269556071564549E-001,4.9623855773088167E+001,3.0000000000000000E+001,3.0095553571950322E+001,3.9223821641349312E+000,3.0000000000000000E+000,3.3497125675434507E+000,1.0000000000000000E+003,4.0000000000000000E+001
7,9.2225219954412230E-001,1.0000000000000000E+000,1.0099400677654382E+000,4.7265511220112671E+001,4.5000000000000001E-001,5.1141050807162747E-001,5.0563041470222643E+001,3.0000000000000000E+001,3.0039383311419886E+001,1.9914944860924614E+001,3.0000000000000000E+000,4.1260495219468449E+000,1.0000000000000000E+003,4.0000000000000000E+001
8,8.6216147205942495E-001,1.0000000000000000E+000,9.9955273959105484E-001,4.7139500290637109E+001,4.5000000000000001E-001,4.9986817237578474E-001,4.9087368786680848E+001,3.0000000000000000E+001,3.0004357763303275E+001,2.8063940165464516E+001,3.0000000000000000E+000,3.8769321332580278E+000,1.0000000000000000E+003,4.0000000000000000E+001
9,7.7508805012732596E-001,1.0000000000000000E+000,9.9435011353050784E-001,4.6552029958412973E+001,4.5000000000000001E-001,4.8903653473937658E-001,4.6762182809043402E+001,3.0000000000000000E+001,2.9986833855626731E+001,2.8979044350991924E+001,3.0000000000000000E+000,3.3589798223544700E+000,1.0000000000000000E+003,4.0000000000000000E+001
