"time","freqHz","T2","T3","J1.flange_a.phi","J1.flange_a.tau","J1.flange_b.phi","J1.flange_b.tau","J1.J","J1.phi"
0,0.2,0.4,0.9,0,0,0,-10,1,0
0.001,0.2,0.4,0.9,0.0131824,0.414289,0.0131824,-10,1,0.0131824
0.002,0.2,0.4,0.9,0.0231648,0.727922,0.0231648,-9.99998,1,0.0231648
0.003,0.2,0.4,0.9,0.0331379,1.04084,0.0331379,-9.99994,1,0.0331379
0.004,0.2,0.4,0.9,0.043102,1.35273,0.043102,-9.99989,1,0.043102
0.005,0.2,0.4,0.9,0.0530575,1.66328,0.0530575,-9.99983,1,0.0530575
0.006,0.2,0.4,0.9,0.0630046,1.97219,0.0630046,-9.99974,1,0.0630046
0.007,0.2,0.4,0.9,0.0729437,2.27916,0.0729437,-9.99965,1,0.0729437
0.008,0.2,0.4,0.9,0.0828751,2.58387,0.0828751,-9.99953,1,0.0828751
0.009,0.2,0.4,0.9,0.092799,2.88604,0.092799,-9.9994,1,0.092799
0.01,0.2,0.4,0.9,0.102716,3.18535,0.102716,-9.99926,1,0.102716
0.011,0.2,0.4,0.9,0.112626,3.48153,0.112626,-9.9991,1,0.112626
0.012,0.2,0.4,0.9,0.122529,3.77427,0.122529,-9.99892,1,0.122529
0.013,0.2,0.4,0.9,0.132427,4.06328,0.132427,-9.99873,1,0.132427
0.014,0.2,0.4,0.9,0.142318,4.34828,0.142318,-9.99852,1,0.142318
0.015,0.2,0.4,0.9,0.152204,4.629,0.152204,-9.9983,1,0.152204
0.016,0.2,0.4,0.9,0.162084,4.90514,0.162084,-9.99806,1,0.162084
0.017,0.2,0.4,0.9,0.171959,5.17645,0.171959,-9.9978,1,0.171959
0.018,0.2,0.4,0.9,0.18183,5.44264,0.18183,-9.99753,1,0.18183
0.019,0.2,0.4,0.9,0.191696,5.70346,0.191696,-9.99724,1,0.191696
0.02,0.2,0.4,0.9,0.201557,5.95866,0.201557,-9.99694,1,0.201557
