"time","Sa1_UPI"
0,0
0.004,0
0.007,0
0.011,0
0.014,0
0.018,0
0.021,0
0.025,0
0.028,0
0.032,0
0.035,0
0.039,0
0.042,0
0.046,0
0.049,0
0.053,0
0.056,0
0.06,0
0.063,0
0.067,0
0.07,0
0.074,0
0.077,0
0.081,0
0.084,0
0.088,0
0.091,0
0.095,0
0.098,0
0.102,13.82421875
0.105,6.224609375
0.109,4.1484375
0.112,3.498046875
0.116,2.923828125
0.119,2.94921875
0.123,2.923828125
0.126,2.7734375
0.13,2.8984375
0.133,2.82421875
0.137,2.724609375
0.14,2.6484375
0.144,2.8984375
0.147,2.8984375
0.151,2.8984375
0.154,2.8984375
0.158,2.8984375
0.161,2.8984375
0.165,2.8984375
0.168,2.8984375
0.172,2.8984375
0.175,2.8984375
0.179,2.8984375
0.182,2.8984375
0.186,2.8984375
0.189,2.8984375
0.193,2.8984375
0.196,2.8984375
0.2,2.8984375
0.203,-4.744140625
0.207,-2.048828125
0.21,-0.98046875
0.214,-0.271484375
0.217,-0.037109375
0.221,0.087890625
0.224,0.109375
0.228,0.095703125
0.231,0.080078125
0.235,0.056640625
0.238,0.041015625
0.242,0.025390625
0.245,0.015625
0.249,0.009765625
0.252,0.005859375
0.256,0.00390625
0.259,0.001953125
0.263,0.001953125
0.266,0
0.27,0
0.273,0
0.277,0
0.28,0
0.284,0
0.287,0
0.291,0
0.294,0
0.298,0
0.301,21.998046875
0.305,6.224609375
0.308,4.423828125
0.312,3.498046875
0.315,3.2734375
0.319,2.94921875
0.322,2.724609375
0.326,2.7734375
0.329,2.923828125
0.333,2.82421875
0.336,2.748046875
0.34,2.6484375
0.343,2.8984375
0.347,2.8984375
0.35,2.8984375
