Time,_dummy,_derdummy,TAmb,TDif,ground_p_v,ground_p_i,constantVoltage_V,constantVoltage_v,constantVoltage_i,constantVoltage_p_v,constantVoltage_p_i,constantVoltage_n_v,constantVoltage_n_i,heatCapacitor_C,heatCapacitor_T,der_heatCapacitor_T_,heatCapacitor_der_0T,heatCapacitor_port_T,heatCapacitor_port_Q_0flow,heatingResistor_R_0ref,heatingResistor_T_0ref,heatingResistor_alpha,heatingResistor_v,heatingResistor_i,heatingResistor_p_v,heatingResistor_p_i,heatingResistor_n_v,heatingResistor_n_i,heatingResistor_useHeatPort,heatingResistor_T,heatingResistor_heatPort_T,heatingResistor_heatPort_Q_0flow,heatingResistor_LossPower,heatingResistor_T_0heatPort,heatingResistor_R,fixedTemperature_T,fixedTemperature_port_T,fixedTemperature_port_Q_0flow,temperatureSensor_T,temperatureSensor_port_T,temperatureSensor_port_Q_0flow,thermalConductor_Q_0flow,thermalConductor_dT,thermalConductor_port_0a_T,thermalConductor_port_0a_Q_0flow,thermalConductor_port_0b_T,thermalConductor_port_0b_Q_0flow,thermalConductor_G,idealSwitch_v,idealSwitch_i,idealSwitch_p_v,idealSwitch_p_i,idealSwitch_n_v,idealSwitch_n_i,idealSwitch_Ron,idealSwitch_Goff,idealSwitch_useHeatPort,idealSwitch_T,idealSwitch_LossPower,idealSwitch_T_0heatPort,idealSwitch_control,idealSwitch_s,idealSwitch_unitVoltage,idealSwitch_unitCurrent,ramp_height,ramp_duration,ramp_offset,ramp_startTime,ramp_y,onOffController_reference,onOffController_u,onOffController_y,onOffController_bandwidth,onOffController_pre_0y_0start,logicalNot_u,logicalNot_y,TRes,heatCapacitor_0T,switch_0Controll,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_StartTime,fmi_StopTime,fmi_NumberOfSteps,fmi_CommunicationStepSize,fmi_forceShutDownAtStopTime
0,1,0,293.15,2,0,0,10,10,-0.999218,10,-0.999218,0,0.999218,1,293.349,9.97224,9.97224,293.349,9.97224,10,293.15,0.00392157,9.99999,0.999218,9.99999,0.999218,0,-0.999218,1,293.15,293.349,-9.99217,9.99217,293.349,10.0078,293.15,293.15,0.0199314,20.1993,293.349,0,0.0199314,0.199314,293.349,0.0199314,293.15,-0.0199314,0.1,9.99218e-006,0.999218,10,0.999218,9.99999,-0.999218,1e-005,1e-005,0,293.15,9.98437e-006,293.15,0,0.999218,1,1,25,6,25,2,25,25,20.1993,1,2,0,1,0,293.15,20,0,0,1,0,10,500,0.02,0
0.02,1,0,293.15,2,0,0,10,10,-0.999218,10,-0.999218,0,0.999218,1,293.349,9.97224,9.97224,293.349,9.97224,10,293.15,0.00392157,9.99999,0.999218,9.99999,0.999218,0,-0.999218,1,293.15,293.349,-9.99217,9.99217,293.349,10.0078,293.15,293.15,0.0199314,20.1993,293.349,0,0.0199314,0.199314,293.349,0.0199314,293.15,-0.0199314,0.1,9.99218e-006,0.999218,10,0.999218,9.99999,-0.999218,1e-005,1e-005,0,293.15,9.98437e-006,293.15,0,0.999218,1,1,25,6,25,2,25,25,20.1993,1,2,0,1,0,293.15,20,0,0,1,0,10,500,0.02,0
0.02,1,0,293.15,2,0,0,10,10,-0.99844,10,-0.99844,0,0.99844,1,293.548,9.94459,9.94459,293.548,9.94459,10,293.15,0.00392157,9.99999,0.99844,9.99999,0.99844,0,-0.99844,1,293.15,293.548,-9.98439,9.98439,293.548,10.0156,293.15,293.15,0.0398065,20.3981,293.548,0,0.0398065,0.398065,293.548,0.0398065,293.15,-0.0398065,0.1,9.9844e-006,0.99844,10,0.99844,9.99999,-0.99844,1e-005,1e-005,0,293.15,9.96883e-006,293.15,0,0.99844,1,1,25,6,25,2,25,25,20.3981,1,2,0,1,0,293.349,20.1993,0,0,1,0,10,500,0.02,0
0.04,1,0,293.15,2,0,0,10,10,-0.99844,10,-0.99844,0,0.99844,1,293.548,9.94459,9.94459,293.548,9.94459,10,293.15,0.00392157,9.99999,0.99844,9.99999,0.99844,0,-0.99844,1,293.15,293.548,-9.98439,9.98439,293.548,10.0156,293.15,293.15,0.0398065,20.3981,293.548,0,0.0398065,0.398065,293.548,0.0398065,293.15,-0.0398065,0.1,9.9844e-006,0.99844,10,0.99844,9.99999,-0.99844,1e-005,1e-005,0,293.15,9.96883e-006,293.15,0,0.99844,1,1,25,6,25,2,25,25,20.3981,1,2,0,1,0,293.349,20.1993,0,0,1,0,10,500,0.02,0
0.04,1,0,293.15,2,0,0,10,10,-0.997665,10,-0.997665,0,0.997665,1,293.746,9.917,9.917,293.746,9.917,10,293.15,0.00392157,9.99999,0.997665,9.99999,0.997665,0,-0.997665,1,293.15,293.746,-9.97664,9.97664,293.746,10.0234,293.15,293.15,0.0596448,20.5964,293.746,0,0.0596448,0.596448,293.746,0.0596448,293.15,-0.0596448,0.1,9.97665e-006,0.997665,10,0.997665,9.99999,-0.997665,1e-005,1e-005,0,293.15,9.95336e-006,293.15,0,0.997665,1,1,25,6,25,2,25,25,20.5964,1,2,0,1,0,293.548,20.3981,0,0,1,0,10,500,0.02,0
0.06,1,0,293.15,2,0,0,10,10,-0.997665,10,-0.997665,0,0.997665,1,293.746,9.917,9.917,293.746,9.917,10,293.15,0.00392157,9.99999,0.997665,9.99999,0.997665,0,-0.997665,1,293.15,293.746,-9.97664,9.97664,293.746,10.0234,293.15,293.15,0.0596448,20.5964,293.746,0,0.0596448,0.596448,293.746,0.0596448,293.15,-0.0596448,0.1,9.97665e-006,0.997665,10,0.997665,9.99999,-0.997665,1e-005,1e-005,0,293.15,9.95336e-006,293.15,0,0.997665,1,1,25,6,25,2,25,25,20.5964,1,2,0,1,0,293.548,20.3981,0,0,1,0,10,500,0.02,0
0.06,1,0,293.15,2,0,0,10,10,-0.996893,10,-0.996893,0,0.996893,1,293.944,9.88948,9.88948,293.944,9.88948,10,293.15,0.00392157,9.99999,0.996893,9.99999,0.996893,0,-0.996893,1,293.15,293.944,-9.96892,9.96892,293.944,10.0312,293.15,293.15,0.0794413,20.7944,293.944,0,0.0794413,0.794413,293.944,0.0794413,293.15,-0.0794413,0.1,9.96893e-006,0.996893,10,0.996893,9.99999,-0.996893,1e-005,1e-005,0,293.15,9.93796e-006,293.15,0,0.996893,1,1,25,6,25,2,25,25,20.7944,1,2,0,1,0,293.746,20.5964,0,0,1,0,10,500,0.02,0
0.08,1,0,293.15,2,0,0,10,10,-0.996893,10,-0.996893,0,0.996893,1,293.944,9.88948,9.88948,293.944,9.88948,10,293.15,0.00392157,9.99999,0.996893,9.99999,0.996893,0,-0.996893,1,293.15,293.944,-9.96892,9.96892,293.944,10.0312,293.15,293.15,0.0794413,20.7944,293.944,0,0.0794413,0.794413,293.944,0.0794413,293.15,-0.0794413,0.1,9.96893e-006,0.996893,10,0.996893,9.99999,-0.996893,1e-005,1e-005,0,293.15,9.93796e-006,293.15,0,0.996893,1,1,25,6,25,2,25,25,20.7944,1,2,0,1,0,293.746,20.5964,0,0,1,0,10,500,0.02,0
0.08,1,0,293.15,2,0,0,10,10,-0.996125,10,-0.996125,0,0.996125,1,294.142,9.86206,9.86206,294.142,9.86206,10,293.15,0.00392157,9.99999,0.996125,9.99999,0.996125,0,-0.996125,1,293.15,294.142,-9.96124,9.96124,294.142,10.0389,293.15,293.15,0.0991769,20.9918,294.142,0,0.0991769,0.991769,294.142,0.0991769,293.15,-0.0991769,0.1,9.96125e-006,0.996125,10,0.996125,9.99999,-0.996125,1e-005,1e-005,0,293.15,9.92265e-006,293.15,0,0.996125,1,1,25,6,25,2,25,25,20.9918,1,2,0,1,0,293.944,20.7944,0,0,1,0,10,500,0.02,0
0.1,1,0,293.15,2,0,0,10,10,-0.996125,10,-0.996125,0,0.996125,1,294.142,9.86206,9.86206,294.142,9.86206,10,293.15,0.00392157,9.99999,0.996125,9.99999,0.996125,0,-0.996125,1,293.15,294.142,-9.96124,9.96124,294.142,10.0389,293.15,293.15,0.0991769,20.9918,294.142,0,0.0991769,0.991769,294.142,0.0991769,293.15,-0.0991769,0.1,9.96125e-006,0.996125,10,0.996125,9.99999,-0.996125,1e-005,1e-005,0,293.15,9.92265e-006,293.15,0,0.996125,1,1,25,6,25,2,25,25,20.9918,1,2,0,1,0,293.944,20.7944,0,0,1,0,10,500,0.02,0
