"Time","iAC[1]","iAC[2]","iAC[3]"
0,0,0,0
0,0,0,0
0.0001,0.0297512,-0.594169,0.564418
0.0002,0.0614665,-1.04956,0.988094
0.0003,0.0921517,-3.20931,3.11716
0.0004,0.122746,-6.73793,6.61518
0.0005,0.153219,-11.1519,10.9987
0.0006,0.183541,-15.9654,15.7819
0.0007,0.213682,-20.6939,20.4802
0.0008,0.243611,-24.8559,24.6123
0.0009,0.273301,-27.9776,27.7043
0.001,0.302721,-29.5954,29.2926
0.0011,0.331842,-29.2586,28.9267
0.0012,0.360635,-26.5328,26.1722
0.0013,0.389073,-21.0026,20.6135
0.0014,0.417126,-12.2734,11.8562
0.0015,0.427721,-0.914697,0.486975
0.0016,0.449949,-0.923634,0.473686
0.0017,0.471219,-0.930638,0.459419
0.0018,0.491519,-0.935708,0.444189
0.0019,0.601405,-1.02789,0.426487
0.002,6.45019,-6.84876,0.398569
0.0021,21.0484,-21.4187,0.370258
0.0022,43.8732,-44.2148,0.341581
0.0023,74.352,-74.6646,0.312567
0.0024,111.866,-112.149,0.283245
0.0025,155.752,-156.006,0.253643
0.0026,205.31,-205.533,0.223791
0.0027,259.803,-259.996,0.193718
0.0028,318.467,-318.631,0.163454
0.0029,380.515,-380.648,0.133028
0.003,445.134,-445.237,0.102472
0.0031,511.503,-511.575,0.0718137
0.0032,578.786,-578.828,0.0410849
0.0033,646.146,-646.156,0.0103156
0.0034,712.743,-712.723,-0.0204639
0.0035,777.745,-777.693,-0.0512232
0.0036,840.328,-840.246,-0.0819319
0.0037,899.688,-899.576,-0.11256
0.0038,955.036,-954.893,-0.143077
0.0039,1005.61,-1005.44,-0.173452
0.004,1050.69,-1050.48,-0.203657
0.0041,1089.56,-1089.33,-0.23366
0.0042,1121.58,-1121.32,-0.263433
0.0043,1146.13,-1145.84,-0.292946
0.0044,1162.64,-1162.31,-0.32217
0.0045,1170.58,-1170.23,-0.351075
0.0046,1169.5,-1169.12,-0.379635
0.0047,1158.98,-1158.58,-0.407819
0.0048,1138.68,-1138.24,-0.435602
0.0049,1108.29,-1107.83,-0.462954
0.005,1067.61,-1067.12,-0.489849
0.0051,1016.45,-1015.93,-0.516262
0.0052,954.725,-954.183,-0.542164
0.0053,883.805,-880.451,-3.35454
0.0054,808.224,-790.244,-17.9798
0.0055,728.362,-683.305,-45.0567
0.0056,644.295,-559.765,-84.5294
