"time", "dFFREG.dataOut[1]", "dFFREG.dataOut[2]"
0, 1, 1
0.00488281, 1, 1
0.02441406, 1, 1
0.12207031, 1, 1
0.61035156, 1, 1
1.0000000001, 1, 1
1.0048828101, 1, 1
1.0244140601, 1, 1
1.1220703101, 1, 1
1.6103515601, 1, 1
2.0000000001, 1, 1
2.0048828101, 1, 1
2.0244140601, 1, 1
2.1220703101, 1, 1
2.6103515601, 1, 1
3.6103515601, 1, 1
4.6103515601, 1, 1
5.6103515601, 1, 1
6.0000000002, 1, 1
6.0048828102, 3, 3
6.0244140602, 3, 3
6.1220703102, 3, 3
6.6103515602, 3, 3
7.0000000001, 3, 3
7.0048828101, 3, 3
7.0244140601, 3, 3
7.1220703101, 3, 3
7.6103515601, 3, 3
8.0000000001, 3, 3
8.0048828101, 3, 3
8.0244140601, 3, 3
8.1220703101, 3, 3
8.6103515601, 3, 3
9.6103515601, 3, 3
10.0000000001, 3, 3
10.0048828101, 3, 3
10.0244140601, 3, 3
10.1220703101, 3, 3
10.6103515601, 3, 3
11.0000000001, 3, 3
11.0048828101, 3, 3
11.0244140601, 3, 3
11.1220703101, 3, 3
11.6103515601, 3, 3
12.0000000001, 3, 3
12.0048828101, 3, 3
12.0244140601, 3, 3
12.1220703101, 3, 3
12.6103515601, 3, 3
13.0000000002, 3, 3
13.0048828102, 4, 3
13.0244140602, 4, 3
13.1220703102, 4, 3
13.6103515602, 4, 3
14.6103515602, 4, 3
15.0000000001, 4, 3
15.0048828101, 4, 3
15.0244140601, 4, 3
15.1220703101, 4, 3
15.6103515601, 4, 3
16.0000000001, 4, 3
16.0048828101, 4, 2
16.0244140601, 4, 2
16.1220703101, 4, 2
16.6103515601, 4, 2
17.6103515601, 4, 2
18.6103515601, 4, 2
19.6103515601, 4, 2
20.0000000002, 4, 2
20.0048828102, 3, 2
20.0244140602, 3, 2
20.1220703102, 3, 2
20.6103515602, 3, 2
21.6103515602, 3, 2
22.6103515602, 3, 2
23.6103515602, 3, 2
24.6103515602, 3, 2
25, 3, 2
