"time","light_switch","light_intensity","headlight"
0.01,0,0,0
0.03,0.235294,0,0
0.05,0.470588,0,0
0.07,0.705882,0,1
0.09,0.941176,0,1
0.11,1.17647,0,1
0.13,1.41176,0,1
0.15,1.64706,0,1
0.17,1.88235,0,1
0.19,2,0.111111,1
0.21,2,0.333333,1
0.23,2,0.555556,1
0.25,2,0.777778,1
0.27,2,1,1
0.29,2,1.22222,1
0.31,2,1.44444,1
0.33,2,1.66667,1
0.35,2,1.88889,1
0.37,2,11,1
0.39,2,41,1
0.41,2,72,1
0.43,2,95,1
0.45,2,99.9969,1
0.47,2,99.9906,1
0.49,2,99.9843,1
0.51,2,99.978,1
0.53,2,99.9717,1
0.55,2,99.9654,1
0.57,2,99.9591,1
0.59,2,99.9528,1
0.61,2,99.9465,1
0.63,2,99.9403,1
0.65,2,99.934,1
0.67,2,99.9277,1
0.69,2,99.9214,1
0.71,2,99.9151,1
0.73,2,99.9088,1
0.75,2,99.9025,1
0.77,2,99.8962,1
0.79,2,99.8899,1
0.81,2,99.8836,1
0.83,2,99.8774,1
0.85,2,99.8711,1
0.87,2,99.8648,1
0.89,2,99.8585,1
0.91,2,99.8522,1
0.93,2,99.8459,1
0.95,2,99.8396,1
0.97,2,99.8333,1
0.99,2,99.827,1
1.01,2,99.8208,1
1.03,2,99.8145,1
1.05,2,99.8082,1
1.07,2,99.8019,1
1.09,2,99.7956,1
1.11,2,99.7893,1
1.13,2,99.783,1
1.15,2,99.7767,1
1.17,2,99.7704,1
1.19,2,99.7642,1
1.21,2,99.7579,1
1.23,2,99.7516,1
1.25,2,99.7453,1
1.27,2,99.739,1
1.29,2,99.7327,1
1.31,2,99.7264,1
1.33,2,99.7201,1
1.35,2,99.7138,1
1.37,2,99.7075,1
1.39,2,99.7013,1
1.41,2,99.695,1
1.43,2,99.6887,1
1.45,2,99.6824,1
1.47,2,99.6761,1
1.49,2,99.6698,1
1.51,2,99.6635,1
1.53,2,99.6572,1
1.55,2,99.6509,1
1.57,2,99.6447,1
1.59,2,99.6384,1
1.61,2,99.6321,1
1.63,2,99.6258,1
1.65,2,99.6195,1
1.67,2,99.6132,1
1.69,2,99.6069,1
1.71,2,99.6006,1
1.73,2,99.5943,1
1.75,2,99.5881,1
1.77,2,99.5818,1
1.79,2,99.5755,1
1.81,2,99.5692,1
1.83,2,99.5629,1
1.85,2,99.5566,1
1.87,2,99.5503,1
1.89,2,99.544,1
1.91,2,99.5377,1
1.93,2,99.5314,1
1.95,2,99.5252,1
1.97,2,99.5189,1
1.99,2,99.5126,1
2.01,2,99.5063,1
2.03,2,99.5,1
2.05,2,99.4937,1
2.07,2,99.4874,1
2.09,2,99.4811,1
2.11,2,99.4748,1
2.13,2,99.4686,1
2.15,2,99.4623,1
2.17,2,99.456,1
2.19,2,99.4497,1
2.21,2,99.4434,1
2.23,2,99.4371,1
2.25,2,99.4308,1
2.27,2,99.4245,1
2.29,2,99.4182,1
2.31,2,99.4119,1
2.33,2,99.4057,1
2.35,2,99.3994,1
2.37,2,99.3931,1
2.39,2,99.3868,1
2.41,2,99.3805,1
2.43,2,99.3742,1
2.45,2,99.3679,1
2.47,2,99.3616,1
2.49,2,99.3553,1
2.51,2,99.3491,1
2.53,2,99.3428,1
2.55,2,99.3365,1
2.57,2,99.3302,1
2.59,2,99.3239,1
2.61,2,99.3176,1
2.63,2,99.3113,1
2.65,2,99.305,1
2.67,2,99.2987,1
2.69,2,99.2925,1
2.71,2,99.2862,1
2.73,2,99.2799,1
2.75,2,99.2736,1
2.77,2,99.2673,1
2.79,2,99.261,1
2.81,2,99.2547,1
2.83,2,99.2484,1
2.85,2,99.2421,1
2.87,2,99.2358,1
2.89,2,99.2296,1
2.91,2,99.2233,1
2.93,2,99.217,1
2.95,2,99.2107,1
2.97,2,99.2044,1
2.99,2,99.1981,1
3.01,2,99.1918,1
3.03,2,99.1855,1
3.05,2,99.1792,1
3.07,2,99.173,1
3.09,2,99.1667,1
3.11,2,99.1604,1
3.13,2,99.1541,1
3.15,2,99.1478,1
3.17,2,99.1415,1
3.19,2,99.1352,1
3.21,2,99.1289,1
3.23,2,99.1226,1
3.25,2,99.1164,1
3.27,2,99.1101,1
3.29,2,99.1038,1
3.31,2,99.0975,1
3.33,2,99.0912,1
3.35,2,99.0849,1
3.37,2,99.0786,1
3.39,2,99.0723,1
3.41,2,99.066,0
3.43,2,99.0597,0
3.45,2,99.0535,0
3.47,2,99.0472,0
3.49,2,99.0409,0
3.51,2,99.0346,0
3.53,2,99.0283,0
3.55,2,99.022,0
3.57,2,99.0157,0
3.59,2,99.0094,0
3.61,2,99.0031,0
3.63,2,98,0
3.65,2,63,0
3.67,2,40,0
3.69,2,30,0
3.71,2,27,0
3.73,2,27.0429,0
3.75,2,27.0857,0
3.77,2,27.1286,0
3.79,2,27.1714,0
3.81,2,27.2143,0
3.83,2,27.2571,0
3.85,2,27.3,0
3.87,2,27.3429,0
3.89,2,27.3857,0
3.91,2,27.4286,0
3.93,2,27.4714,0
3.95,2,27.5143,0
3.97,2,27.5571,0
3.99,2,27.6,0
4.01,2,27.6429,0
4.03,2,27.6857,0
4.05,2,27.7286,0
4.07,2,27.7714,0
4.09,2,27.8143,0
4.11,2,27.8571,0
4.13,2,27.9,0
4.15,2,27.9429,0
4.17,2,27.9857,0
4.19,2,28.0286,0
4.21,2,28.0714,0
4.23,2,28.1143,0
4.25,2,28.1571,0
4.27,2,28.2,0
4.29,2,28.2429,0
4.31,2,28.2857,0
4.33,2,28.3286,0
4.35,2,28.3714,0
4.37,2,28.4143,0
4.39,2,28.4571,0
4.41,2,28.5,0
4.43,2,28.5429,0
4.45,2,28.5857,0
4.47,2,28.6286,0
4.49,2,28.6714,0
4.51,2,28.7143,0
4.53,2,28.7571,0
4.55,2,28.8,0
4.57,2,28.8429,0
4.59,2,28.8857,0
4.61,2,28.9286,0
4.63,2,28.9714,0
4.65,2,29.0143,0
4.67,2,29.0571,0
4.69,2,29.1,0
4.71,2,29.1429,0
4.73,2,29.1857,0
4.75,2,29.2286,0
4.77,2,29.2714,0
4.79,2,29.3143,0
